Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	partdepol height	part. depol 355	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)	vol. depol 1064	error	part. depol 1064	error	water_vapour_error	Sounding height	water_vapor_mix_sonde	Height NF 355 (km):	Beta355 NF (Mm^-1 sr^-1):	error beta355 NF (Mm^-1 sr^-1)	alpha 355 NF (Mm^-1 sr^-1):	error alpha355 NF (Mm^-1)	Spar 355 NF (sr):	error Spar 355 NF (sr)	BetaMOL 355 (m^-1 sr^-1)	BetaMOL 532 (m^-1 sr^-1)	BetaMOL 1064 (m^-1 sr^-1)
0.070993	-7.787741	0.000000	-1.455112	0.000000	-0.085163	0.000000	-428.325751	0.000000	-80.031183	0.000000	55.000000	0.000000	55.000000	0.000000	4.146752	0.000000	4.146752	0.000000	4.094759	0.000000	0.070993	0.026278	0.002628	0.070993	0.004167	0.000417	41.107300	296.207825	99217.406250	0.070993	0.020611	0.002061	0.070993	0.007514	0.000751	0.000000	0.000000	0.070993	-0.252830	0.000000	-13.905653	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.465454	0.000000	0.000000	0.070993	-5.686371	NaN	-312.750402	0.000000	55.000000	0.000000	0.007862	0.001475	0.000089
0.078465	-7.775980	0.000000	-1.451853	0.000000	-0.084153	0.000000	-427.678881	0.000000	-79.851917	0.000000	55.000000	0.000000	55.000000	0.000000	4.148559	0.000000	4.148559	0.000000	4.108737	0.000000	0.078465	0.026402	0.002640	0.078465	0.004132	0.000413	48.578762	296.162567	99133.312500	0.078465	0.020668	0.002067	0.078465	0.007503	0.000750	0.000000	0.000000	0.078465	0.328517	0.000000	18.068433	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.462808	0.000000	0.000000	0.078465	-4.558167	NaN	-250.699191	0.000000	55.000000	0.000000	0.007857	0.001474	0.000089
0.085936	-7.763070	0.000000	-1.448267	0.000000	-0.082639	0.000000	-426.968833	0.000000	-79.654691	0.000000	55.000000	0.000000	55.000000	0.000000	4.150565	0.000000	4.150565	0.000000	4.131364	0.000000	0.085936	0.026303	0.002630	0.085936	0.004095	0.000409	56.050220	296.117279	99049.218750	0.085936	0.020582	0.002058	0.085936	0.007491	0.000749	0.000000	0.000000	0.085936	1.012163	0.000000	55.668952	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.460969	0.000000	0.000000	0.085936	-3.173839	NaN	-174.561132	0.000000	55.000000	0.000000	0.007851	0.001473	0.000089
0.093408	-7.749022	0.000000	-1.443970	0.000000	-0.080569	0.000000	-426.196206	0.000000	-79.418373	0.000000	55.000000	0.000000	55.000000	0.000000	4.153432	0.000000	4.153432	0.000000	4.163665	0.000000	0.093408	0.026644	0.002664	0.093408	0.004040	0.000404	63.521683	296.071991	98965.125000	0.093408	0.020777	0.002078	0.093408	0.007475	0.000747	0.000000	0.000000	0.093408	1.784612	0.000000	98.153668	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.458833	0.000000	0.000000	0.093408	-1.602244	NaN	-88.123423	0.000000	55.000000	0.000000	0.007846	0.001472	0.000089
0.100879	-7.732428	0.000000	-1.438701	0.000000	-0.077246	0.000000	-425.283562	0.000000	-79.128542	0.000000	55.000000	0.000000	55.000000	0.000000	4.157171	0.000000	4.157171	0.000000	4.219168	0.000000	0.100879	0.027063	0.002706	0.100879	0.003967	0.000397	70.993141	296.026703	98881.031250	0.100879	0.020511	0.002051	0.100879	0.007459	0.000746	0.000000	0.000000	0.100879	2.614125	0.000000	143.776902	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.455690	0.000000	0.000000	0.100879	0.101937	NaN	5.606557	0.000000	55.000000	0.000000	0.007840	0.001471	0.000089
0.108350	-7.713201	0.000000	-1.432654	0.000000	-0.072682	0.000000	-424.226069	0.000000	-78.795954	0.000000	55.000000	0.000000	55.000000	0.000000	4.161429	0.000000	4.161429	0.000000	4.300954	0.000000	0.108350	0.026598	0.002660	0.108350	0.003898	0.000390	78.464600	295.981415	98796.937500	0.108350	0.020539	0.002054	0.108350	0.007435	0.000744	0.000000	0.000000	0.108350	3.452895	0.000000	189.909237	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.452354	0.000000	0.000000	0.108350	1.890007	NaN	103.950395	0.000000	55.000000	0.000000	0.007835	0.001470	0.000089
0.115822	-7.689972	0.000000	-1.425200	0.000000	-0.065979	0.000000	-422.948487	0.000000	-78.385989	0.000000	55.000000	0.000000	55.000000	0.000000	4.166868	0.000000	4.166868	0.000000	4.433006	0.000000	0.115822	0.026324	0.002632	0.115822	0.003805	0.000380	85.936066	295.936157	98712.843750	0.115822	0.020649	0.002065	0.115822	0.007403	0.000740	0.000000	0.000000	0.115822	4.252298	0.000000	233.876382	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.447885	0.000000	0.000000	0.115822	3.646391	NaN	200.551520	0.000000	55.000000	0.000000	0.007829	0.001469	0.000089
0.123293	-7.660429	0.000000	-1.415267	0.000000	-0.056590	0.000000	-421.323609	0.000000	-77.839667	0.000000	55.000000	0.000000	55.000000	0.000000	4.174642	0.000000	4.174642	0.000000	4.644383	0.000000	0.123293	0.026332	0.002633	0.123293	0.003665	0.000367	93.407524	295.890869	98628.750000	0.123293	0.020674	0.002067	0.123293	0.007362	0.000736	0.000000	0.000000	0.123293	4.968014	0.000000	273.240796	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.443468	0.000000	0.000000	0.123293	5.283662	NaN	290.601422	0.000000	55.000000	0.000000	0.007824	0.001468	0.000089
0.130765	-7.623466	0.000000	-1.402472	0.000000	-0.043838	0.000000	-419.290627	0.000000	-77.135976	0.000000	55.000000	0.000000	55.000000	0.000000	4.185135	0.000000	4.185135	0.000000	4.999647	0.000000	0.130765	0.026328	0.002633	0.130765	0.003479	0.000348	100.878983	295.845581	98544.648437	0.130765	0.020535	0.002053	0.130765	0.007310	0.000731	0.000000	0.000000	0.130765	5.602593	0.000000	308.142617	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.438552	0.000000	0.000000	0.130765	6.684062	NaN	367.623429	0.000000	55.000000	0.000000	0.007818	0.001467	0.000089
0.138236	-7.577639	0.000000	-1.385896	0.000000	-0.027188	0.000000	-416.770133	0.000000	-76.224259	0.000000	55.000000	0.000000	55.000000	0.000000	4.199622	0.000000	4.199622	0.000000	5.671683	0.000000	0.138236	0.026256	0.002626	0.138236	0.003231	0.000323	108.350441	295.800293	98460.554687	0.138236	0.020409	0.002041	0.138236	0.007244	0.000724	0.000000	0.000000	0.138236	6.101555	0.000000	335.585535	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.433769	0.000000	0.000000	0.138236	7.826555	NaN	430.460539	0.000000	55.000000	0.000000	0.007813	0.001466	0.000089
