Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	partdepol height	part. depol 355	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)	vol. depol 1064	error	part. depol 1064	error	water_vapour_error	Sounding height	water_vapor_mix_sonde	Height NF 355 (km):	Beta355 NF (Mm^-1 sr^-1):	error beta355 NF (Mm^-1 sr^-1)	alpha 355 NF (Mm^-1 sr^-1):	error alpha355 NF (Mm^-1)	Spar 355 NF (sr):	error Spar 355 NF (sr)	BetaMOL 355 (m^-1 sr^-1)	BetaMOL 532 (m^-1 sr^-1)	BetaMOL 1064 (m^-1 sr^-1)
0.070993	-7.809411	0.000000	-1.463812	0.000000	-0.087429	0.000000	-429.517609	0.000000	-80.509634	0.000000	55.000000	0.000000	55.000000	0.000000	4.138886	0.000000	4.138886	0.000000	4.065475	0.000000	0.070993	0.028072	0.002807	0.070993	0.004287	0.000429	41.107300	296.207825	99217.406250	0.070993	0.017968	0.001797	0.070993	0.007560	0.000756	0.000000	0.000000	0.070993	-0.509549	0.000000	-28.025179	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.465454	0.000000	0.000000	0.070993	-5.500088	NaN	-302.504849	0.000000	55.000000	0.000000	0.007862	0.001475	0.000089
0.078465	-7.799729	0.000000	-1.461745	0.000000	-0.086873	0.000000	-428.985078	0.000000	-80.395965	0.000000	55.000000	0.000000	55.000000	0.000000	4.139312	0.000000	4.139312	0.000000	4.072633	0.000000	0.078465	0.028279	0.002828	0.078465	0.004270	0.000427	48.578762	296.162567	99133.312500	0.078465	0.017849	0.001785	0.078465	0.007555	0.000755	0.000000	0.000000	0.078465	-0.101295	0.000000	-5.571232	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.462808	0.000000	0.000000	0.078465	-4.446748	NaN	-244.571143	0.000000	55.000000	0.000000	0.007857	0.001474	0.000089
0.085936	-7.789769	0.000000	-1.459489	0.000000	-0.086089	0.000000	-428.437271	0.000000	-80.271898	0.000000	55.000000	0.000000	55.000000	0.000000	4.139971	0.000000	4.139971	0.000000	4.083484	0.000000	0.085936	0.028966	0.002897	0.085936	0.004246	0.000425	56.050220	296.117279	99049.218750	0.085936	0.017778	0.001778	0.085936	0.007549	0.000755	0.000000	0.000000	0.085936	0.359992	0.000000	19.799582	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.460969	0.000000	0.000000	0.085936	-3.235467	NaN	-177.950703	0.000000	55.000000	0.000000	0.007851	0.001473	0.000089
0.093408	-7.778242	0.000000	-1.456847	0.000000	-0.084888	0.000000	-427.803311	0.000000	-80.126587	0.000000	55.000000	0.000000	55.000000	0.000000	4.140790	0.000000	4.140790	0.000000	4.101139	0.000000	0.093408	0.029374	0.002937	0.093408	0.004216	0.000422	63.521683	296.071991	98965.125000	0.093408	0.017696	0.001770	0.093408	0.007542	0.000754	0.000000	0.000000	0.093408	0.853643	0.000000	46.950364	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.458833	0.000000	0.000000	0.093408	-1.930711	NaN	-106.189119	0.000000	55.000000	0.000000	0.007846	0.001472	0.000089
0.100879	-7.764333	0.000000	-1.453573	0.000000	-0.083086	0.000000	-427.038330	0.000000	-79.946517	0.000000	55.000000	0.000000	55.000000	0.000000	4.141927	0.000000	4.141927	0.000000	4.128856	0.000000	0.100879	0.029263	0.002926	0.100879	0.004179	0.000418	70.993141	296.026703	98881.031250	0.100879	0.017650	0.001765	0.100879	0.007531	0.000753	0.000000	0.000000	0.100879	1.359865	0.000000	74.792576	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.455690	0.000000	0.000000	0.100879	-0.589852	NaN	-32.441863	0.000000	55.000000	0.000000	0.007840	0.001471	0.000089
0.108350	-7.748185	0.000000	-1.449552	0.000000	-0.080217	0.000000	-426.150189	0.000000	-79.725354	0.000000	55.000000	0.000000	55.000000	0.000000	4.143628	0.000000	4.143628	0.000000	4.175560	0.000000	0.108350	0.029656	0.002966	0.108350	0.004124	0.000412	78.464600	295.981415	98796.937500	0.108350	0.017644	0.001764	0.108350	0.007517	0.000752	0.000000	0.000000	0.108350	1.853306	0.000000	101.931803	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.452354	0.000000	0.000000	0.108350	0.720805	NaN	39.644298	0.000000	55.000000	0.000000	0.007835	0.001470	0.000089
0.115822	-7.728070	0.000000	-1.444180	0.000000	-0.076212	0.000000	-425.043865	0.000000	-79.429921	0.000000	55.000000	0.000000	55.000000	0.000000	4.146380	0.000000	4.146380	0.000000	4.244093	0.000000	0.115822	0.029430	0.002943	0.115822	0.004052	0.000405	85.936066	295.936157	98712.843750	0.115822	0.017660	0.001766	0.115822	0.007498	0.000750	0.000000	0.000000	0.115822	2.290686	0.000000	125.987704	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.447885	0.000000	0.000000	0.115822	1.935129	NaN	106.432116	0.000000	55.000000	0.000000	0.007829	0.001469	0.000089
0.123293	-7.702049	0.000000	-1.437077	0.000000	-0.070888	0.000000	-423.612698	0.000000	-79.039226	0.000000	55.000000	0.000000	55.000000	0.000000	4.150232	0.000000	4.150232	0.000000	4.341460	0.000000	0.123293	0.029683	0.002968	0.123293	0.003942	0.000394	93.407524	295.890869	98628.750000	0.123293	0.017607	0.001761	0.123293	0.007472	0.000747	0.000000	0.000000	0.123293	2.647713	0.000000	145.624239	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.443468	0.000000	0.000000	0.123293	2.975546	NaN	163.655041	0.000000	55.000000	0.000000	0.007824	0.001468	0.000089
0.130765	-7.669347	0.000000	-1.427250	0.000000	-0.063878	0.000000	-421.814058	0.000000	-78.498743	0.000000	55.000000	0.000000	55.000000	0.000000	4.156675	0.000000	4.156675	0.000000	4.481777	0.000000	0.130765	0.029450	0.002945	0.130765	0.003793	0.000379	100.878983	295.845581	98544.648437	0.130765	0.017458	0.001746	0.130765	0.007438	0.000744	0.000000	0.000000	0.130765	2.924621	0.000000	160.854134	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.438552	0.000000	0.000000	0.130765	3.791921	NaN	208.555654	0.000000	55.000000	0.000000	0.007818	0.001467	0.000089
0.138236	-7.627823	0.000000	-1.414791	0.000000	-0.055166	0.000000	-419.530256	0.000000	-77.813481	0.000000	55.000000	0.000000	55.000000	0.000000	4.164929	0.000000	4.164929	0.000000	4.680656	0.000000	0.138236	0.029433	0.002943	0.138236	0.003591	0.000359	108.350441	295.800293	98460.554687	0.138236	0.017287	0.001729	0.138236	0.007395	0.000739	0.000000	0.000000	0.138236	3.122001	0.000000	171.710044	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.433769	0.000000	0.000000	0.138236	4.342320	NaN	238.827609	0.000000	55.000000	0.000000	0.007813	0.001466	0.000089
0.145708	-7.574567	0.000000	-1.398946	0.000000	-0.044467	0.000000	-416.601166	0.000000	-76.942011	0.000000	55.000000	0.000000	55.000000	0.000000	4.175451	0.000000	4.175451	0.000000	4.975459	0.000000	0.145708	0.029519	0.002952	0.145708	0.003320	0.000332	115.821907	295.755005	98376.460937	0.145708	0.017022	0.001702	0.145708	0.007340	0.000734	0.000000	0.000000	0.145708	3.251753	0.000000	178.846415	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.428488	0.000000	0.000000	0.145708	4.725164	NaN	259.884000	0.000000	55.000000	0.000000	0.007807	0.001465	0.000089
0.153179	-7.508740	0.000000	-1.379293	0.000000	-0.030388	0.000000	-412.980727	0.000000	-75.861109	0.000000	55.000000	0.000000	55.000000	0.000000	4.188848	0.000000	4.188848	0.000000	5.504291	0.000000	0.153179	0.029140	0.002914	0.153179	0.002996	0.000300	123.293365	295.709747	98292.367187	0.153179	0.016801	0.001680	0.153179	0.007271	0.000727	0.000000	0.000000	0.153179	3.317556	0.000000	182.465604	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.423600	0.000000	0.000000	0.153179	4.937692	NaN	271.573056	0.000000	55.000000	0.000000	0.007802	0.001464	0.000089
0.160651	-7.431090	0.000000	-1.355537	0.000000	-0.014527	0.000000	-408.709974	0.000000	-74.554527	0.000000	55.000000	0.000000	55.000000	0.000000	4.206099	0.000000	4.206099	0.000000	6.544015	0.000000	0.160651	0.029019	0.002902	0.160651	0.002576	0.000258	130.764832	295.664459	98208.273437	0.160651	0.016713	0.001671	0.160651	0.007183	0.000718	0.000000	0.000000	0.160651	3.351025	0.000000	184.306371	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.418609	0.000000	0.000000	0.160651	5.047972	NaN	277.638455	0.000000	55.000000	0.000000	0.007796	0.001463	0.000089
0.168122	-7.337020	0.000000	-1.327577	0.000000	0.003649	0.000000	-403.536097	0.000000	-73.016715	0.000000	55.000000	0.000000	55.000000	0.000000	4.226128	0.000000	4.226128	0.000000	NaN	NaN	0.168122	0.029211	0.002921	0.168122	0.002035	0.000203	138.236282	295.619171	98124.179687	0.168122	0.016521	0.001652	0.168122	0.007080	0.000708	0.000000	0.000000	0.168122	3.358868	0.000000	184.737762	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.413934	0.000000	0.000000	0.168122	5.068053	NaN	278.742939	0.000000	55.000000	0.000000	0.007791	0.001462	0.000088
0.175594	-7.226241	0.000000	-1.294751	0.000000	0.025153	0.000000	-397.443272	0.000000	-71.211287	0.000000	55.000000	0.000000	55.000000	0.000000	4.250412	0.000000	4.250412	0.000000	NaN	NaN	0.175594	0.029318	0.002932	0.175594	0.001371	0.000137	145.707748	295.573883	98040.085937	0.175594	0.016336	0.001634	0.175594	0.006957	0.000696	0.000000	0.000000	0.175594	3.334266	0.000000	183.384640	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.409097	0.000000	0.000000	0.175594	5.036576	NaN	277.011688	0.000000	55.000000	0.000000	0.007785	0.001461	0.000088
