Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	partdepol height	part. depol 355	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)	vol. depol 1064	error	part. depol 1064	error	water_vapour_error	Sounding height	water_vapor_mix_sonde	Height NF 355 (km):	Beta355 NF (Mm^-1 sr^-1):	error beta355 NF (Mm^-1 sr^-1)	alpha 355 NF (Mm^-1 sr^-1):	error alpha355 NF (Mm^-1)	Spar 355 NF (sr):	error Spar 355 NF (sr)	BetaMOL 355 (m^-1 sr^-1)	BetaMOL 532 (m^-1 sr^-1)	BetaMOL 1064 (m^-1 sr^-1)
0.070993	-7.805033	0.000000	-1.461753	0.000000	-0.086666	0.000000	-429.276831	0.000000	-80.396392	0.000000	55.000000	0.000000	55.000000	0.000000	4.140980	0.000000	4.140980	0.000000	4.076096	0.000000	0.070993	0.028471	0.002847	0.070993	0.004252	0.000425	41.107300	296.207825	99217.406250	0.070993	0.019746	0.001975	0.070993	0.007546	0.000755	0.000000	0.000000	0.070993	-0.386986	0.000000	-21.284221	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.465454	0.000000	0.000000	0.070993	-5.279554	NaN	-290.375453	0.000000	55.000000	0.000000	0.007862	0.001475	0.000089
0.078465	-7.794795	0.000000	-1.459266	0.000000	-0.085820	0.000000	-428.713711	0.000000	-80.259634	0.000000	55.000000	0.000000	55.000000	0.000000	4.141943	0.000000	4.141943	0.000000	4.087782	0.000000	0.078465	0.028415	0.002842	0.078465	0.004229	0.000423	48.578762	296.162567	99133.312500	0.078465	0.019637	0.001964	0.078465	0.007539	0.000754	0.000000	0.000000	0.078465	0.076328	0.000000	4.198019	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.462808	0.000000	0.000000	0.078465	-4.121530	NaN	-226.684176	0.000000	55.000000	0.000000	0.007857	0.001474	0.000089
0.085936	-7.783242	0.000000	-1.456385	0.000000	-0.084638	0.000000	-428.078292	0.000000	-80.101189	0.000000	55.000000	0.000000	55.000000	0.000000	4.143162	0.000000	4.143162	0.000000	4.104947	0.000000	0.085936	0.027853	0.002785	0.085936	0.004203	0.000420	56.050220	296.117279	99049.218750	0.085936	0.019353	0.001935	0.085936	0.007531	0.000753	0.000000	0.000000	0.085936	0.607110	0.000000	33.391047	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.460969	0.000000	0.000000	0.085936	-2.791523	NaN	-153.533777	0.000000	55.000000	0.000000	0.007851	0.001473	0.000089
0.093408	-7.770672	0.000000	-1.452831	0.000000	-0.082839	0.000000	-427.386986	0.000000	-79.905722	0.000000	55.000000	0.000000	55.000000	0.000000	4.145206	0.000000	4.145206	0.000000	4.132412	0.000000	0.093408	0.027939	0.002794	0.093408	0.004162	0.000416	63.521683	296.071991	98965.125000	0.093408	0.019649	0.001965	0.093408	0.007519	0.000752	0.000000	0.000000	0.093408	1.173451	0.000000	64.539812	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.458833	0.000000	0.000000	0.093408	-1.353049	NaN	-74.417708	0.000000	55.000000	0.000000	0.007846	0.001472	0.000089
0.100879	-7.755650	0.000000	-1.448655	0.000000	-0.080086	0.000000	-426.560737	0.000000	-79.676038	0.000000	55.000000	0.000000	55.000000	0.000000	4.147538	0.000000	4.147538	0.000000	4.177016	0.000000	0.100879	0.028073	0.002807	0.100879	0.004110	0.000411	70.993141	296.026703	98881.031250	0.100879	0.019611	0.001961	0.100879	0.007504	0.000750	0.000000	0.000000	0.100879	1.757716	0.000000	96.674393	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.455690	0.000000	0.000000	0.100879	0.129176	NaN	7.104705	0.000000	55.000000	0.000000	0.007840	0.001471	0.000089
0.108350	-7.736865	0.000000	-1.443546	0.000000	-0.075862	0.000000	-425.527593	0.000000	-79.395050	0.000000	55.000000	0.000000	55.000000	0.000000	4.150277	0.000000	4.150277	0.000000	4.250089	0.000000	0.108350	0.028142	0.002814	0.108350	0.004042	0.000404	78.464600	295.981415	98796.937500	0.108350	0.019371	0.001937	0.108350	0.007486	0.000749	0.000000	0.000000	0.108350	2.312713	0.000000	127.199191	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.452354	0.000000	0.000000	0.108350	1.595619	NaN	87.759058	0.000000	55.000000	0.000000	0.007835	0.001470	0.000089
0.115822	-7.712363	0.000000	-1.436048	0.000000	-0.070085	0.000000	-424.179977	0.000000	-78.982615	0.000000	55.000000	0.000000	55.000000	0.000000	4.155311	0.000000	4.155311	0.000000	4.356855	0.000000	0.115822	0.028273	0.002827	0.115822	0.003934	0.000393	85.936066	295.936157	98712.843750	0.115822	0.019081	0.001908	0.115822	0.007460	0.000746	0.000000	0.000000	0.115822	2.820216	0.000000	155.111857	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.447885	0.000000	0.000000	0.115822	2.943161	NaN	161.873861	0.000000	55.000000	0.000000	0.007829	0.001469	0.000089
0.123293	-7.681823	0.000000	-1.426708	0.000000	-0.062339	0.000000	-422.500256	0.000000	-78.468945	0.000000	55.000000	0.000000	55.000000	0.000000	4.161632	0.000000	4.161632	0.000000	4.516408	0.000000	0.123293	0.028404	0.002840	0.123293	0.003792	0.000379	93.407524	295.890869	98628.750000	0.123293	0.018936	0.001894	0.123293	0.007425	0.000742	0.000000	0.000000	0.123293	3.240343	0.000000	178.218858	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.443468	0.000000	0.000000	0.123293	4.104112	NaN	225.726136	0.000000	55.000000	0.000000	0.007824	0.001468	0.000089
0.130765	-7.642487	0.000000	-1.413610	0.000000	-0.051835	0.000000	-420.336786	0.000000	-77.748544	0.000000	55.000000	0.000000	55.000000	0.000000	4.171741	0.000000	4.171741	0.000000	4.769304	0.000000	0.130765	0.028674	0.002867	0.130765	0.003577	0.000358	100.878983	295.845581	98544.648437	0.130765	0.018862	0.001886	0.130765	0.007376	0.000738	0.000000	0.000000	0.130765	3.569218	0.000000	196.307001	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.438552	0.000000	0.000000	0.130765	5.020162	NaN	276.108918	0.000000	55.000000	0.000000	0.007818	0.001467	0.000089
0.138236	-7.592448	0.000000	-1.396823	0.000000	-0.038720	0.000000	-417.584635	0.000000	-76.825250	0.000000	55.000000	0.000000	55.000000	0.000000	4.185034	0.000000	4.185034	0.000000	5.172922	0.000000	0.138236	0.028920	0.002892	0.138236	0.003290	0.000329	108.350441	295.800293	98460.554687	0.138236	0.018747	0.001875	0.138236	0.007312	0.000731	0.000000	0.000000	0.138236	3.800935	0.000000	209.051415	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.433769	0.000000	0.000000	0.138236	5.653612	NaN	310.948661	0.000000	55.000000	0.000000	0.007813	0.001466	0.000089
0.145708	-7.529395	0.000000	-1.375194	0.000000	-0.022876	0.000000	-414.116718	0.000000	-75.635649	0.000000	55.000000	0.000000	55.000000	0.000000	4.202997	0.000000	4.202997	0.000000	5.909642	0.000000	0.145708	0.028883	0.002888	0.145708	0.002917	0.000292	115.821907	295.755005	98376.460937	0.145708	0.018463	0.001846	0.145708	0.007235	0.000723	0.000000	0.000000	0.145708	3.952055	0.000000	217.363023	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.428488	0.000000	0.000000	0.145708	6.086266	NaN	334.744631	0.000000	55.000000	0.000000	0.007807	0.001465	0.000089
0.153179	-7.450236	0.000000	-1.348283	0.000000	-0.003320	0.000000	-409.762999	0.000000	-74.155585	0.000000	55.000000	0.000000	55.000000	0.000000	4.225723	0.000000	4.225723	0.000000	8.665875	0.000000	0.153179	0.029383	0.002938	0.153179	0.002391	0.000239	123.293365	295.709747	98292.367187	0.153179	0.018430	0.001843	0.153179	0.007126	0.000713	0.000000	0.000000	0.153179	4.033103	0.000000	221.820675	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.423600	0.000000	0.000000	0.153179	6.333653	NaN	348.350913	0.000000	55.000000	0.000000	0.007802	0.001464	0.000089
0.160651	-7.354209	0.000000	-1.315631	0.000000	0.019901	0.000000	-404.481512	0.000000	-72.359706	0.000000	55.000000	0.000000	55.000000	0.000000	4.254257	0.000000	4.254257	0.000000	NaN	NaN	0.160651	0.029640	0.002964	0.160651	0.001731	0.000173	130.764832	295.664459	98208.273437	0.160651	0.017826	0.001783	0.160651	0.007022	0.000702	0.000000	0.000000	0.160651	4.079480	0.000000	224.371422	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.418609	0.000000	0.000000	0.160651	6.477047	NaN	356.237565	0.000000	55.000000	0.000000	0.007796	0.001463	0.000089
0.168122	-7.240120	0.000000	-1.277000	0.000000	0.046697	0.000000	-398.206576	0.000000	-70.234981	0.000000	55.000000	0.000000	55.000000	0.000000	4.289281	0.000000	4.289281	0.000000	NaN	NaN	0.168122	0.029789	0.002979	0.168122	0.000911	0.000091	138.236282	295.619171	98124.179687	0.168122	0.017593	0.001759	0.168122	0.006878	0.000688	0.000000	0.000000	0.168122	4.083764	0.000000	224.607016	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.413934	0.000000	0.000000	0.168122	6.546740	NaN	360.070711	0.000000	55.000000	0.000000	0.007791	0.001462	0.000088
