Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	partdepol height	part. depol 355	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)	vol. depol 1064	error	part. depol 1064	error	water_vapour_error	Sounding height	water_vapor_mix_sonde	Height NF 355 (km):	Beta355 NF (Mm^-1 sr^-1):	error beta355 NF (Mm^-1 sr^-1)	alpha 355 NF (Mm^-1 sr^-1):	error alpha355 NF (Mm^-1)	Spar 355 NF (sr):	error Spar 355 NF (sr)	BetaMOL 355 (m^-1 sr^-1)	BetaMOL 532 (m^-1 sr^-1)	BetaMOL 1064 (m^-1 sr^-1)
0.070993	-7.810006	0.000000	-1.464077	0.000000	-0.087664	0.000000	-429.550338	0.000000	-80.524212	0.000000	55.000000	0.000000	55.000000	0.000000	4.138627	0.000000	4.138627	0.000000	4.061863	0.000000	0.070993	0.034239	0.003424	0.070993	0.004264	0.000426	41.107300	296.207825	99217.406250	0.070993	0.019813	0.001981	0.070993	0.007553	0.000755	0.000000	0.000000	0.070993	-0.581478	0.000000	-31.981305	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.465454	0.000000	0.000000	0.070993	-5.574884	NaN	-306.618608	0.000000	55.000000	0.000000	0.007862	0.001475	0.000089
0.078465	-7.800370	0.000000	-1.461935	0.000000	-0.087143	0.000000	-429.020337	0.000000	-80.406401	0.000000	55.000000	0.000000	55.000000	0.000000	4.139194	0.000000	4.139194	0.000000	4.068354	0.000000	0.078465	0.033979	0.003398	0.078465	0.004243	0.000424	48.578762	296.162567	99133.312500	0.078465	0.019526	0.001953	0.078465	0.007548	0.000755	0.000000	0.000000	0.078465	-0.196431	0.000000	-10.803711	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.462808	0.000000	0.000000	0.078465	-4.541130	NaN	-249.762172	0.000000	55.000000	0.000000	0.007857	0.001474	0.000089
0.085936	-7.790099	0.000000	-1.459584	0.000000	-0.086368	0.000000	-428.455434	0.000000	-80.277119	0.000000	55.000000	0.000000	55.000000	0.000000	4.139915	0.000000	4.139915	0.000000	4.078916	0.000000	0.085936	0.033520	0.003352	0.085936	0.004220	0.000422	56.050220	296.117279	99049.218750	0.085936	0.019420	0.001942	0.085936	0.007541	0.000754	0.000000	0.000000	0.085936	0.237688	0.000000	13.072844	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.460969	0.000000	0.000000	0.085936	-3.339438	NaN	-183.669103	0.000000	55.000000	0.000000	0.007851	0.001473	0.000089
0.093408	-7.778558	0.000000	-1.456871	0.000000	-0.085211	0.000000	-427.820684	0.000000	-80.127909	0.000000	55.000000	0.000000	55.000000	0.000000	4.140849	0.000000	4.140849	0.000000	4.095689	0.000000	0.093408	0.033648	0.003365	0.093408	0.004186	0.000419	63.521683	296.071991	98965.125000	0.093408	0.019284	0.001928	0.093408	0.007533	0.000753	0.000000	0.000000	0.093408	0.697994	0.000000	38.389685	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.458833	0.000000	0.000000	0.093408	-2.067473	NaN	-113.711032	0.000000	55.000000	0.000000	0.007846	0.001472	0.000089
0.100879	-7.764888	0.000000	-1.453481	0.000000	-0.083354	0.000000	-427.068841	0.000000	-79.941477	0.000000	55.000000	0.000000	55.000000	0.000000	4.142259	0.000000	4.142259	0.000000	4.124109	0.000000	0.100879	0.032902	0.003290	0.100879	0.004145	0.000415	70.993141	296.026703	98881.031250	0.100879	0.019125	0.001913	0.100879	0.007522	0.000752	0.000000	0.000000	0.100879	1.174830	0.000000	64.615630	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.455690	0.000000	0.000000	0.100879	-0.743008	NaN	-40.865415	0.000000	55.000000	0.000000	0.007840	0.001471	0.000089
0.108350	-7.748563	0.000000	-1.449172	0.000000	-0.080735	0.000000	-426.170950	0.000000	-79.704461	0.000000	55.000000	0.000000	55.000000	0.000000	4.144397	0.000000	4.144397	0.000000	4.165898	0.000000	0.108350	0.032703	0.003270	0.108350	0.004084	0.000408	78.464600	295.981415	98796.937500	0.108350	0.019089	0.001909	0.108350	0.007506	0.000751	0.000000	0.000000	0.108350	1.626099	0.000000	89.435455	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.452354	0.000000	0.000000	0.108350	0.556252	NaN	30.593884	0.000000	55.000000	0.000000	0.007835	0.001470	0.000089
0.115822	-7.728076	0.000000	-1.443596	0.000000	-0.076944	0.000000	-425.044195	0.000000	-79.397792	0.000000	55.000000	0.000000	55.000000	0.000000	4.147382	0.000000	4.147382	0.000000	4.229709	0.000000	0.115822	0.032158	0.003216	0.115822	0.004004	0.000400	85.936066	295.936157	98712.843750	0.115822	0.018942	0.001894	0.115822	0.007485	0.000749	0.000000	0.000000	0.115822	2.035790	0.000000	111.968444	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.447885	0.000000	0.000000	0.115822	1.739821	NaN	95.690138	0.000000	55.000000	0.000000	0.007829	0.001469	0.000089
0.123293	-7.703793	0.000000	-1.436375	0.000000	-0.071827	0.000000	-423.708591	0.000000	-79.000643	0.000000	55.000000	0.000000	55.000000	0.000000	4.151998	0.000000	4.151998	0.000000	4.321755	0.000000	0.123293	0.032105	0.003210	0.123293	0.003886	0.000389	93.407524	295.890869	98628.750000	0.123293	0.018771	0.001877	0.123293	0.007459	0.000746	0.000000	0.000000	0.123293	2.377651	0.000000	130.770792	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.443468	0.000000	0.000000	0.123293	2.765708	NaN	152.113922	0.000000	55.000000	0.000000	0.007824	0.001468	0.000089
0.130765	-7.671381	0.000000	-1.426942	0.000000	-0.064945	0.000000	-421.925970	0.000000	-78.481792	0.000000	55.000000	0.000000	55.000000	0.000000	4.157865	0.000000	4.157865	0.000000	4.457573	0.000000	0.130765	0.032314	0.003231	0.130765	0.003719	0.000372	100.878983	295.845581	98544.648437	0.130765	0.018627	0.001863	0.130765	0.007422	0.000742	0.000000	0.000000	0.130765	2.634528	0.000000	144.899056	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.438552	0.000000	0.000000	0.130765	3.568210	NaN	196.251559	0.000000	55.000000	0.000000	0.007818	0.001467	0.000089
0.138236	-7.630237	0.000000	-1.414504	0.000000	-0.056481	0.000000	-419.663008	0.000000	-77.797745	0.000000	55.000000	0.000000	55.000000	0.000000	4.166211	0.000000	4.166211	0.000000	4.646377	0.000000	0.138236	0.032265	0.003227	0.138236	0.003496	0.000350	108.350441	295.800293	98460.554687	0.138236	0.018646	0.001865	0.138236	0.007370	0.000737	0.000000	0.000000	0.138236	2.802213	0.000000	154.121694	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.433769	0.000000	0.000000	0.138236	4.120046	NaN	226.602517	0.000000	55.000000	0.000000	0.007813	0.001466	0.000089
