Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	partdepol height	part. depol 355	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)	vol. depol 1064	error	part. depol 1064	error	water_vapour_error	Sounding height	water_vapor_mix_sonde	Height NF 355 (km):	Beta355 NF (Mm^-1 sr^-1):	error beta355 NF (Mm^-1 sr^-1)	alpha 355 NF (Mm^-1 sr^-1):	error alpha355 NF (Mm^-1)	Spar 355 NF (sr):	error Spar 355 NF (sr)	BetaMOL 355 (m^-1 sr^-1)	BetaMOL 532 (m^-1 sr^-1)	BetaMOL 1064 (m^-1 sr^-1)
0.070993	-7.804996	0.000000	-1.461336	0.000000	-0.086587	0.000000	-429.274788	0.000000	-80.373476	0.000000	55.000000	0.000000	55.000000	0.000000	4.141673	0.000000	4.141673	0.000000	4.077001	0.000000	0.070993	0.027201	0.002720	0.070993	0.004254	0.000425	41.107300	296.207825	99217.406250	0.070993	0.019740	0.001974	0.070993	0.007546	0.000755	0.000000	0.000000	0.070993	-0.346718	0.000000	-19.069514	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.465454	0.000000	0.000000	0.070993	-5.217270	NaN	-286.949871	0.000000	55.000000	0.000000	0.007862	0.001475	0.000089
0.078465	-7.794610	0.000000	-1.458846	0.000000	-0.085791	0.000000	-428.703528	0.000000	-80.236524	0.000000	55.000000	0.000000	55.000000	0.000000	4.142597	0.000000	4.142597	0.000000	4.087865	0.000000	0.078465	0.027314	0.002731	0.078465	0.004230	0.000423	48.578762	296.162567	99133.312500	0.078465	0.019728	0.001973	0.078465	0.007538	0.000754	0.000000	0.000000	0.078465	0.137553	0.000000	7.565410	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.462808	0.000000	0.000000	0.078465	-4.040938	NaN	-222.251596	0.000000	55.000000	0.000000	0.007857	0.001474	0.000089
0.085936	-7.783371	0.000000	-1.455972	0.000000	-0.084538	0.000000	-428.085405	0.000000	-80.078445	0.000000	55.000000	0.000000	55.000000	0.000000	4.143905	0.000000	4.143905	0.000000	4.106243	0.000000	0.085936	0.027312	0.002731	0.085936	0.004201	0.000420	56.050220	296.117279	99049.218750	0.085936	0.019573	0.001957	0.085936	0.007530	0.000753	0.000000	0.000000	0.085936	0.678750	0.000000	37.331259	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.460969	0.000000	0.000000	0.085936	-2.681063	NaN	-147.458489	0.000000	55.000000	0.000000	0.007851	0.001473	0.000089
0.093408	-7.770497	0.000000	-1.452470	0.000000	-0.082598	0.000000	-427.377326	0.000000	-79.885867	0.000000	55.000000	0.000000	55.000000	0.000000	4.145765	0.000000	4.145765	0.000000	4.136250	0.000000	0.093408	0.027386	0.002739	0.093408	0.004162	0.000416	63.521683	296.071991	98965.125000	0.093408	0.019698	0.001970	0.093408	0.007518	0.000752	0.000000	0.000000	0.093408	1.262882	0.000000	69.458530	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.458833	0.000000	0.000000	0.093408	-1.217186	NaN	-66.945248	0.000000	55.000000	0.000000	0.007846	0.001472	0.000089
0.100879	-7.754939	0.000000	-1.448171	0.000000	-0.079611	0.000000	-426.521640	0.000000	-79.649413	0.000000	55.000000	0.000000	55.000000	0.000000	4.148138	0.000000	4.148138	0.000000	4.185116	0.000000	0.100879	0.027145	0.002715	0.100879	0.004113	0.000411	70.993141	296.026703	98881.031250	0.100879	0.019353	0.001935	0.100879	0.007505	0.000751	0.000000	0.000000	0.100879	1.860489	0.000000	102.326911	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.455690	0.000000	0.000000	0.100879	0.296851	NaN	16.326817	0.000000	55.000000	0.000000	0.007840	0.001471	0.000089
0.108350	-7.736071	0.000000	-1.442723	0.000000	-0.075311	0.000000	-425.483879	0.000000	-79.349777	0.000000	55.000000	0.000000	55.000000	0.000000	4.151433	0.000000	4.151433	0.000000	4.259784	0.000000	0.108350	0.027715	0.002771	0.108350	0.004036	0.000404	78.464600	295.981415	98796.937500	0.108350	0.018989	0.001899	0.108350	0.007488	0.000749	0.000000	0.000000	0.108350	2.443573	0.000000	134.396498	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.452354	0.000000	0.000000	0.108350	1.803890	NaN	99.213934	0.000000	55.000000	0.000000	0.007835	0.001470	0.000089
0.115822	-7.712074	0.000000	-1.435027	0.000000	-0.069153	0.000000	-424.164092	0.000000	-78.926469	0.000000	55.000000	0.000000	55.000000	0.000000	4.156976	0.000000	4.156976	0.000000	4.375149	0.000000	0.115822	0.027968	0.002797	0.115822	0.003923	0.000392	85.936066	295.936157	98712.843750	0.115822	0.018879	0.001888	0.115822	0.007462	0.000746	0.000000	0.000000	0.115822	2.968602	0.000000	163.273092	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.447885	0.000000	0.000000	0.115822	3.184656	NaN	175.156066	0.000000	55.000000	0.000000	0.007829	0.001469	0.000089
0.123293	-7.681844	0.000000	-1.425201	0.000000	-0.060488	0.000000	-422.501416	0.000000	-78.386036	0.000000	55.000000	0.000000	55.000000	0.000000	4.164252	0.000000	4.164252	0.000000	4.558364	0.000000	0.123293	0.028381	0.002838	0.123293	0.003767	0.000377	93.407524	295.890869	98628.750000	0.123293	0.018886	0.001889	0.123293	0.007426	0.000743	0.000000	0.000000	0.123293	3.410225	0.000000	187.562352	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.443468	0.000000	0.000000	0.123293	4.348073	NaN	239.144009	0.000000	55.000000	0.000000	0.007824	0.001468	0.000089
0.130765	-7.643982	0.000000	-1.411746	0.000000	-0.049166	0.000000	-420.418995	0.000000	-77.646005	0.000000	55.000000	0.000000	55.000000	0.000000	4.175487	0.000000	4.175487	0.000000	4.843675	0.000000	0.130765	0.028575	0.002858	0.130765	0.003548	0.000355	100.878983	295.845581	98544.648437	0.130765	0.018921	0.001892	0.130765	0.007377	0.000738	0.000000	0.000000	0.130765	3.738824	0.000000	205.635309	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.438552	0.000000	0.000000	0.130765	5.282037	NaN	290.512045	0.000000	55.000000	0.000000	0.007818	0.001467	0.000089
0.138236	-7.593994	0.000000	-1.394593	0.000000	-0.035353	0.000000	-417.669678	0.000000	-76.702597	0.000000	55.000000	0.000000	55.000000	0.000000	4.189487	0.000000	4.189487	0.000000	5.301887	0.000000	0.138236	0.029016	0.002902	0.138236	0.003245	0.000325	108.350441	295.800293	98460.554687	0.138236	0.018828	0.001883	0.138236	0.007312	0.000731	0.000000	0.000000	0.138236	3.982692	0.000000	219.048041	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.433769	0.000000	0.000000	0.138236	5.923165	NaN	325.774050	0.000000	55.000000	0.000000	0.007813	0.001466	0.000089
