Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	partdepol height	part. depol 355	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)	vol. depol 1064	error	part. depol 1064	error	water_vapour_error	Sounding height	water_vapor_mix_sonde	Height NF 355 (km):	Beta355 NF (Mm^-1 sr^-1):	error beta355 NF (Mm^-1 sr^-1)	alpha 355 NF (Mm^-1 sr^-1):	error alpha355 NF (Mm^-1)	Spar 355 NF (sr):	error Spar 355 NF (sr)	BetaMOL 355 (m^-1 sr^-1)	BetaMOL 532 (m^-1 sr^-1)	BetaMOL 1064 (m^-1 sr^-1)
0.070993	-7.811537	0.000000	-1.464252	0.000000	-0.087599	0.000000	-429.634561	0.000000	-80.533876	0.000000	55.000000	0.000000	55.000000	0.000000	4.138815	0.000000	4.138815	0.000000	4.063102	0.000000	0.070993	0.031825	0.003183	0.070993	0.004278	0.000428	41.107300	296.207825	99217.406250	0.070993	0.019856	0.001986	0.070993	0.007556	0.000756	0.000000	0.000000	0.070993	-0.608475	0.000000	-33.466126	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.465454	0.000000	0.000000	0.070993	-5.589057	NaN	-307.398127	0.000000	55.000000	0.000000	0.007862	0.001475	0.000089
0.078465	-7.802278	0.000000	-1.462189	0.000000	-0.087070	0.000000	-429.125273	0.000000	-80.420413	0.000000	55.000000	0.000000	55.000000	0.000000	4.139368	0.000000	4.139368	0.000000	4.069813	0.000000	0.078465	0.031105	0.003111	0.078465	0.004263	0.000426	48.578762	296.162567	99133.312500	0.078465	0.019757	0.001976	0.078465	0.007550	0.000755	0.000000	0.000000	0.078465	-0.232824	0.000000	-12.805293	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.462808	0.000000	0.000000	0.078465	-4.560137	NaN	-250.807522	0.000000	55.000000	0.000000	0.007857	0.001474	0.000089
0.085936	-7.792556	0.000000	-1.460031	0.000000	-0.086384	0.000000	-428.590607	0.000000	-80.301729	0.000000	55.000000	0.000000	55.000000	0.000000	4.139937	0.000000	4.139937	0.000000	4.079087	0.000000	0.085936	0.031954	0.003195	0.085936	0.004237	0.000424	56.050220	296.117279	99049.218750	0.085936	0.019864	0.001986	0.085936	0.007543	0.000754	0.000000	0.000000	0.085936	0.186225	0.000000	10.242370	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.460969	0.000000	0.000000	0.085936	-3.380656	NaN	-185.936103	0.000000	55.000000	0.000000	0.007851	0.001473	0.000089
0.093408	-7.780859	0.000000	-1.457505	0.000000	-0.085230	0.000000	-427.947238	0.000000	-80.162761	0.000000	55.000000	0.000000	55.000000	0.000000	4.140505	0.000000	4.140505	0.000000	4.095988	0.000000	0.093408	0.032580	0.003258	0.093408	0.004205	0.000421	63.521683	296.071991	98965.125000	0.093408	0.019520	0.001952	0.093408	0.007535	0.000754	0.000000	0.000000	0.093408	0.635581	0.000000	34.956980	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.458833	0.000000	0.000000	0.093408	-2.118230	NaN	-116.502639	0.000000	55.000000	0.000000	0.007846	0.001472	0.000089
0.100879	-7.768003	0.000000	-1.454450	0.000000	-0.083539	0.000000	-427.240158	0.000000	-79.994743	0.000000	55.000000	0.000000	55.000000	0.000000	4.141604	0.000000	4.141604	0.000000	4.121883	0.000000	0.100879	0.032739	0.003274	0.100879	0.004165	0.000417	70.993141	296.026703	98881.031250	0.100879	0.019576	0.001958	0.100879	0.007523	0.000752	0.000000	0.000000	0.100879	1.099965	0.000000	60.498075	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.455690	0.000000	0.000000	0.100879	-0.809410	NaN	-44.517535	0.000000	55.000000	0.000000	0.007840	0.001471	0.000089
0.108350	-7.752168	0.000000	-1.450590	0.000000	-0.081023	0.000000	-426.369231	0.000000	-79.782446	0.000000	55.000000	0.000000	55.000000	0.000000	4.143129	0.000000	4.143129	0.000000	4.162168	0.000000	0.108350	0.032886	0.003289	0.108350	0.004110	0.000411	78.464600	295.981415	98796.937500	0.108350	0.019500	0.001950	0.108350	0.007508	0.000751	0.000000	0.000000	0.108350	1.546215	0.000000	85.041829	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.452354	0.000000	0.000000	0.108350	0.475531	NaN	26.154225	0.000000	55.000000	0.000000	0.007835	0.001470	0.000089
0.115822	-7.733192	0.000000	-1.445614	0.000000	-0.077548	0.000000	-425.325552	0.000000	-79.508790	0.000000	55.000000	0.000000	55.000000	0.000000	4.145564	0.000000	4.145564	0.000000	4.220455	0.000000	0.115822	0.032871	0.003287	0.115822	0.004033	0.000403	85.936066	295.936157	98712.843750	0.115822	0.019577	0.001958	0.115822	0.007487	0.000749	0.000000	0.000000	0.115822	1.947930	0.000000	107.136130	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.447885	0.000000	0.000000	0.115822	1.630256	NaN	89.664069	0.000000	55.000000	0.000000	0.007829	0.001469	0.000089
0.123293	-7.707991	0.000000	-1.438945	0.000000	-0.072753	0.000000	-423.939516	0.000000	-79.141977	0.000000	55.000000	0.000000	55.000000	0.000000	4.148926	0.000000	4.148926	0.000000	4.305857	0.000000	0.123293	0.032873	0.003287	0.123293	0.003923	0.000392	93.407524	295.890869	98628.750000	0.123293	0.019222	0.001922	0.123293	0.007460	0.000746	0.000000	0.000000	0.123293	2.274559	0.000000	125.100747	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.443468	0.000000	0.000000	0.123293	2.630597	NaN	144.682833	0.000000	55.000000	0.000000	0.007824	0.001468	0.000089
0.130765	-7.677081	0.000000	-1.430374	0.000000	-0.066488	0.000000	-422.239457	0.000000	-78.670553	0.000000	55.000000	0.000000	55.000000	0.000000	4.153762	0.000000	4.153762	0.000000	4.427152	0.000000	0.130765	0.033287	0.003329	0.130765	0.003765	0.000377	100.878983	295.845581	98544.648437	0.130765	0.019120	0.001912	0.130765	0.007423	0.000742	0.000000	0.000000	0.130765	2.520833	0.000000	138.645812	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.438552	0.000000	0.000000	0.130765	3.432237	NaN	188.773009	0.000000	55.000000	0.000000	0.007818	0.001467	0.000089
0.138236	-7.637610	0.000000	-1.419015	0.000000	-0.058422	0.000000	-420.068560	0.000000	-78.045832	0.000000	55.000000	0.000000	55.000000	0.000000	4.160729	0.000000	4.160729	0.000000	4.602223	0.000000	0.138236	0.033390	0.003339	0.138236	0.003553	0.000355	108.350441	295.800293	98460.554687	0.138236	0.018862	0.001886	0.138236	0.007377	0.000738	0.000000	0.000000	0.138236	2.693957	0.000000	148.167657	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.433769	0.000000	0.000000	0.138236	3.975369	NaN	218.645279	0.000000	55.000000	0.000000	0.007813	0.001466	0.000089
