Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	partdepol height	part. depol 355	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)	vol. depol 1064	error	part. depol 1064	error	water_vapour_error	Sounding height	water_vapor_mix_sonde	Height NF 355 (km):	Beta355 NF (Mm^-1 sr^-1):	error beta355 NF (Mm^-1 sr^-1)	alpha 355 NF (Mm^-1 sr^-1):	error alpha355 NF (Mm^-1)	Spar 355 NF (sr):	error Spar 355 NF (sr)	BetaMOL 355 (m^-1 sr^-1)	BetaMOL 532 (m^-1 sr^-1)	BetaMOL 1064 (m^-1 sr^-1)
0.070993	-7.809800	0.000000	-1.463796	0.000000	-0.087248	0.000000	-429.539005	0.000000	-80.508775	0.000000	55.000000	0.000000	55.000000	0.000000	4.139036	0.000000	4.139036	0.000000	4.068450	0.000000	0.070993	0.033242	0.003324	0.070993	0.004263	0.000426	41.107300	296.207825	99217.406250	0.070993	0.020527	0.002053	0.070993	0.007550	0.000755	0.000000	0.000000	0.070993	-0.572426	0.000000	-31.483411	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.465454	0.000000	0.000000	0.070993	-5.518389	NaN	-303.511372	0.000000	55.000000	0.000000	0.007862	0.001475	0.000089
0.078465	-7.800326	0.000000	-1.461649	0.000000	-0.086636	0.000000	-429.017955	0.000000	-80.390685	0.000000	55.000000	0.000000	55.000000	0.000000	4.139664	0.000000	4.139664	0.000000	4.076491	0.000000	0.078465	0.033324	0.003332	0.078465	0.004241	0.000424	48.578762	296.162567	99133.312500	0.078465	0.020414	0.002041	0.078465	0.007544	0.000754	0.000000	0.000000	0.078465	-0.183007	0.000000	-10.065381	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.462808	0.000000	0.000000	0.078465	-4.465841	NaN	-245.621251	0.000000	55.000000	0.000000	0.007857	0.001474	0.000089
0.085936	-7.790175	0.000000	-1.459304	0.000000	-0.085678	0.000000	-428.459643	0.000000	-80.261726	0.000000	55.000000	0.000000	55.000000	0.000000	4.140414	0.000000	4.140414	0.000000	4.090212	0.000000	0.085936	0.033460	0.003346	0.085936	0.004215	0.000421	56.050220	296.117279	99049.218750	0.085936	0.020435	0.002043	0.085936	0.007537	0.000754	0.000000	0.000000	0.085936	0.258629	0.000000	14.224578	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.460969	0.000000	0.000000	0.085936	-3.249128	NaN	-178.702039	0.000000	55.000000	0.000000	0.007851	0.001473	0.000089
0.093408	-7.778018	0.000000	-1.456532	0.000000	-0.084210	0.000000	-427.790975	0.000000	-80.109250	0.000000	55.000000	0.000000	55.000000	0.000000	4.141253	0.000000	4.141253	0.000000	4.112404	0.000000	0.093408	0.033900	0.003390	0.093408	0.004177	0.000418	63.521683	296.071991	98965.125000	0.093408	0.020232	0.002023	0.093408	0.007527	0.000753	0.000000	0.000000	0.093408	0.730610	0.000000	40.183567	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.458833	0.000000	0.000000	0.093408	-1.934114	NaN	-106.376274	0.000000	55.000000	0.000000	0.007846	0.001472	0.000089
0.100879	-7.763228	0.000000	-1.453044	0.000000	-0.082128	0.000000	-426.977527	0.000000	-79.917400	0.000000	55.000000	0.000000	55.000000	0.000000	4.142475	0.000000	4.142475	0.000000	4.145066	0.000000	0.100879	0.034063	0.003406	0.100879	0.004127	0.000413	70.993141	296.026703	98881.031250	0.100879	0.019921	0.001992	0.100879	0.007514	0.000751	0.000000	0.000000	0.100879	1.205143	0.000000	66.282888	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.455690	0.000000	0.000000	0.100879	-0.592963	NaN	-32.612988	0.000000	55.000000	0.000000	0.007840	0.001471	0.000089
0.108350	-7.746751	0.000000	-1.448735	0.000000	-0.078988	0.000000	-426.071292	0.000000	-79.680424	0.000000	55.000000	0.000000	55.000000	0.000000	4.144564	0.000000	4.144564	0.000000	4.197018	0.000000	0.108350	0.033630	0.003363	0.108350	0.004065	0.000407	78.464600	295.981415	98796.937500	0.108350	0.019809	0.001981	0.108350	0.007497	0.000750	0.000000	0.000000	0.108350	1.666283	0.000000	91.645583	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.452354	0.000000	0.000000	0.108350	0.716453	NaN	39.404891	0.000000	55.000000	0.000000	0.007835	0.001470	0.000089
0.115822	-7.725253	0.000000	-1.443060	0.000000	-0.074351	0.000000	-424.888930	0.000000	-79.368289	0.000000	55.000000	0.000000	55.000000	0.000000	4.147398	0.000000	4.147398	0.000000	4.278635	0.000000	0.115822	0.033772	0.003377	0.115822	0.003971	0.000397	85.936066	295.936157	98712.843750	0.115822	0.019525	0.001953	0.115822	0.007475	0.000747	0.000000	0.000000	0.115822	2.086893	0.000000	114.779122	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.447885	0.000000	0.000000	0.115822	1.941940	NaN	106.806705	0.000000	55.000000	0.000000	0.007829	0.001469	0.000089
0.123293	-7.698381	0.000000	-1.435459	0.000000	-0.068050	0.000000	-423.410981	0.000000	-78.950270	0.000000	55.000000	0.000000	55.000000	0.000000	4.151838	0.000000	4.151838	0.000000	4.398774	0.000000	0.123293	0.033841	0.003384	0.123293	0.003837	0.000384	93.407524	295.890869	98628.750000	0.123293	0.019554	0.001955	0.123293	0.007441	0.000744	0.000000	0.000000	0.123293	2.438067	0.000000	134.093684	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.443468	0.000000	0.000000	0.123293	2.968512	NaN	163.268144	0.000000	55.000000	0.000000	0.007824	0.001468	0.000089
0.130765	-7.663783	0.000000	-1.425228	0.000000	-0.059724	0.000000	-421.508065	0.000000	-78.387513	0.000000	55.000000	0.000000	55.000000	0.000000	4.158387	0.000000	4.158387	0.000000	4.576743	0.000000	0.130765	0.034175	0.003418	0.130765	0.003640	0.000364	100.878983	295.845581	98544.648437	0.130765	0.019326	0.001933	0.130765	0.007400	0.000740	0.000000	0.000000	0.130765	2.694979	0.000000	148.223866	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.438552	0.000000	0.000000	0.130765	3.770653	NaN	207.385926	0.000000	55.000000	0.000000	0.007818	0.001467	0.000089
0.138236	-7.620528	0.000000	-1.411984	0.000000	-0.049305	0.000000	-419.129055	0.000000	-77.659106	0.000000	55.000000	0.000000	55.000000	0.000000	4.167473	0.000000	4.167473	0.000000	4.839848	0.000000	0.138236	0.034122	0.003412	0.138236	0.003385	0.000338	108.350441	295.800293	98460.554687	0.138236	0.019154	0.001915	0.138236	0.007345	0.000734	0.000000	0.000000	0.138236	2.879794	0.000000	158.388673	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.433769	0.000000	0.000000	0.138236	4.334773	NaN	238.412538	0.000000	55.000000	0.000000	0.007813	0.001466	0.000089
