Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	partdepol height	part. depol 355	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)	vol. depol 1064	error	part. depol 1064	error	water_vapour_error	Sounding height	water_vapor_mix_sonde	Height NF 355 (km):	Beta355 NF (Mm^-1 sr^-1):	error beta355 NF (Mm^-1 sr^-1)	alpha 355 NF (Mm^-1 sr^-1):	error alpha355 NF (Mm^-1)	Spar 355 NF (sr):	error Spar 355 NF (sr)	BetaMOL 355 (m^-1 sr^-1)	BetaMOL 532 (m^-1 sr^-1)	BetaMOL 1064 (m^-1 sr^-1)
0.070993	-7.792406	0.000000	-1.457229	0.000000	-0.084868	0.000000	-428.582337	0.000000	-80.147621	0.000000	55.000000	0.000000	55.000000	0.000000	4.144638	0.000000	4.144638	0.000000	4.101856	0.000000	0.070993	0.027240	0.002724	0.070993	0.004190	0.000419	41.107300	296.207825	99217.406250	0.070993	0.020954	0.002095	0.070993	0.007519	0.000752	0.000000	0.000000	0.070993	0.126877	0.000000	6.978252	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.465454	0.000000	0.000000	0.070993	-4.531111	NaN	-249.211103	0.000000	55.000000	0.000000	0.007862	0.001475	0.000089
0.078465	-7.781187	0.000000	-1.454104	0.000000	-0.083725	0.000000	-427.965287	0.000000	-79.975730	0.000000	55.000000	0.000000	55.000000	0.000000	4.146384	0.000000	4.146384	0.000000	4.118325	0.000000	0.078465	0.027026	0.002703	0.078465	0.004159	0.000416	48.578762	296.162567	99133.312500	0.078465	0.020867	0.002087	0.078465	0.007510	0.000751	0.000000	0.000000	0.078465	0.768071	0.000000	42.243894	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.462808	0.000000	0.000000	0.078465	-3.101929	NaN	-170.606105	0.000000	55.000000	0.000000	0.007857	0.001474	0.000089
0.085936	-7.769131	0.000000	-1.450695	0.000000	-0.082076	0.000000	-427.302193	0.000000	-79.788217	0.000000	55.000000	0.000000	55.000000	0.000000	4.148354	0.000000	4.148354	0.000000	4.143638	0.000000	0.085936	0.026744	0.002674	0.085936	0.004126	0.000413	56.050220	296.117279	99049.218750	0.085936	0.020638	0.002064	0.085936	0.007500	0.000750	0.000000	0.000000	0.085936	1.487174	0.000000	81.794553	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.460969	0.000000	0.000000	0.085936	-1.475810	NaN	-81.169541	0.000000	55.000000	0.000000	0.007851	0.001473	0.000089
0.093408	-7.756091	0.000000	-1.446878	0.000000	-0.079894	0.000000	-426.584980	0.000000	-79.578288	0.000000	55.000000	0.000000	55.000000	0.000000	4.150714	0.000000	4.150714	0.000000	4.178716	0.000000	0.093408	0.026629	0.002663	0.093408	0.004085	0.000408	63.521683	296.071991	98965.125000	0.093408	0.020411	0.002041	0.093408	0.007490	0.000749	0.000000	0.000000	0.093408	2.245040	0.000000	123.477201	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.458833	0.000000	0.000000	0.093408	0.281431	NaN	15.478698	0.000000	55.000000	0.000000	0.007846	0.001472	0.000089
0.100879	-7.741218	0.000000	-1.442523	0.000000	-0.076624	0.000000	-425.767010	0.000000	-79.338748	0.000000	55.000000	0.000000	55.000000	0.000000	4.153421	0.000000	4.153421	0.000000	4.234661	0.000000	0.100879	0.026717	0.002672	0.100879	0.004032	0.000403	70.993141	296.026703	98881.031250	0.100879	0.020251	0.002025	0.100879	0.007476	0.000748	0.000000	0.000000	0.100879	3.025167	0.000000	166.384198	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.455690	0.000000	0.000000	0.100879	2.114550	NaN	116.300244	0.000000	55.000000	0.000000	0.007840	0.001471	0.000089
0.108350	-7.723506	0.000000	-1.437336	0.000000	-0.071904	0.000000	-424.792832	0.000000	-79.053462	0.000000	55.000000	0.000000	55.000000	0.000000	4.156664	0.000000	4.156664	0.000000	4.321185	0.000000	0.108350	0.027224	0.002722	0.108350	0.003958	0.000396	78.464600	295.981415	98796.937500	0.108350	0.020126	0.002013	0.108350	0.007457	0.000746	0.000000	0.000000	0.108350	3.765811	0.000000	207.119580	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.452354	0.000000	0.000000	0.108350	3.875436	NaN	213.149001	0.000000	55.000000	0.000000	0.007835	0.001470	0.000089
0.115822	-7.703550	0.000000	-1.430707	0.000000	-0.065093	0.000000	-423.695233	0.000000	-78.688862	0.000000	55.000000	0.000000	55.000000	0.000000	4.161695	0.000000	4.161695	0.000000	4.458074	0.000000	0.115822	0.026870	0.002687	0.115822	0.003877	0.000388	85.936066	295.936157	98712.843750	0.115822	0.020240	0.002024	0.115822	0.007432	0.000743	0.000000	0.000000	0.115822	4.429469	0.000000	243.620821	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.447885	0.000000	0.000000	0.115822	5.498199	NaN	302.400928	0.000000	55.000000	0.000000	0.007829	0.001469	0.000089
0.123293	-7.678410	0.000000	-1.422470	0.000000	-0.055211	0.000000	-422.312554	0.000000	-78.235827	0.000000	55.000000	0.000000	55.000000	0.000000	4.167888	0.000000	4.167888	0.000000	4.687290	0.000000	0.123293	0.026807	0.002681	0.123293	0.003764	0.000376	93.407524	295.890869	98628.750000	0.123293	0.020170	0.002017	0.123293	0.007400	0.000740	0.000000	0.000000	0.123293	4.996209	0.000000	274.791517	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.443468	0.000000	0.000000	0.123293	6.873357	NaN	378.034608	0.000000	55.000000	0.000000	0.007824	0.001468	0.000089
0.130765	-7.645894	0.000000	-1.411739	0.000000	-0.041746	0.000000	-420.524166	0.000000	-77.645657	0.000000	55.000000	0.000000	55.000000	0.000000	4.176116	0.000000	4.176116	0.000000	5.079687	0.000000	0.130765	0.027222	0.002722	0.130765	0.003595	0.000359	100.878983	295.845581	98544.648437	0.130765	0.019954	0.001995	0.130765	0.007360	0.000736	0.000000	0.000000	0.130765	5.419974	0.000000	298.098587	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.438552	0.000000	0.000000	0.130765	7.953014	NaN	437.415772	0.000000	55.000000	0.000000	0.007818	0.001467	0.000089
0.138236	-7.604020	0.000000	-1.397577	0.000000	-0.024324	0.000000	-418.221096	0.000000	-76.866713	0.000000	55.000000	0.000000	55.000000	0.000000	4.187465	0.000000	4.187465	0.000000	5.844390	0.000000	0.138236	0.027307	0.002731	0.138236	0.003374	0.000337	108.350441	295.800293	98460.554687	0.138236	0.019728	0.001973	0.138236	0.007306	0.000731	0.000000	0.000000	0.138236	5.734627	0.000000	315.404459	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.433769	0.000000	0.000000	0.138236	8.755385	NaN	481.546156	0.000000	55.000000	0.000000	0.007813	0.001466	0.000089
