Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	partdepol height	part. depol 355	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)	vol. depol 1064	error	part. depol 1064	error	water_vapour_error	Sounding height	water_vapor_mix_sonde	Height NF 355 (km):	Beta355 NF (Mm^-1 sr^-1):	error beta355 NF (Mm^-1 sr^-1)	alpha 355 NF (Mm^-1 sr^-1):	error alpha355 NF (Mm^-1)	Spar 355 NF (sr):	error Spar 355 NF (sr)	BetaMOL 355 (m^-1 sr^-1)	BetaMOL 532 (m^-1 sr^-1)	BetaMOL 1064 (m^-1 sr^-1)
0.070993	-7.807373	0.000000	-1.462780	0.000000	-0.086571	0.000000	-429.405534	0.000000	-80.452877	0.000000	55.000000	0.000000	55.000000	0.000000	4.139985	0.000000	4.139985	0.000000	4.078683	0.000000	0.070993	0.034042	0.003404	0.070993	0.004239	0.000424	41.107300	296.207825	99217.406250	0.070993	0.021462	0.002146	0.070993	0.007543	0.000754	0.000000	0.000000	0.070993	-0.440570	0.000000	-24.231325	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.465454	0.000000	0.000000	0.070993	-5.393313	NaN	-296.632226	0.000000	55.000000	0.000000	0.007862	0.001475	0.000089
0.078465	-7.797954	0.000000	-1.460486	0.000000	-0.085751	0.000000	-428.887474	0.000000	-80.326715	0.000000	55.000000	0.000000	55.000000	0.000000	4.140880	0.000000	4.140880	0.000000	4.090151	0.000000	0.078465	0.033866	0.003387	0.078465	0.004215	0.000422	48.578762	296.162567	99133.312500	0.078465	0.021493	0.002149	0.078465	0.007535	0.000754	0.000000	0.000000	0.078465	-0.003459	0.000000	-0.190264	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.462808	0.000000	0.000000	0.078465	-4.290942	NaN	-236.001809	0.000000	55.000000	0.000000	0.007857	0.001474	0.000089
0.085936	-7.787642	0.000000	-1.457978	0.000000	-0.084642	0.000000	-428.320294	0.000000	-80.188772	0.000000	55.000000	0.000000	55.000000	0.000000	4.141857	0.000000	4.141857	0.000000	4.106452	0.000000	0.085936	0.034249	0.003425	0.085936	0.004183	0.000418	56.050220	296.117279	99049.218750	0.085936	0.021768	0.002177	0.085936	0.007525	0.000753	0.000000	0.000000	0.085936	0.479330	0.000000	26.363142	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.460969	0.000000	0.000000	0.085936	-3.021405	NaN	-166.177302	0.000000	55.000000	0.000000	0.007851	0.001473	0.000089
0.093408	-7.775155	0.000000	-1.455130	0.000000	-0.082736	0.000000	-427.633525	0.000000	-80.032147	0.000000	55.000000	0.000000	55.000000	0.000000	4.142724	0.000000	4.142724	0.000000	4.136488	0.000000	0.093408	0.034783	0.003478	0.093408	0.004142	0.000414	63.521683	296.071991	98965.125000	0.093408	0.021542	0.002154	0.093408	0.007514	0.000751	0.000000	0.000000	0.093408	0.997736	0.000000	54.875457	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.458833	0.000000	0.000000	0.093408	-1.666348	NaN	-91.649143	0.000000	55.000000	0.000000	0.007846	0.001472	0.000089
0.100879	-7.761470	0.000000	-1.451564	0.000000	-0.080039	0.000000	-426.880851	0.000000	-79.836038	0.000000	55.000000	0.000000	55.000000	0.000000	4.144434	0.000000	4.144434	0.000000	4.180759	0.000000	0.100879	0.035050	0.003505	0.100879	0.004087	0.000409	70.993141	296.026703	98881.031250	0.100879	0.021588	0.002159	0.100879	0.007499	0.000750	0.000000	0.000000	0.100879	1.522828	0.000000	83.755556	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.455690	0.000000	0.000000	0.100879	-0.275940	NaN	-15.176694	0.000000	55.000000	0.000000	0.007840	0.001471	0.000089
0.108350	-7.744654	0.000000	-1.447071	0.000000	-0.075999	0.000000	-425.955980	0.000000	-79.588912	0.000000	55.000000	0.000000	55.000000	0.000000	4.146736	0.000000	4.146736	0.000000	4.251007	0.000000	0.108350	0.035338	0.003534	0.108350	0.004012	0.000401	78.464600	295.981415	98796.937500	0.108350	0.021616	0.002162	0.108350	0.007478	0.000748	0.000000	0.000000	0.108350	2.026573	0.000000	111.461493	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.452354	0.000000	0.000000	0.108350	1.124881	NaN	61.868461	0.000000	55.000000	0.000000	0.007835	0.001470	0.000089
0.115822	-7.722852	0.000000	-1.441148	0.000000	-0.070081	0.000000	-424.756855	0.000000	-79.263135	0.000000	55.000000	0.000000	55.000000	0.000000	4.149906	0.000000	4.149906	0.000000	4.362059	0.000000	0.115822	0.035735	0.003573	0.115822	0.003902	0.000390	85.936066	295.936157	98712.843750	0.115822	0.021293	0.002129	0.115822	0.007452	0.000745	0.000000	0.000000	0.115822	2.479426	0.000000	136.368447	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.447885	0.000000	0.000000	0.115822	2.380064	NaN	130.903514	0.000000	55.000000	0.000000	0.007829	0.001469	0.000089
0.123293	-7.695824	0.000000	-1.433086	0.000000	-0.062475	0.000000	-423.270298	0.000000	-78.819726	0.000000	55.000000	0.000000	55.000000	0.000000	4.155107	0.000000	4.155107	0.000000	4.519693	0.000000	0.123293	0.036048	0.003605	0.123293	0.003744	0.000374	93.407524	295.890869	98628.750000	0.123293	0.021319	0.002132	0.123293	0.007414	0.000741	0.000000	0.000000	0.123293	2.843808	0.000000	156.409457	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.443468	0.000000	0.000000	0.123293	3.443520	NaN	189.393597	0.000000	55.000000	0.000000	0.007824	0.001468	0.000089
0.130765	-7.661951	0.000000	-1.422513	0.000000	-0.052569	0.000000	-421.407297	0.000000	-78.238231	0.000000	55.000000	0.000000	55.000000	0.000000	4.162508	0.000000	4.162508	0.000000	4.758074	0.000000	0.130765	0.036371	0.003637	0.130765	0.003525	0.000352	100.878983	295.845581	98544.648437	0.130765	0.021171	0.002117	0.130765	0.007365	0.000737	0.000000	0.000000	0.130765	3.114323	0.000000	171.287743	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.438552	0.000000	0.000000	0.130765	4.249500	NaN	233.722483	0.000000	55.000000	0.000000	0.007818	0.001467	0.000089
0.138236	-7.617026	0.000000	-1.408818	0.000000	-0.040029	0.000000	-418.936416	0.000000	-77.485003	0.000000	55.000000	0.000000	55.000000	0.000000	4.171885	0.000000	4.171885	0.000000	5.137293	0.000000	0.138236	0.036743	0.003674	0.138236	0.003225	0.000323	108.350441	295.800293	98460.554687	0.138236	0.020810	0.002081	0.138236	0.007303	0.000730	0.000000	0.000000	0.138236	3.297220	0.000000	181.347124	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.433769	0.000000	0.000000	0.138236	4.836888	NaN	266.028862	0.000000	55.000000	0.000000	0.007813	0.001466	0.000089
