Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	partdepol height	part. depol 355	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)	vol. depol 1064	error	part. depol 1064	error	water_vapour_error	Sounding height	water_vapor_mix_sonde	Height NF 355 (km):	Beta355 NF (Mm^-1 sr^-1):	error beta355 NF (Mm^-1 sr^-1)	alpha 355 NF (Mm^-1 sr^-1):	error alpha355 NF (Mm^-1)	Spar 355 NF (sr):	error Spar 355 NF (sr)	BetaMOL 355 (m^-1 sr^-1)	BetaMOL 532 (m^-1 sr^-1)	BetaMOL 1064 (m^-1 sr^-1)
0.070993	-7.806402	0.000000	-1.462468	0.000000	-0.086898	0.000000	-429.352101	0.000000	-80.435714	0.000000	55.000000	0.000000	55.000000	0.000000	4.140204	0.000000	4.140204	0.000000	4.072934	0.000000	0.070993	0.031799	0.003180	0.070993	0.004246	0.000425	41.107300	296.207825	99217.406250	0.070993	0.021555	0.002155	0.070993	0.007541	0.000754	0.000000	0.000000	0.070993	-0.419373	0.000000	-23.065497	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.465454	0.000000	0.000000	0.070993	-5.269694	NaN	-289.833193	0.000000	55.000000	0.000000	0.007862	0.001475	0.000089
0.078465	-7.796945	0.000000	-1.460313	0.000000	-0.086247	0.000000	-428.831964	0.000000	-80.317213	0.000000	55.000000	0.000000	55.000000	0.000000	4.140852	0.000000	4.140852	0.000000	4.081659	0.000000	0.078465	0.032607	0.003261	0.078465	0.004220	0.000422	48.578762	296.162567	99133.312500	0.078465	0.021711	0.002171	0.078465	0.007533	0.000753	0.000000	0.000000	0.078465	0.009140	0.000000	0.502706	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.462808	0.000000	0.000000	0.078465	-4.152158	NaN	-228.368715	0.000000	55.000000	0.000000	0.007857	0.001474	0.000089
0.085936	-7.786683	0.000000	-1.457851	0.000000	-0.085306	0.000000	-428.267545	0.000000	-80.181821	0.000000	55.000000	0.000000	55.000000	0.000000	4.141767	0.000000	4.141767	0.000000	4.095057	0.000000	0.085936	0.034007	0.003401	0.085936	0.004182	0.000418	56.050220	296.117279	99049.218750	0.085936	0.021837	0.002184	0.085936	0.007523	0.000752	0.000000	0.000000	0.085936	0.482934	0.000000	26.561344	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.460969	0.000000	0.000000	0.085936	-2.891529	NaN	-159.034083	0.000000	55.000000	0.000000	0.007851	0.001473	0.000089
0.093408	-7.774336	0.000000	-1.454920	0.000000	-0.083781	0.000000	-427.588474	0.000000	-80.020597	0.000000	55.000000	0.000000	55.000000	0.000000	4.142820	0.000000	4.142820	0.000000	4.118166	0.000000	0.093408	0.034409	0.003441	0.093408	0.004141	0.000414	63.521683	296.071991	98965.125000	0.093408	0.021454	0.002145	0.093408	0.007513	0.000751	0.000000	0.000000	0.093408	0.994648	0.000000	54.705655	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.458833	0.000000	0.000000	0.093408	-1.516382	NaN	-83.401026	0.000000	55.000000	0.000000	0.007846	0.001472	0.000089
0.100879	-7.760642	0.000000	-1.451594	0.000000	-0.081592	0.000000	-426.835329	0.000000	-79.837659	0.000000	55.000000	0.000000	55.000000	0.000000	4.144120	0.000000	4.144120	0.000000	4.153073	0.000000	0.100879	0.035350	0.003535	0.100879	0.004085	0.000408	70.993141	296.026703	98881.031250	0.100879	0.021707	0.002171	0.100879	0.007497	0.000750	0.000000	0.000000	0.100879	1.518235	0.000000	83.502923	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.455690	0.000000	0.000000	0.100879	-0.111853	NaN	-6.151929	0.000000	55.000000	0.000000	0.007840	0.001471	0.000089
0.108350	-7.744113	0.000000	-1.447446	0.000000	-0.078239	0.000000	-425.926220	0.000000	-79.609523	0.000000	55.000000	0.000000	55.000000	0.000000	4.145923	0.000000	4.145923	0.000000	4.209480	0.000000	0.108350	0.036177	0.003618	0.108350	0.004009	0.000401	78.464600	295.981415	98796.937500	0.108350	0.021687	0.002169	0.108350	0.007477	0.000748	0.000000	0.000000	0.108350	2.012940	0.000000	110.711686	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.452354	0.000000	0.000000	0.108350	1.260246	NaN	69.313537	0.000000	55.000000	0.000000	0.007835	0.001470	0.000089
0.115822	-7.722147	0.000000	-1.441680	0.000000	-0.073682	0.000000	-424.718097	0.000000	-79.292383	0.000000	55.000000	0.000000	55.000000	0.000000	4.148769	0.000000	4.148769	0.000000	4.290285	0.000000	0.115822	0.036663	0.003666	0.115822	0.003899	0.000390	85.936066	295.936157	98712.843750	0.115822	0.021719	0.002172	0.115822	0.007446	0.000745	0.000000	0.000000	0.115822	2.449911	0.000000	134.745084	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.447885	0.000000	0.000000	0.115822	2.532904	NaN	139.309742	0.000000	55.000000	0.000000	0.007829	0.001469	0.000089
0.123293	-7.694050	0.000000	-1.434016	0.000000	-0.067494	0.000000	-423.172744	0.000000	-78.870870	0.000000	55.000000	0.000000	55.000000	0.000000	4.152934	0.000000	4.152934	0.000000	4.409148	0.000000	0.123293	0.037071	0.003707	0.123293	0.003744	0.000374	93.407524	295.890869	98628.750000	0.123293	0.021448	0.002145	0.123293	0.007409	0.000741	0.000000	0.000000	0.123293	2.814192	0.000000	154.780559	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.443468	0.000000	0.000000	0.123293	3.587635	NaN	197.319938	0.000000	55.000000	0.000000	0.007824	0.001468	0.000089
0.130765	-7.658803	0.000000	-1.423258	0.000000	-0.058890	0.000000	-421.234150	0.000000	-78.279185	0.000000	55.000000	0.000000	55.000000	0.000000	4.160198	0.000000	4.160198	0.000000	4.595041	0.000000	0.130765	0.037626	0.003763	0.130765	0.003509	0.000351	100.878983	295.845581	98544.648437	0.130765	0.021381	0.002138	0.130765	0.007356	0.000736	0.000000	0.000000	0.130765	3.092241	0.000000	170.073282	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.438552	0.000000	0.000000	0.130765	4.432337	NaN	243.778522	0.000000	55.000000	0.000000	0.007818	0.001467	0.000089
0.138236	-7.615314	0.000000	-1.409309	0.000000	-0.047940	0.000000	-418.842284	0.000000	-77.511972	0.000000	55.000000	0.000000	55.000000	0.000000	4.170469	0.000000	4.170469	0.000000	4.877610	0.000000	0.138236	0.037867	0.003787	0.138236	0.003198	0.000320	108.350441	295.800293	98460.554687	0.138236	0.021453	0.002145	0.138236	0.007285	0.000729	0.000000	0.000000	0.138236	3.290271	0.000000	180.964919	0.000000	55.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.433769	0.000000	0.000000	0.138236	5.024340	NaN	276.338724	0.000000	55.000000	0.000000	0.007813	0.001466	0.000089
