,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
0,1006.0,35.0,26.2,15.2,51.0,10.91,290.0,11.0,298.8,330.9,300.8
1,1005.0,43.0,25.6,15.4,53.0,11.03,305.0,6.0,298.3,330.7,300.3
2,1001.0,76.0,23.0,16.0,65.0,11.55,305.0,9.0,296.1,329.6,298.1
3,1000.0,84.0,23.0,16.0,65.0,11.56,305.0,10.0,296.1,329.7,298.2
4,971.0,338.0,20.5,15.3,72.0,11.36,300.0,14.0,296.1,329.1,298.1
5,958.0,455.0,19.3,14.9,76.0,11.27,315.0,14.0,296.1,328.8,298.1
6,930.0,711.0,16.8,14.2,85.0,11.07,315.0,10.0,296.0,328.1,298.0
7,926.0,749.0,16.4,14.1,86.0,11.04,315.0,9.0,296.0,328.0,297.9
8,925.0,758.0,16.4,13.8,85.0,10.83,315.0,9.0,296.1,327.5,298.0
9,919.0,813.0,16.8,6.8,52.0,6.79,309.0,9.0,297.0,317.2,298.2
10,888.0,1104.0,14.4,7.5,63.0,7.4,275.0,8.0,297.5,319.4,298.9
11,868.0,1296.0,12.9,8.1,72.0,7.84,255.0,11.0,297.8,321.0,299.2
12,863.0,1345.0,12.5,8.2,75.0,7.95,250.0,11.0,297.9,321.4,299.3
13,862.0,1355.0,12.4,8.2,76.0,7.97,251.0,11.0,297.9,321.5,299.4
14,850.0,1473.0,13.6,5.6,58.0,6.75,260.0,14.0,300.4,320.7,301.6
15,823.0,1744.0,12.4,3.6,55.0,6.06,280.0,17.0,301.9,320.4,303.1
16,803.0,1950.0,11.6,2.1,52.0,5.58,235.0,20.0,303.1,320.2,304.2
17,786.0,2129.0,10.8,0.8,50.0,5.19,226.0,26.0,304.2,320.2,305.1
18,783.0,2161.0,10.6,0.6,50.0,5.13,224.0,27.0,304.3,320.2,305.2
19,767.0,2333.0,10.2,-8.1,27.0,2.71,215.0,32.0,305.6,314.4,306.1
20,760.0,2409.0,10.0,-12.0,20.0,2.01,217.0,33.0,306.2,312.9,306.6
21,759.0,2420.0,10.0,-12.0,20.0,2.02,217.0,33.0,306.4,313.0,306.7
22,700.0,3086.0,5.0,-15.0,22.0,1.71,235.0,42.0,308.0,313.7,308.3
23,697.0,3121.0,4.8,-14.7,23.0,1.77,235.0,43.0,308.1,314.0,308.4
24,679.0,3334.0,3.4,-12.6,30.0,2.15,228.0,52.0,308.9,316.0,309.3
25,671.0,3430.0,3.7,-14.7,25.0,1.84,225.0,56.0,310.3,316.4,310.6
26,662.0,3539.0,4.0,-17.0,20.0,1.53,225.0,57.0,311.8,317.0,312.1
27,510.0,5594.0,-11.5,-35.3,12.0,0.37,220.0,74.0,317.1,318.5,317.2
28,500.0,5750.0,-12.7,-36.7,11.0,0.33,220.0,72.0,317.5,318.8,317.6
29,447.0,6594.0,-19.9,-40.9,14.0,0.24,225.0,76.0,318.8,319.7,318.8
30,432.0,6847.0,-21.7,-44.7,11.0,0.17,227.0,77.0,319.6,320.2,319.6
31,427.0,6932.0,-22.3,-38.3,22.0,0.33,227.0,78.0,319.9,321.2,320.0
32,425.0,6967.0,-22.5,-29.5,53.0,0.79,227.0,78.0,320.1,322.9,320.2
33,421.0,7036.0,-23.1,-28.1,64.0,0.9,228.0,78.0,320.2,323.4,320.3
34,413.0,7177.0,-23.9,-33.9,39.0,0.53,229.0,79.0,320.9,322.9,321.0
35,408.0,7266.0,-24.5,-30.5,58.0,0.74,229.0,79.0,321.2,324.0,321.4
36,400.0,7410.0,-25.5,-32.5,52.0,0.63,230.0,80.0,321.8,324.1,321.9
37,376.0,7856.0,-29.1,-59.1,4.0,0.04,233.0,78.0,322.7,322.9,322.8
38,358.0,8206.0,-31.1,-61.9,3.0,0.03,235.0,77.0,324.7,324.8,324.7
39,354.0,8286.0,-31.5,-62.5,3.0,0.02,236.0,78.0,325.1,325.2,325.1
40,300.0,9440.0,-39.1,-53.1,21.0,0.09,250.0,97.0,330.1,330.5,330.2
41,281.0,9883.0,-42.7,-50.7,41.0,0.13,250.0,106.0,331.2,331.7,331.2
42,250.0,10660.0,-48.1,-64.1,14.0,0.03,245.0,98.0,334.4,334.6,334.4
43,245.0,10794.0,-48.1,-68.1,8.0,0.02,245.0,100.0,336.4,336.4,336.4
