,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
0,1014.0,35.0,19.0,13.0,68.0,9.36,255.0,11.0,291.0,317.7,292.6
1,1008.0,84.0,16.6,12.4,76.0,9.05,255.0,11.0,289.1,314.7,290.7
2,1000.0,149.0,16.0,12.0,77.0,8.88,255.0,12.0,289.1,314.3,290.7
3,967.0,431.0,13.2,10.8,85.0,8.5,280.0,14.0,289.1,313.3,290.6
4,925.0,805.0,9.6,9.3,98.0,8.01,285.0,16.0,289.1,311.9,290.5
5,922.0,832.0,9.6,9.5,99.0,8.14,285.0,16.0,289.4,312.6,290.8
6,920.0,850.0,9.2,6.9,86.0,6.83,285.0,16.0,289.2,308.7,290.4
7,918.0,868.0,9.4,4.5,71.0,5.78,286.0,16.0,289.5,306.3,290.6
8,904.0,995.0,8.6,4.3,74.0,5.79,287.0,16.0,290.0,306.8,291.0
9,885.0,1171.0,7.0,7.0,100.0,7.15,289.0,15.0,290.1,310.6,291.4
10,875.0,1264.0,6.4,5.2,92.0,6.39,290.0,15.0,290.4,308.8,291.5
11,850.0,1501.0,4.8,0.7,75.0,4.76,275.0,15.0,291.2,305.1,292.0
12,841.0,1588.0,4.3,-0.1,73.0,4.53,265.0,17.0,291.5,304.9,292.3
13,839.0,1607.0,4.2,-0.3,73.0,4.48,266.0,17.0,291.6,304.8,292.4
14,810.0,1891.0,2.3,-0.4,82.0,4.6,275.0,20.0,292.6,306.2,293.4
15,783.0,2165.0,0.5,-0.5,93.0,4.72,260.0,20.0,293.4,307.4,294.3
16,769.0,2311.0,-0.5,-0.6,99.0,4.79,272.0,20.0,293.9,308.1,294.8
17,765.0,2353.0,0.2,-1.7,87.0,4.44,275.0,20.0,295.1,308.4,295.9
18,755.0,2458.0,-0.3,-4.0,76.0,3.78,275.0,19.0,295.7,307.1,296.3
19,735.0,2672.0,-2.3,-3.3,93.0,4.1,275.0,17.0,295.8,308.1,296.5
20,722.0,2814.0,-1.9,-10.9,50.0,2.32,275.0,16.0,297.7,305.0,298.1
21,717.0,2870.0,-2.1,-17.7,29.0,1.33,275.0,15.0,298.1,302.4,298.4
22,716.0,2881.0,-2.1,-19.1,26.0,1.19,275.0,15.0,298.2,302.1,298.4
23,700.0,3060.0,-2.7,-24.7,17.0,0.74,280.0,20.0,299.5,302.0,299.6
24,601.0,4256.0,-7.7,-51.7,2.0,0.05,278.0,30.0,307.0,307.2,307.0
25,595.0,4333.0,-7.7,-51.7,2.0,0.05,278.0,31.0,307.9,308.1,307.9
26,528.0,5250.0,-14.5,-29.5,27.0,0.63,276.0,39.0,310.4,312.7,310.6
27,500.0,5660.0,-16.9,-36.9,16.0,0.32,275.0,43.0,312.4,313.6,312.4
28,492.0,5781.0,-17.8,-37.8,16.0,0.3,275.0,41.0,312.7,313.8,312.7
29,488.0,5842.0,-18.3,-38.3,16.0,0.29,275.0,43.0,312.8,313.9,312.9
30,466.0,6185.0,-19.1,-52.4,4.0,0.06,275.0,57.0,316.0,316.3,316.0
31,460.0,6281.0,-19.3,-56.3,2.0,0.04,274.0,56.0,316.9,317.1,316.9
32,417.0,6997.0,-25.5,-59.7,3.0,0.03,270.0,52.0,318.0,318.1,318.0
33,400.0,7300.0,-28.1,-61.1,3.0,0.03,270.0,58.0,318.4,318.5,318.4
34,344.0,8364.0,-35.7,-59.7,7.0,0.04,267.0,70.0,322.1,322.2,322.1
35,318.0,8905.0,-39.9,-49.9,34.0,0.13,266.0,76.0,323.6,324.1,323.6
36,300.0,9300.0,-43.3,-54.3,29.0,0.08,265.0,80.0,324.2,324.6,324.2
