,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
0,1014.0,35.0,18.6,11.6,64.0,8.53,250.0,10.0,290.6,315.0,292.1
1,1001.0,144.0,15.8,10.7,71.0,8.11,280.0,10.0,288.9,311.9,290.3
2,1000.0,152.0,15.6,10.6,72.0,8.08,280.0,10.0,288.8,311.7,290.2
3,994.0,203.0,14.8,10.1,73.0,7.86,280.0,10.0,288.4,310.8,289.8
4,931.0,753.0,9.7,9.3,97.0,7.94,280.0,10.0,288.7,311.2,290.1
5,925.0,807.0,9.2,9.2,100.0,7.95,275.0,8.0,288.7,311.3,290.1
6,914.0,906.0,8.2,7.9,98.0,7.36,273.0,7.0,288.7,309.6,289.9
7,857.0,1436.0,5.0,3.5,90.0,5.76,260.0,3.0,290.7,307.4,291.7
8,850.0,1503.0,4.6,2.9,89.0,5.58,265.0,4.0,290.9,307.2,291.9
9,825.0,1746.0,3.2,1.0,85.0,5.01,254.0,7.0,292.0,306.7,292.9
10,801.0,1985.0,2.4,-6.6,51.0,2.93,242.0,9.0,293.6,302.5,294.1
11,796.0,2036.0,1.8,-6.5,54.0,2.98,240.0,10.0,293.5,302.6,294.0
12,787.0,2127.0,0.8,-6.2,59.0,3.07,257.0,11.0,293.4,302.7,293.9
13,773.0,2271.0,0.2,-9.9,47.0,2.34,285.0,12.0,294.2,301.4,294.6
14,769.0,2313.0,0.0,-11.0,43.0,2.16,288.0,13.0,294.4,301.1,294.8
15,763.0,2376.0,0.6,-29.4,8.0,0.44,293.0,14.0,295.8,297.3,295.8
16,759.0,2418.0,1.0,-27.0,10.0,0.56,296.0,14.0,296.6,298.5,296.7
17,756.0,2450.0,0.8,-33.2,6.0,0.31,298.0,15.0,296.7,297.8,296.8
18,754.0,2471.0,0.8,-32.9,6.0,0.32,300.0,15.0,296.9,298.1,297.0
19,743.0,2589.0,0.6,-31.4,7.0,0.38,295.0,16.0,298.0,299.3,298.1
20,738.0,2643.0,0.2,-11.8,40.0,2.11,293.0,17.0,298.1,304.8,298.5
21,728.0,2752.0,-0.5,-11.5,43.0,2.19,289.0,18.0,298.5,305.5,298.9
22,709.0,2963.0,-1.2,-14.2,36.0,1.81,280.0,21.0,300.1,305.9,300.4
23,700.0,3065.0,-1.5,-15.5,34.0,1.64,280.0,22.0,300.8,306.1,301.1
24,682.0,3272.0,-2.1,-21.1,22.0,1.05,279.0,24.0,302.4,305.9,302.6
25,680.0,3295.0,-2.1,-16.1,33.0,1.61,279.0,24.0,302.6,307.9,302.9
26,588.0,4431.0,-10.3,-20.3,44.0,1.3,275.0,32.0,305.9,310.3,306.2
27,536.0,5138.0,-14.7,-35.7,15.0,0.34,272.0,38.0,308.9,310.1,308.9
28,500.0,5660.0,-18.1,-35.1,21.0,0.39,270.0,42.0,310.9,312.3,311.0
29,479.0,5977.0,-20.8,-34.4,28.0,0.43,275.0,46.0,311.4,313.0,311.5
30,469.0,6133.0,-22.1,-34.1,33.0,0.46,274.0,45.0,311.7,313.4,311.8
31,442.0,6564.0,-25.7,-41.0,22.0,0.24,270.0,43.0,312.5,313.4,312.5
32,429.0,6780.0,-27.5,-44.5,18.0,0.17,270.0,47.0,312.8,313.5,312.9
33,400.0,7280.0,-30.3,-48.3,16.0,0.12,270.0,57.0,315.5,316.0,315.6
34,339.0,8438.0,-37.9,-60.9,7.0,0.03,274.0,74.0,320.4,320.6,320.4
35,321.0,8809.0,-40.1,-63.1,7.0,0.02,275.0,79.0,322.4,322.5,322.4
36,300.0,9270.0,-42.9,-65.9,6.0,0.02,270.0,80.0,324.8,324.9,324.8
37,262.0,10172.0,-48.7,-65.7,12.0,0.02,266.0,84.0,329.1,329.2,329.1
38,250.0,10480.0,-49.7,-70.7,7.0,0.01,265.0,85.0,332.1,332.1,332.1
39,249.0,10506.0,-49.7,-70.7,7.0,0.01,265.0,85.0,332.4,332.5,332.4
40,219.0,11355.0,-44.3,-78.3,1.0,0.0,262.0,86.0,353.2,353.2,353.2
41,200.0,11960.0,-46.5,-79.5,1.0,0.0,260.0,86.0,359.0,359.0,359.0
42,177.0,12754.0,-50.8,-82.0,1.0,0.0,260.0,95.0,364.8,364.8,364.8
43,158.0,13492.0,-54.7,-84.4,1.0,0.0,255.0,83.0,370.1,370.1,370.1
