,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
0,1009.0,35.0,30.8,17.8,46.0,12.87,320.0,9.0,303.2,341.6,305.5
1,1003.0,89.0,28.4,14.4,42.0,10.38,323.0,9.0,301.3,332.2,303.2
2,1000.0,116.0,28.2,14.2,42.0,10.28,325.0,9.0,301.4,332.0,303.2
3,963.0,449.0,26.0,12.0,42.0,9.23,346.0,10.0,302.4,330.1,304.1
4,957.0,504.0,27.0,5.2,25.0,5.82,350.0,10.0,303.9,321.8,305.0
5,953.0,541.0,27.6,0.6,17.0,4.21,347.0,9.0,304.9,318.1,305.7
6,925.0,804.0,26.0,1.0,20.0,4.47,325.0,5.0,305.9,319.9,306.7
7,909.0,956.0,24.8,0.2,20.0,4.28,350.0,1.0,306.1,319.6,306.9
8,850.0,1539.0,20.0,-3.0,21.0,3.62,235.0,3.0,307.1,318.6,307.8
9,832.0,1723.0,18.6,-4.4,21.0,3.33,226.0,4.0,307.5,318.2,308.1
10,764.0,2436.0,12.0,-5.1,30.0,3.44,190.0,10.0,307.9,319.0,308.6
11,739.0,2714.0,9.4,-5.4,35.0,3.49,225.0,11.0,308.1,319.2,308.7
12,700.0,3168.0,5.2,-5.8,45.0,3.56,225.0,11.0,308.2,319.6,308.9
13,691.0,3273.0,4.1,-6.4,46.0,3.45,225.0,11.0,308.1,319.2,308.8
14,682.0,3380.0,3.0,-7.0,48.0,3.33,209.0,10.0,308.1,318.8,308.7
15,677.0,3440.0,2.6,-9.4,41.0,2.79,200.0,10.0,308.3,317.3,308.8
16,662.0,3621.0,1.4,-16.6,25.0,1.59,244.0,10.0,308.9,314.2,309.2
17,647.0,3805.0,2.0,-27.2,9.0,0.64,290.0,10.0,311.6,313.9,311.7
18,642.0,3868.0,2.2,-30.8,7.0,0.46,291.0,9.0,312.5,314.2,312.6
19,618.0,4170.0,-0.2,-29.1,9.0,0.56,295.0,4.0,313.2,315.3,313.3
20,547.0,5138.0,-7.7,-23.7,26.0,1.04,287.0,19.0,315.4,319.1,315.6
21,532.0,5352.0,-9.3,-26.2,24.0,0.85,285.0,22.0,316.0,319.0,316.1
22,500.0,5830.0,-12.9,-31.9,19.0,0.53,290.0,19.0,317.2,319.2,317.4
23,429.0,6976.0,-22.6,-41.6,16.0,0.23,295.0,23.0,319.1,320.1,319.2
24,424.0,7064.0,-23.3,-42.3,16.0,0.22,288.0,22.0,319.3,320.1,319.3
25,422.0,7099.0,-23.4,-43.4,14.0,0.2,285.0,22.0,319.5,320.3,319.6
26,402.0,7454.0,-24.9,-54.9,4.0,0.06,261.0,32.0,322.1,322.3,322.1
