,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
0,1010.0,35.0,28.0,17.0,51.0,12.21,275.0,6.0,300.3,336.4,302.5
1,1004.0,88.0,25.6,16.6,58.0,11.97,281.0,7.0,298.4,333.5,300.6
2,1000.0,123.0,25.2,16.2,57.0,11.71,285.0,7.0,298.4,332.7,300.4
3,925.0,800.0,18.2,14.8,81.0,11.57,220.0,3.0,297.9,331.7,300.0
4,902.0,1016.0,16.6,13.6,82.0,10.97,198.0,2.0,298.4,330.6,300.4
5,893.0,1102.0,17.4,7.4,52.0,7.28,189.0,2.0,300.1,321.9,301.4
6,884.0,1188.0,16.9,4.2,43.0,5.87,180.0,2.0,300.4,318.2,301.5
7,873.0,1295.0,16.2,0.2,34.0,4.47,194.0,3.0,300.8,314.5,301.6
8,850.0,1522.0,16.4,-11.6,14.0,1.86,225.0,5.0,303.3,309.4,303.6
9,840.0,1623.0,17.6,-15.4,9.0,1.38,229.0,5.0,305.6,310.2,305.9
10,830.0,1725.0,16.8,-2.2,27.0,3.94,234.0,6.0,305.8,318.2,306.5
11,771.0,2347.0,11.6,-2.4,38.0,4.18,261.0,9.0,306.7,319.9,307.5
12,753.0,2542.0,10.0,-4.0,37.0,3.8,270.0,10.0,307.1,319.2,307.8
13,740.0,2686.0,8.9,-5.1,37.0,3.55,285.0,10.0,307.4,318.7,308.0
14,703.0,3110.0,5.5,-8.5,36.0,2.87,260.0,13.0,308.1,317.4,308.7
15,700.0,3145.0,5.2,-8.8,36.0,2.82,260.0,14.0,308.2,317.4,308.7
16,649.0,3757.0,0.4,-12.6,37.0,2.25,248.0,20.0,309.5,316.9,309.9
17,601.0,4366.0,-2.3,-27.1,13.0,0.69,235.0,27.0,313.2,315.7,313.3
18,556.0,4983.0,-5.1,-41.8,4.0,0.18,255.0,33.0,317.0,317.7,317.0
19,544.0,5155.0,-5.9,-45.9,3.0,0.12,251.0,35.0,318.0,318.5,318.1
20,524.0,5446.0,-7.8,-44.8,3.0,0.14,245.0,38.0,319.1,319.6,319.1
21,500.0,5810.0,-10.3,-43.3,5.0,0.17,250.0,35.0,320.4,321.1,320.4
22,440.0,6779.0,-17.7,-48.2,5.0,0.11,255.0,37.0,323.0,323.4,323.0
23,428.0,6989.0,-19.3,-49.3,5.0,0.1,255.0,41.0,323.5,323.9,323.5
24,424.0,7059.0,-19.5,-53.5,3.0,0.06,255.0,42.0,324.1,324.4,324.1
25,403.0,7435.0,-22.1,-33.1,36.0,0.59,255.0,50.0,325.5,327.7,325.6
26,400.0,7490.0,-22.1,-35.1,30.0,0.49,255.0,51.0,326.2,328.0,326.3
27,391.0,7657.0,-22.9,-40.0,19.0,0.3,260.0,58.0,327.2,328.4,327.3
28,389.0,7694.0,-23.1,-41.1,18.0,0.27,259.0,58.0,327.5,328.6,327.5
29,339.0,8677.0,-31.7,-45.8,23.0,0.19,235.0,60.0,328.9,329.7,329.0
30,326.0,8956.0,-34.1,-47.1,26.0,0.17,237.0,64.0,329.3,330.0,329.3
31,300.0,9530.0,-39.1,-43.7,62.0,0.27,240.0,71.0,330.1,331.2,330.2
32,294.0,9669.0,-40.3,-43.2,74.0,0.29,240.0,71.0,330.4,331.5,330.4
33,293.0,9692.0,-40.7,-44.5,67.0,0.25,240.0,71.0,330.1,331.1,330.2
34,281.0,9977.0,-42.5,-60.5,12.0,0.04,240.0,70.0,331.5,331.7,331.5
35,250.0,10760.0,-47.9,-60.9,21.0,0.04,240.0,69.0,334.7,334.9,334.7
36,233.0,11222.0,-50.7,-61.7,26.0,0.04,245.0,75.0,337.3,337.5,337.3
37,205.0,12050.0,-53.5,-71.3,10.0,0.01,240.0,77.0,345.4,345.4,345.4
38,200.0,12210.0,-54.1,-73.1,8.0,0.01,245.0,74.0,346.9,347.0,346.9
39,151.0,13988.0,-59.8,-81.7,4.0,0.0,240.0,56.0,366.2,366.2,366.2
40,150.0,14030.0,-59.9,-81.9,4.0,0.0,240.0,56.0,366.7,366.7,366.7
41,148.0,14114.0,-60.1,-82.1,4.0,0.0,240.0,57.0,367.8,367.8,367.8
42,136.0,14636.0,-63.1,-84.1,4.0,0.0,243.0,63.0,371.4,371.4,371.4
43,130.0,14913.0,-62.5,-85.6,3.0,0.0,245.0,66.0,377.3,377.3,377.3
44,122.0,15304.0,-61.7,-87.7,2.0,0.0,245.0,61.0,385.7,385.7,385.7
45,109.0,15988.0,-66.0,-88.8,3.0,0.0,245.0,53.0,390.3,390.3,390.3
46,102.0,16392.0,-68.5,-89.5,4.0,0.0,260.0,49.0,392.9,392.9,392.9
47,100.0,16510.0,-68.3,-89.3,4.0,0.0,260.0,45.0,395.5,395.5,395.5
48,95.0,16818.0,-68.7,-89.4,4.0,0.0,240.0,44.0,400.6,400.6,400.6
49,92.0,17010.0,-68.9,-89.5,4.0,0.0,245.0,53.0,403.9,403.9,403.9
50,84.0,17555.0,-69.5,-89.7,4.0,0.0,270.0,51.0,413.2,413.2,413.2
51,82.3,17678.0,-69.7,-89.7,4.0,0.0,262.0,44.0,415.3,415.3,415.3
52,79.0,17925.0,-67.0,-90.0,3.0,0.0,245.0,30.0,425.8,425.9,425.8
53,78.0,18002.0,-66.1,-90.1,2.0,0.0,247.0,32.0,429.2,429.2,429.2
54,76.0,18160.0,-66.0,-90.3,2.0,0.0,250.0,37.0,432.5,432.5,432.5
55,71.0,18574.0,-65.9,-90.8,2.0,0.0,290.0,35.0,441.2,441.2,441.2
56,70.0,18660.0,-65.9,-90.9,2.0,0.0,300.0,29.0,443.1,443.1,443.1
57,69.0,18747.0,-65.7,-91.0,2.0,0.0,300.0,25.0,445.4,445.4,445.4
58,66.0,19017.0,-64.9,-91.3,2.0,0.0,265.0,16.0,452.8,452.8,452.8
59,64.6,19148.0,-64.5,-91.5,1.0,0.0,274.0,14.0,456.4,456.4,456.4
60,62.0,19395.0,-65.5,-92.1,1.0,0.0,290.0,10.0,459.6,459.6,459.6
61,59.0,19694.0,-66.7,-92.8,1.0,0.0,0.0,0.0,463.5,463.5,463.5
62,55.0,20117.0,-68.4,-93.8,2.0,0.0,175.0,10.0,469.0,469.0,469.0
63,52.9,20352.0,-69.3,-94.3,2.0,0.0,215.0,15.0,472.1,472.1,472.1
64,51.0,20571.0,-67.3,-94.3,1.0,0.0,245.0,23.0,481.6,481.6,481.6
65,50.0,20690.0,-66.3,-94.3,1.0,0.0,275.0,22.0,486.8,486.8,486.8
66,49.0,20813.0,-65.2,-93.4,1.0,0.0,300.0,24.0,492.3,492.4,492.3
67,46.4,21146.0,-62.1,-91.1,1.0,0.0,333.0,17.0,507.4,507.4,507.4
68,44.0,21477.0,-61.3,-90.7,1.0,0.0,5.0,11.0,517.2,517.2,517.2
69,43.0,21621.0,-60.9,-90.5,1.0,0.0,75.0,2.0,521.5,521.5,521.5
70,42.0,21767.0,-60.6,-90.3,1.0,0.0,185.0,10.0,525.9,525.9,525.9
71,41.0,21918.0,-60.2,-90.1,1.0,0.0,185.0,14.0,530.5,530.5,530.5
72,39.0,22229.0,-59.4,-89.6,1.0,0.0,195.0,11.0,540.0,540.1,540.0
73,37.0,22557.0,-58.6,-89.2,1.0,0.0,255.0,11.0,550.3,550.3,550.3
74,35.0,22904.0,-57.7,-88.7,1.0,0.0,260.0,3.0,561.4,561.4,561.4
75,34.9,22922.0,-57.7,-88.7,1.0,0.0,260.0,3.0,561.9,562.0,561.9
76,33.0,23273.0,-59.2,-90.2,1.0,0.0,255.0,10.0,566.9,566.9,566.9
77,32.7,23330.0,-59.5,-90.5,1.0,0.0,265.0,11.0,567.7,567.7,567.7
78,32.0,23465.0,-59.1,-90.1,1.0,0.0,290.0,14.0,572.3,572.3,572.3
79,31.0,23664.0,-58.5,-89.5,1.0,0.0,295.0,12.0,579.1,579.1,579.1
80,30.0,23870.0,-57.9,-88.9,1.0,0.0,250.0,10.0,586.2,586.2,586.2
81,29.0,24087.0,-57.3,-88.5,1.0,0.01,265.0,15.0,593.6,593.7,593.6
82,28.0,24312.0,-56.6,-88.2,1.0,0.01,280.0,10.0,601.4,601.4,601.4
83,27.0,24545.0,-56.0,-87.8,1.0,0.01,265.0,13.0,609.5,609.6,609.5
84,26.0,24787.0,-55.3,-87.3,1.0,0.01,260.0,18.0,618.1,618.1,618.1
85,25.0,25039.0,-54.6,-86.9,1.0,0.01,265.0,12.0,627.1,627.2,627.1
86,23.0,25573.0,-53.0,-86.0,1.0,0.01,280.0,10.0,646.7,646.8,646.7
87,22.0,25858.0,-52.2,-85.5,1.0,0.01,315.0,13.0,657.4,657.5,657.4
88,20.0,26469.0,-50.5,-84.5,1.0,0.02,680.8,681.0,680.8,,
