,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
0,1009.0,35.0,27.0,17.0,54.0,12.22,320.0,11.0,299.4,335.4,301.6
1,1008.0,44.0,25.4,15.4,54.0,11.03,313.0,11.0,297.9,330.2,299.9
2,1007.0,53.0,25.2,15.5,55.0,11.11,305.0,11.0,297.8,330.3,299.8
3,1000.0,117.0,24.2,16.2,61.0,11.71,315.0,16.0,297.4,331.5,299.4
4,948.0,582.0,19.6,15.9,79.0,12.13,347.0,12.0,297.2,332.6,299.4
5,928.0,765.0,18.0,15.6,86.0,12.18,0.0,10.0,297.5,333.0,299.6
6,925.0,793.0,17.8,15.6,87.0,12.19,5.0,8.0,297.5,333.1,299.7
7,921.0,830.0,17.4,15.3,87.0,12.01,5.0,7.0,297.5,332.5,299.6
8,905.0,980.0,17.0,12.8,76.0,10.36,3.0,5.0,298.5,329.0,300.4
9,896.0,1066.0,17.8,7.8,52.0,7.46,2.0,4.0,300.2,322.6,301.6
10,872.0,1298.0,16.8,3.8,42.0,5.8,0.0,0.0,301.5,319.2,302.6
11,871.0,1307.0,16.7,4.0,43.0,5.87,0.0,0.0,301.6,319.4,302.6
12,850.0,1515.0,15.4,7.4,59.0,7.65,165.0,5.0,302.3,325.4,303.7
13,842.0,1595.0,14.8,7.8,63.0,7.94,167.0,7.0,302.4,326.4,303.9
14,829.0,1727.0,15.5,4.7,48.0,6.48,170.0,10.0,304.5,324.4,305.7
15,815.0,1872.0,16.2,1.2,36.0,5.15,181.0,12.0,306.8,322.9,307.7
16,782.0,2222.0,14.4,-0.6,36.0,4.71,209.0,15.0,308.5,323.4,309.4
17,758.0,2481.0,11.9,-1.4,40.0,4.58,230.0,18.0,308.6,323.1,309.4
18,700.0,3143.0,5.6,-3.4,52.0,4.27,230.0,26.0,308.6,322.2,309.4
19,682.0,3353.0,3.6,-3.7,59.0,4.29,230.0,28.0,308.7,322.3,309.5
20,631.0,3980.0,-2.5,-4.5,86.0,4.36,234.0,24.0,308.7,322.5,309.5
21,626.0,4043.0,-1.9,-21.9,20.0,1.06,234.0,24.0,310.1,313.8,310.3
22,617.0,4158.0,-1.7,-28.7,11.0,0.58,235.0,23.0,311.6,313.7,311.7
23,614.0,4197.0,-1.9,-29.7,10.0,0.53,235.0,23.0,311.9,313.8,311.9
24,592.0,4486.0,-3.1,-37.1,5.0,0.27,227.0,19.0,313.7,314.7,313.7
25,550.0,5064.0,-6.7,-33.5,10.0,0.41,210.0,10.0,316.1,317.7,316.2
26,545.0,5135.0,-7.1,-33.1,11.0,0.43,213.0,11.0,316.4,318.1,316.5
27,521.0,5483.0,-9.8,-36.3,9.0,0.33,230.0,15.0,317.2,318.5,317.3
28,500.0,5800.0,-12.3,-39.3,9.0,0.25,225.0,19.0,318.0,319.0,318.0
29,422.0,7071.0,-23.5,-42.5,16.0,0.22,217.0,22.0,319.4,320.3,319.5
30,400.0,7460.0,-27.3,-35.3,47.0,0.48,215.0,23.0,319.4,321.2,319.5
31,389.0,7659.0,-29.1,-35.0,57.0,0.51,215.0,24.0,319.6,321.4,319.7
32,372.0,7978.0,-32.1,-34.5,79.0,0.55,209.0,22.0,319.8,321.8,319.9
33,349.0,8423.0,-36.0,-40.0,66.0,0.34,200.0,18.0,320.4,321.7,320.4
34,336.0,8688.0,-38.3,-43.3,59.0,0.25,210.0,16.0,320.7,321.7,320.8
35,334.0,8729.0,-38.7,-41.2,77.0,0.31,212.0,16.0,320.7,321.9,320.8
36,330.0,8812.0,-39.7,-44.1,63.0,0.23,215.0,15.0,320.4,321.4,320.5
37,324.0,8937.0,-40.5,-46.5,52.0,0.18,226.0,16.0,321.0,321.8,321.1
38,322.0,8979.0,-40.6,-52.5,26.0,0.09,230.0,17.0,321.5,321.9,321.5
39,319.0,9043.0,-40.7,-61.7,9.0,0.03,226.0,17.0,322.2,322.3,322.2
40,315.0,9129.0,-40.9,-58.7,13.0,0.04,220.0,17.0,323.1,323.3,323.1
41,314.0,9150.0,-40.9,-57.9,14.0,0.05,221.0,18.0,323.4,323.6,323.4
42,300.0,9460.0,-42.3,-61.3,11.0,0.03,235.0,25.0,325.6,325.8,325.6
43,261.0,10385.0,-46.3,-69.3,6.0,0.01,250.0,33.0,333.0,333.1,333.0
44,252.0,10618.0,-47.3,-71.3,5.0,0.01,246.0,34.0,334.9,334.9,334.9
45,250.0,10670.0,-47.1,-71.1,5.0,0.01,245.0,34.0,335.9,336.0,335.9
46,247.0,10750.0,-46.9,-69.9,6.0,0.01,244.0,34.0,337.4,337.4,337.4
47,227.0,11304.0,-50.1,-70.8,7.0,0.01,240.0,35.0,340.7,340.8,340.7
48,213.0,11721.0,-52.5,-71.5,8.0,0.01,243.0,41.0,343.2,343.3,343.2
49,207.0,11906.0,-51.5,-78.5,3.0,0.0,244.0,43.0,347.6,347.6,347.6
50,200.0,12130.0,-51.9,-73.9,5.0,0.01,245.0,46.0,350.4,350.5,350.4
51,177.0,12907.0,-54.7,-78.0,4.0,0.01,260.0,42.0,358.3,358.3,358.3
52,170.0,13164.0,-55.6,-79.3,4.0,0.0,245.0,48.0,360.9,360.9,360.9
53,150.0,13960.0,-58.5,-83.5,3.0,0.0,250.0,60.0,369.1,369.1,369.1
54,145.0,14172.0,-59.2,-83.9,3.0,0.0,255.0,57.0,371.5,371.5,371.5
55,134.0,14665.0,-60.8,-84.9,3.0,0.0,240.0,54.0,377.1,377.1,377.1
56,132.0,14759.0,-61.1,-85.1,3.0,0.0,243.0,55.0,378.2,378.2,378.2
57,121.0,15295.0,-64.6,-86.7,3.0,0.0,260.0,61.0,381.4,381.4,381.4
58,120.0,15346.0,-64.9,-86.9,3.0,0.0,260.0,61.0,381.7,381.7,381.7
59,111.0,15822.0,-64.6,-87.4,3.0,0.0,270.0,45.0,390.9,390.9,390.9
60,100.0,16460.0,-64.1,-88.1,2.0,0.0,245.0,40.0,403.6,403.6,403.6
61,93.0,16902.0,-65.2,-88.9,2.0,0.0,255.0,48.0,409.9,409.9,409.9
62,89.0,17170.0,-65.9,-89.4,2.0,0.0,260.0,44.0,413.8,413.8,413.8
63,83.0,17595.0,-66.9,-90.1,3.0,0.0,255.0,36.0,419.9,420.0,419.9
64,78.8,17911.0,-67.7,-90.7,3.0,0.0,270.0,31.0,424.6,424.6,424.6
65,76.0,18131.0,-66.5,-90.6,2.0,0.0,280.0,27.0,431.4,431.5,431.4
66,73.6,18326.0,-65.5,-90.5,2.0,0.0,252.0,22.0,437.6,437.6,437.6
67,73.0,18375.0,-65.9,-90.7,2.0,0.0,245.0,21.0,437.9,437.9,437.9
68,72.0,18459.0,-66.5,-91.0,2.0,0.0,235.0,22.0,438.3,438.3,438.3
69,70.0,18630.0,-67.7,-91.7,2.0,0.0,230.0,26.0,439.2,439.2,439.2
70,69.0,18716.0,-68.2,-91.9,2.0,0.0,230.0,28.0,440.0,440.0,440.0
71,66.7,18920.0,-69.3,-92.3,2.0,0.0,245.0,30.0,441.9,441.9,441.9
72,66.0,18983.0,-69.1,-92.3,2.0,0.0,250.0,31.0,443.6,443.6,443.6
73,63.0,19264.0,-68.3,-92.6,2.0,0.0,300.0,18.0,451.4,451.4,451.4
74,61.0,19458.0,-67.7,-92.7,2.0,0.0,290.0,10.0,456.9,456.9,456.9
75,59.0,19659.0,-67.1,-92.8,2.0,0.0,250.0,13.0,462.6,462.6,462.6
76,57.0,19867.0,-66.5,-93.0,1.0,0.0,270.0,11.0,468.6,468.6,468.6
77,56.0,19974.0,-66.2,-93.1,1.0,0.0,225.0,5.0,471.6,471.7,471.6
78,53.4,20261.0,-65.3,-93.3,1.0,0.0,186.0,9.0,480.1,480.1,480.1
79,53.0,20306.0,-65.5,-93.3,1.0,0.0,180.0,10.0,480.7,480.8,480.7
80,50.0,20660.0,-66.7,-93.7,1.0,0.0,210.0,12.0,485.9,485.9,485.9
81,49.0,20782.0,-66.9,-94.9,1.0,0.0,220.0,13.0,488.2,488.2,488.2
82,48.1,20894.0,-63.9,-92.9,1.0,0.0,238.0,15.0,498.0,498.0,498.0
83,46.0,21170.0,-62.8,-92.5,1.0,0.0,280.0,21.0,507.0,507.0,507.0
84,45.0,21305.0,-62.3,-92.2,1.0,0.0,305.0,17.0,511.5,511.5,511.5
85,44.0,21444.0,-61.7,-92.0,1.0,0.0,305.0,10.0,516.2,516.2,516.2
86,42.0,21730.0,-60.6,-91.5,1.0,0.0,0.0,0.0,525.9,525.9,525.9
87,41.9,21745.0,-60.5,-91.5,1.0,0.0,357.0,0.0,526.4,526.4,526.4
88,37.6,22415.0,-62.5,-92.5,1.0,0.0,220.0,9.0,537.8,537.9,537.8
89,37.0,22515.0,-62.2,-92.3,1.0,0.0,200.0,10.0,541.2,541.2,541.2
90,36.0,22685.0,-61.6,-92.0,1.0,0.0,235.0,14.0,546.9,546.9,546.9
91,35.0,22861.0,-61.0,-91.7,1.0,0.0,250.0,11.0,552.8,552.8,552.8
92,34.0,23041.0,-60.5,-91.3,1.0,0.0,290.0,11.0,558.9,558.9,558.9
93,33.0,23227.0,-59.8,-91.0,1.0,0.0,295.0,18.0,565.3,565.3,565.3
94,32.0,23418.0,-59.2,-90.6,1.0,0.0,280.0,13.0,572.0,572.0,572.0
95,31.0,23616.0,-58.6,-90.3,1.0,0.0,320.0,12.0,578.9,579.0,578.9
96,30.0,23820.0,-57.9,-89.9,1.0,0.0,325.0,10.0,586.2,586.2,586.2
97,27.0,24489.0,-56.6,-88.7,1.0,0.01,340.0,5.0,607.6,607.7,607.6
98,23.0,25507.0,-54.8,-86.8,1.0,0.01,300.0,12.0,641.7,641.8,641.7
99,22.5,25647.0,-54.5,-86.5,1.0,0.01,646.5,646.6,646.5,,
