,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
0,1011.0,35.0,27.2,17.2,54.0,12.36,280.0,8.0,299.4,335.8,301.6
1,1005.0,87.0,24.4,16.4,61.0,11.81,285.0,11.0,297.1,331.5,299.2
2,1000.0,131.0,24.0,17.0,65.0,12.34,290.0,13.0,297.1,333.1,299.4
3,997.0,157.0,23.4,17.4,69.0,12.7,292.0,13.0,296.8,333.7,299.1
4,985.0,262.0,22.4,17.2,72.0,12.68,300.0,12.0,296.9,333.7,299.1
5,951.0,567.0,19.6,16.6,83.0,12.63,295.0,10.0,297.0,333.7,299.2
6,925.0,807.0,17.4,16.1,92.0,12.6,320.0,8.0,297.1,333.7,299.3
7,924.0,816.0,17.2,16.0,93.0,12.53,322.0,8.0,297.0,333.4,299.2
8,914.0,909.0,17.4,9.4,59.0,8.16,346.0,9.0,298.1,322.2,299.6
9,904.0,1003.0,18.1,2.9,36.0,5.23,10.0,10.0,299.8,315.7,300.8
10,903.0,1013.0,18.2,2.2,34.0,4.99,9.0,10.0,300.0,315.2,300.9
11,883.0,1203.0,17.0,2.5,38.0,5.21,350.0,14.0,300.7,316.6,301.6
12,865.0,1378.0,15.9,2.8,41.0,5.43,355.0,13.0,301.3,317.9,302.3
13,854.0,1487.0,15.2,2.9,44.0,5.57,340.0,12.0,301.7,318.7,302.7
14,850.0,1527.0,15.0,3.0,44.0,5.62,340.0,12.0,301.9,319.0,302.9
15,840.0,1626.0,14.3,2.6,45.0,5.51,335.0,12.0,302.1,318.9,303.1
16,831.0,1716.0,13.6,2.2,46.0,5.42,355.0,12.0,302.3,318.9,303.3
17,786.0,2182.0,10.1,0.2,50.0,4.96,340.0,14.0,303.4,318.8,304.3
18,760.0,2464.0,8.0,-1.0,53.0,4.7,352.0,12.0,304.1,318.7,304.9
19,743.0,2649.0,6.5,-4.4,46.0,3.74,0.0,11.0,304.4,316.1,305.1
20,706.0,3067.0,3.0,-12.0,32.0,2.17,339.0,8.0,305.0,312.1,305.4
21,700.0,3136.0,2.6,-13.4,30.0,1.95,335.0,7.0,305.3,311.7,305.7
22,685.0,3310.0,1.9,-19.6,19.0,1.19,270.0,6.0,306.5,310.5,306.7
23,677.0,3405.0,1.6,-22.9,14.0,0.9,240.0,10.0,307.1,310.2,307.3
24,668.0,3512.0,1.1,-26.7,10.0,0.65,260.0,13.0,307.8,310.1,307.9
25,658.0,3634.0,0.7,-31.0,7.0,0.44,245.0,15.0,308.6,310.2,308.7
26,652.0,3707.0,0.4,-33.6,6.0,0.35,253.0,16.0,309.1,310.4,309.2
27,638.0,3881.0,1.0,-38.0,4.0,0.23,271.0,19.0,311.7,312.6,311.8
28,635.0,3919.0,0.8,-37.7,4.0,0.24,275.0,20.0,312.0,312.9,312.0
29,609.0,4253.0,-0.5,-35.4,5.0,0.31,270.0,16.0,314.2,315.4,314.2
30,594.0,4452.0,-1.3,-34.0,6.0,0.36,290.0,15.0,315.5,316.9,315.6
31,582.0,4615.0,-1.9,-32.9,7.0,0.41,280.0,16.0,316.6,318.2,316.7
32,576.0,4696.0,-2.5,-33.2,7.0,0.41,275.0,16.0,316.8,318.4,316.9
33,553.0,5014.0,-5.0,-34.3,8.0,0.38,285.0,14.0,317.6,319.0,317.7
34,527.0,5390.0,-7.9,-35.6,9.0,0.35,270.0,12.0,318.5,319.8,318.6
35,519.0,5509.0,-8.8,-36.1,9.0,0.34,275.0,11.0,318.8,320.1,318.9
36,503.0,5753.0,-10.7,-36.9,10.0,0.32,300.0,12.0,319.3,320.6,319.4
37,500.0,5800.0,-11.1,-37.1,10.0,0.32,300.0,12.0,319.4,320.7,319.5
38,461.0,6412.0,-16.3,-40.4,11.0,0.25,260.0,16.0,320.4,321.4,320.5
39,424.0,7042.0,-21.7,-43.7,12.0,0.19,270.0,20.0,321.3,322.1,321.3
40,405.0,7379.0,-23.8,-48.1,9.0,0.12,290.0,22.0,322.9,323.4,322.9
41,400.0,7470.0,-24.3,-49.3,8.0,0.11,290.0,24.0,323.3,323.8,323.3
42,355.0,8325.0,-31.7,-45.7,24.0,0.18,274.0,28.0,324.6,325.3,324.6
43,333.0,8773.0,-35.1,-54.1,13.0,0.07,265.0,30.0,325.9,326.2,325.9
44,332.0,8794.0,-35.3,-54.0,13.0,0.07,265.0,30.0,326.0,326.3,326.0
45,300.0,9490.0,-41.3,-51.3,33.0,0.11,265.0,39.0,327.0,327.5,327.1
46,284.0,9862.0,-44.3,-53.3,36.0,0.09,264.0,41.0,327.9,328.3,327.9
47,250.0,10710.0,-50.1,-63.1,20.0,0.03,260.0,44.0,331.4,331.6,331.5
48,248.0,10763.0,-50.3,-65.3,15.0,0.02,260.0,45.0,331.9,332.0,331.9
49,245.0,10841.0,-50.9,-65.4,16.0,0.02,260.0,46.0,332.2,332.3,332.2
50,223.0,11449.0,-55.3,-66.3,24.0,0.02,275.0,41.0,334.5,334.6,334.5
