,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
0,1012.0,35.0,27.2,16.2,51.0,11.57,320.0,8.0,299.3,333.4,301.4
1,1009.0,60.0,25.2,13.2,47.0,9.53,324.0,9.0,297.6,325.6,299.3
2,1000.0,135.0,24.4,15.4,57.0,11.12,335.0,10.0,297.6,330.1,299.5
3,925.0,812.0,18.2,13.2,73.0,10.41,345.0,6.0,297.9,328.4,299.8
4,902.0,1027.0,16.2,12.2,77.0,9.99,306.0,5.0,298.0,327.3,299.8
5,864.0,1392.0,13.6,9.9,78.0,8.92,240.0,3.0,299.0,325.4,300.6
6,850.0,1530.0,12.6,9.0,79.0,8.54,270.0,8.0,299.3,324.7,300.9
7,840.0,1629.0,12.0,8.1,77.0,8.13,256.0,9.0,299.7,323.9,301.2
8,836.0,1670.0,12.5,7.4,71.0,7.79,250.0,10.0,300.7,324.0,302.1
9,823.0,1802.0,14.2,5.2,55.0,6.78,233.0,13.0,303.8,324.5,305.0
10,814.0,1894.0,13.6,4.6,54.0,6.57,221.0,15.0,304.1,324.2,305.3
11,813.0,1905.0,13.6,4.5,54.0,6.52,220.0,15.0,304.2,324.1,305.4
12,786.0,2188.0,12.5,0.9,45.0,5.22,230.0,21.0,306.0,322.3,307.0
13,772.0,2340.0,12.0,-1.0,41.0,4.63,222.0,23.0,307.0,321.6,307.9
14,750.0,2579.0,9.8,-1.6,45.0,4.57,210.0,26.0,307.2,321.6,308.1
15,718.0,2941.0,6.6,-2.4,53.0,4.49,213.0,20.0,307.5,321.7,308.4
16,700.0,3149.0,5.8,-20.2,13.0,1.1,215.0,16.0,308.9,312.7,309.1
17,692.0,3243.0,5.8,-27.2,7.0,0.6,215.0,14.0,309.9,312.0,310.0
18,677.0,3422.0,4.8,-25.7,9.0,0.7,215.0,10.0,310.7,313.2,310.9
19,674.0,3458.0,4.6,-25.4,9.0,0.72,217.0,10.0,310.9,313.4,311.0
