,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
0,1009.0,35.0,28.8,18.8,55.0,13.72,310.0,8.0,301.2,341.8,303.7
1,1005.0,70.0,26.8,17.8,58.0,12.92,319.0,9.0,299.5,337.5,301.9
2,1002.0,96.0,26.4,18.0,60.0,13.16,325.0,10.0,299.4,338.1,301.8
3,1000.0,114.0,26.2,18.2,61.0,13.33,325.0,11.0,299.4,338.5,301.7
4,974.0,345.0,23.7,17.9,70.0,13.46,315.0,10.0,299.1,338.6,301.5
5,942.0,637.0,20.6,17.6,83.0,13.63,328.0,7.0,298.8,338.7,301.2
6,934.0,711.0,22.4,5.4,33.0,6.05,331.0,7.0,301.4,319.8,302.5
7,929.0,758.0,22.4,1.4,25.0,4.58,333.0,6.0,301.8,315.9,302.7
8,925.0,795.0,22.2,1.2,25.0,4.53,335.0,6.0,302.0,316.0,302.8
9,901.0,1022.0,20.6,1.0,27.0,4.59,0.0,0.0,302.6,316.8,303.4
10,876.0,1264.0,18.8,0.8,30.0,4.65,82.0,4.0,303.2,317.6,304.1
11,863.0,1392.0,19.2,-6.8,17.0,2.67,126.0,6.0,304.9,313.5,305.4
12,850.0,1522.0,18.8,-5.2,19.0,3.07,170.0,8.0,305.8,315.6,306.4
13,825.0,1775.0,17.5,-9.4,15.0,2.28,165.0,10.0,307.1,314.5,307.5
14,807.0,1961.0,16.5,-12.6,12.0,1.82,200.0,13.0,308.0,314.0,308.3
15,777.0,2282.0,14.9,-17.9,9.0,1.21,220.0,18.0,309.6,313.7,309.8
16,757.0,2502.0,13.8,-21.6,7.0,0.9,210.0,15.0,310.7,313.8,310.8
17,747.0,2615.0,13.2,-23.5,6.0,0.77,225.0,14.0,311.2,314.0,311.4
18,737.0,2729.0,12.6,-25.4,5.0,0.66,221.0,13.0,311.8,314.1,311.9
19,734.0,2763.0,12.3,-25.4,5.0,0.67,220.0,13.0,311.8,314.2,311.9
20,720.0,2923.0,10.9,-25.3,6.0,0.68,235.0,12.0,312.0,314.4,312.1
21,707.0,3074.0,9.5,-25.2,7.0,0.7,220.0,15.0,312.1,314.6,312.2
22,700.0,3157.0,8.8,-25.2,7.0,0.71,220.0,13.0,312.2,314.7,312.3
23,685.0,3335.0,7.2,-25.6,8.0,0.7,230.0,16.0,312.4,314.9,312.5
24,670.0,3516.0,5.7,-26.0,8.0,0.69,255.0,16.0,312.6,315.1,312.7
25,662.0,3615.0,4.8,-26.2,8.0,0.68,245.0,13.0,312.7,315.2,312.9
26,658.0,3664.0,4.8,-30.1,6.0,0.48,240.0,11.0,313.3,315.1,313.4
27,646.0,3814.0,5.0,-42.0,2.0,0.15,190.0,10.0,315.1,315.7,315.1
28,645.0,3826.0,5.0,-43.0,2.0,0.13,189.0,10.0,315.3,315.8,315.3
29,640.0,3889.0,4.8,-43.3,2.0,0.13,185.0,11.0,315.8,316.3,315.8
30,605.0,4346.0,3.7,-45.2,1.0,0.11,230.0,6.0,319.6,320.1,319.6
31,602.0,4387.0,3.6,-45.4,1.0,0.11,231.0,6.0,319.9,320.4,320.0
32,551.0,5096.0,-2.1,-47.1,2.0,0.1,255.0,9.0,321.4,321.8,321.4
33,530.0,5402.0,-4.0,-46.6,2.0,0.11,265.0,10.0,322.7,323.1,322.7
34,500.0,5860.0,-6.9,-45.9,3.0,0.13,255.0,13.0,324.6,325.1,324.6
35,455.0,6588.0,-11.5,-48.7,3.0,0.1,250.0,21.0,327.6,328.1,327.7
36,428.0,7060.0,-14.5,-50.5,3.0,0.09,269.0,25.0,329.6,330.0,329.6
37,420.0,7202.0,-15.9,-49.9,4.0,0.09,275.0,26.0,329.6,330.0,329.6
38,400.0,7570.0,-19.5,-48.5,6.0,0.12,275.0,27.0,329.6,330.1,329.6
39,350.0,8540.0,-28.1,-51.1,9.0,0.1,265.0,36.0,330.8,331.2,330.8
40,335.0,8858.0,-30.9,-51.9,11.0,0.09,261.0,31.0,331.1,331.5,331.1
41,332.0,8921.0,-31.4,-52.3,11.0,0.09,260.0,30.0,331.2,331.6,331.3
42,315.0,9288.0,-34.5,-54.4,11.0,0.08,270.0,28.0,332.0,332.3,332.0
43,300.0,9630.0,-37.3,-56.3,12.0,0.06,270.0,31.0,332.7,333.0,332.7
44,294.0,9769.0,-38.5,-55.5,15.0,0.07,271.0,34.0,332.9,333.2,332.9
45,250.0,10870.0,-43.5,-66.5,6.0,0.02,275.0,57.0,341.3,341.4,341.3
46,249.0,10896.0,-43.6,-66.7,6.0,0.02,275.0,58.0,341.4,341.5,341.4
47,216.0,11833.0,-48.5,-74.1,4.0,0.01,270.0,61.0,348.1,348.1,348.1
48,210.0,12019.0,-49.4,-75.6,3.0,0.01,275.0,61.0,349.4,349.4,349.4
49,206.0,12145.0,-50.1,-76.6,3.0,0.01,280.0,58.0,350.3,350.3,350.3
50,200.0,12340.0,-51.1,-78.1,3.0,0.0,275.0,52.0,351.7,351.7,351.7
51,188.0,12739.0,-54.2,-79.4,3.0,0.0,260.0,54.0,352.9,352.9,352.9
52,187.0,12774.0,-54.5,-79.5,3.0,0.0,260.0,54.0,353.0,353.0,353.0
53,172.0,13308.0,-55.1,-84.1,2.0,0.0,262.0,49.0,360.6,360.6,360.6
54,150.0,14170.0,-61.3,-85.3,3.0,0.0,265.0,41.0,364.3,364.3,364.3
55,134.0,14857.0,-65.3,-86.3,4.0,0.0,255.0,41.0,369.0,369.0,369.0
56,120.0,15530.0,-69.3,-87.3,6.0,0.0,267.0,34.0,373.6,373.6,373.6
57,111.0,15992.0,-70.8,-87.9,6.0,0.0,275.0,29.0,379.1,379.1,379.1
58,104.0,16378.0,-72.1,-88.5,7.0,0.0,250.0,21.0,383.8,383.8,383.8
59,101.0,16551.0,-72.7,-88.7,7.0,0.0,254.0,22.0,385.9,385.9,385.9
60,100.0,16610.0,-72.5,-88.5,7.0,0.0,255.0,22.0,387.4,387.4,387.4
61,92.9,17041.0,-74.9,-89.9,8.0,0.0,255.0,21.0,390.9,390.9,390.9
62,91.0,17163.0,-74.5,-90.0,8.0,0.0,260.0,23.0,394.0,394.0,394.0
63,86.0,17496.0,-73.4,-90.4,6.0,0.0,240.0,27.0,402.7,402.7,402.7
64,82.0,17776.0,-72.4,-90.8,5.0,0.0,285.0,13.0,410.1,410.1,410.1
65,81.0,17849.0,-72.2,-90.8,5.0,0.0,255.0,8.0,412.1,412.1,412.1
66,79.0,17996.0,-71.7,-91.0,4.0,0.0,230.0,10.0,416.0,416.1,416.0
67,76.0,18224.0,-70.9,-91.3,4.0,0.0,240.0,17.0,422.3,422.3,422.3
68,74.0,18381.0,-70.4,-91.5,3.0,0.0,265.0,10.0,426.6,426.6,426.6
69,71.4,18592.0,-69.7,-91.7,3.0,0.0,242.0,11.0,432.5,432.5,432.5
70,70.0,18710.0,-70.7,-92.7,3.0,0.0,230.0,11.0,432.8,432.8,432.8
71,68.0,18881.0,-71.5,-94.5,2.0,0.0,255.0,11.0,434.7,434.7,434.7
72,66.0,19060.0,-70.4,-95.3,2.0,0.0,280.0,10.0,440.9,440.9,440.9
73,60.0,19628.0,-66.7,-97.7,1.0,0.0,7.0,6.0,461.2,461.2,461.2
74,56.0,20044.0,-67.7,-99.7,0.0,0.0,70.0,3.0,468.1,468.1,468.1
75,51.0,20610.0,-65.2,-98.0,0.0,0.0,130.0,10.0,486.6,486.6,486.6
76,50.0,20730.0,-64.7,-97.7,0.0,0.0,140.0,16.0,490.6,490.6,490.6
77,48.0,20982.0,-63.8,-97.1,0.0,0.0,155.0,15.0,498.6,498.6,498.6
78,47.0,21112.0,-63.3,-96.8,0.0,0.0,145.0,10.0,502.7,502.7,502.7
79,46.0,21245.0,-62.8,-96.4,0.0,0.0,155.0,11.0,507.0,507.0,507.0
80,44.0,21519.0,-61.8,-95.8,0.0,0.0,140.0,8.0,515.9,516.0,515.9
81,42.0,21806.0,-60.7,-95.1,0.0,0.0,125.0,19.0,525.5,525.5,525.5
82,40.0,22107.0,-59.6,-94.3,0.0,0.0,150.0,14.0,535.6,535.6,535.6
83,39.0,22263.0,-59.0,-93.9,0.0,0.0,80.0,10.0,541.0,541.0,541.0
84,38.4,22359.0,-58.7,-93.7,0.0,0.0,83.0,10.0,544.3,544.3,544.3
85,36.0,22765.0,-58.3,-93.5,0.0,0.0,95.0,10.0,555.5,555.5,555.5
86,35.0,22942.0,-58.1,-93.5,0.0,0.0,65.0,13.0,560.5,560.5,560.5
87,34.0,23124.0,-57.9,-93.4,0.0,0.0,85.0,24.0,565.6,565.6,565.6
88,33.0,23311.0,-57.7,-93.3,0.0,0.0,95.0,22.0,571.0,571.0,571.0
89,31.0,23704.0,-57.3,-93.2,0.0,0.0,100.0,18.0,582.4,582.4,582.4
90,30.1,23889.0,-57.1,-93.1,0.0,0.0,127.0,16.0,587.8,587.9,587.8
91,30.0,23910.0,-57.3,-93.3,0.0,0.0,130.0,16.0,587.8,587.9,587.8
92,29.3,24060.0,-57.9,-92.9,0.0,0.0,120.0,14.0,590.2,590.2,590.2
93,29.0,24125.0,-57.6,-92.7,0.0,0.0,115.0,13.0,592.8,592.8,592.8
94,27.0,24582.0,-55.3,-91.5,0.0,0.0,135.0,10.0,611.4,611.4,611.4
95,25.5,24947.0,-53.5,-90.5,0.0,0.0,87.0,6.0,626.6,626.7,626.6
96,23.0,25611.0,-54.2,-90.8,0.0,0.0,0.0,0.0,643.4,643.4,643.4
97,22.0,25897.0,-54.5,-90.9,0.0,0.0,335.0,10.0,650.7,650.8,650.7
98,21.0,26196.0,-54.8,-91.0,0.0,0.0,335.0,15.0,658.5,658.6,658.5
99,20.0,26510.0,-55.1,-91.1,0.0,0.0,355.0,6.0,666.8,666.8,666.8
100,19.0,26841.0,-53.3,-89.9,0.0,0.01,20.0,13.0,682.3,682.4,682.3
101,17.2,27485.0,-49.7,-87.7,0.0,0.01,87.0,10.0,713.4,713.5,713.4
102,17.0,95.0,10.0,,,,,,,,
