,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
0,1008.0,35.0,29.2,19.2,55.0,14.09,260.0,7.0,301.7,343.4,304.2
1,1006.0,52.0,26.4,17.4,58.0,12.58,266.0,8.0,299.0,336.0,301.3
2,1000.0,102.0,25.6,18.6,65.0,13.67,285.0,10.0,298.8,338.8,301.2
3,995.0,146.0,25.2,18.4,66.0,13.61,295.0,10.0,298.8,338.7,301.2
4,965.0,413.0,22.9,17.6,72.0,13.25,270.0,10.0,299.0,337.9,301.4
5,925.0,782.0,19.6,16.3,81.0,12.76,220.0,7.0,299.3,336.8,301.6
6,905.0,970.0,18.0,15.3,84.0,12.22,276.0,4.0,299.6,335.5,301.8
7,893.0,1085.0,20.0,2.0,30.0,4.98,311.0,2.0,302.8,318.1,303.7
8,876.0,1250.0,19.1,-1.6,25.0,3.91,0.0,0.0,303.6,315.8,304.3
9,850.0,1508.0,17.8,-7.2,18.0,2.63,335.0,2.0,304.8,313.2,305.3
10,828.0,1732.0,18.2,-29.8,2.0,0.39,321.0,3.0,307.5,308.9,307.6
11,805.0,1972.0,17.4,-12.6,12.0,1.81,306.0,4.0,309.1,315.2,309.5
12,706.0,3071.0,8.2,-12.4,22.0,2.1,235.0,10.0,310.8,317.8,311.2
13,701.0,3130.0,7.7,-12.4,23.0,2.11,240.0,11.0,310.9,317.9,311.2
14,700.0,3142.0,7.6,-12.4,23.0,2.12,240.0,11.0,310.9,317.9,311.3
15,690.0,3261.0,8.4,-32.6,4.0,0.36,245.0,11.0,313.0,314.4,313.1
16,644.0,3826.0,3.8,-28.2,8.0,0.59,270.0,10.0,314.1,316.2,314.2
17,628.0,4030.0,4.0,-45.0,1.0,0.11,280.0,9.0,316.6,317.0,316.6
18,500.0,5840.0,-8.5,-42.5,5.0,0.18,15.0,2.0,322.6,323.3,322.6
19,489.0,6008.0,-9.7,-44.1,4.0,0.16,285.0,2.0,323.2,323.9,323.3
20,451.0,6621.0,-13.9,-49.7,3.0,0.09,265.0,10.0,325.5,325.9,325.6
21,442.0,6774.0,-14.9,-51.1,3.0,0.08,255.0,12.0,326.1,326.4,326.1
22,400.0,7530.0,-20.1,-58.1,2.0,0.04,275.0,22.0,328.8,328.9,328.8
23,399.0,7549.0,-20.3,-57.3,2.0,0.04,275.0,22.0,328.8,328.9,328.8
24,386.0,7786.0,-22.3,-58.5,2.0,0.04,280.0,23.0,329.3,329.5,329.3
25,342.0,8655.0,-29.5,-63.0,2.0,0.02,260.0,21.0,331.1,331.2,331.1
26,311.0,9337.0,-35.1,-66.4,3.0,0.02,280.0,27.0,332.3,332.4,332.3
27,307.0,9430.0,-35.9,-66.9,3.0,0.02,276.0,27.0,332.5,332.5,332.5
28,300.0,9590.0,-36.7,-67.7,3.0,0.01,270.0,28.0,333.5,333.6,333.5
29,297.0,9659.0,-37.1,-67.6,3.0,0.01,265.0,30.0,334.0,334.0,334.0
30,265.0,10444.0,-41.3,-66.3,5.0,0.02,272.0,44.0,338.8,338.9,338.8
31,250.0,10840.0,-43.1,-69.1,4.0,0.01,275.0,51.0,341.9,341.9,341.9
32,235.0,11255.0,-44.5,-74.4,2.0,0.01,280.0,60.0,345.8,345.9,345.8
33,231.0,11370.0,-44.9,-75.9,2.0,0.01,281.0,61.0,346.9,346.9,346.9
34,200.0,12320.0,-51.3,-79.3,2.0,0.0,285.0,65.0,351.4,351.4,351.4
35,190.0,12651.0,-54.1,-80.1,3.0,0.0,282.0,68.0,352.1,352.1,352.1
36,183.0,12888.0,-55.4,-81.1,3.0,0.0,280.0,70.0,353.7,353.8,353.7
37,154.0,13974.0,-61.4,-85.6,3.0,0.0,285.0,68.0,361.4,361.4,361.4
38,150.0,14140.0,-62.3,-86.3,3.0,0.0,285.0,63.0,362.6,362.6,362.6
39,131.0,14968.0,-65.1,-92.1,1.0,0.0,281.0,47.0,371.9,371.9,371.9
40,125.0,15248.0,-67.3,-91.0,2.0,0.0,280.0,41.0,373.0,373.0,373.0
41,115.0,15747.0,-71.1,-89.1,5.0,0.0,270.0,51.0,374.8,374.8,374.8
42,113.0,15850.0,-71.2,-89.0,6.0,0.0,270.0,56.0,376.6,376.6,376.6
43,100.0,16570.0,-71.5,-88.5,6.0,0.0,280.0,41.0,389.3,389.3,389.3
44,95.0,16873.0,-71.9,-91.8,4.0,0.0,280.0,43.0,394.3,394.3,394.3
45,94.8,16886.0,-71.9,-91.9,4.0,0.0,281.0,42.0,394.5,394.5,394.5
46,90.0,17194.0,-70.6,-92.8,3.0,0.0,300.0,28.0,403.0,403.0,403.0
47,89.0,17260.0,-70.3,-93.0,2.0,0.0,295.0,20.0,404.9,404.9,404.9
48,87.0,17395.0,-69.8,-93.3,2.0,0.0,265.0,14.0,408.6,408.6,408.6
49,86.1,17457.0,-69.5,-93.5,2.0,0.0,256.0,15.0,410.4,410.4,410.4
50,86.0,17464.0,-69.5,-93.5,2.0,0.0,255.0,15.0,410.4,410.4,410.4
51,83.0,17675.0,-71.2,-94.5,2.0,0.0,250.0,21.0,411.3,411.3,411.3
52,81.7,17769.0,-71.9,-94.9,2.0,0.0,256.0,22.0,411.6,411.7,411.6
53,81.0,17820.0,-71.5,-95.2,2.0,0.0,260.0,23.0,413.4,413.4,413.4
54,78.0,18044.0,-70.0,-96.6,1.0,0.0,295.0,14.0,421.2,421.2,421.2
55,76.0,18199.0,-68.9,-97.5,1.0,0.0,290.0,10.0,426.6,426.6,426.6
56,75.7,18222.0,-68.7,-97.7,1.0,0.0,284.0,9.0,427.4,427.4,427.4
57,75.0,18278.0,-68.9,-97.9,1.0,0.0,270.0,7.0,428.1,428.1,428.1
58,74.0,18358.0,-69.2,-98.2,1.0,0.0,250.0,10.0,429.2,429.2,429.2
59,72.0,18522.0,-69.7,-98.7,1.0,0.0,255.0,12.0,431.4,431.4,431.4
60,70.0,18690.0,-70.3,-99.3,1.0,0.0,300.0,14.0,433.7,433.7,433.7
61,68.0,18863.0,-70.2,-99.9,1.0,0.0,0.0,10.0,437.6,437.6,437.6
62,66.0,19041.0,-70.0,-100.5,1.0,0.0,340.0,1.0,441.6,441.6,441.6
63,62.0,19415.0,-69.7,-101.7,0.0,0.0,350.0,4.0,450.3,450.3,450.3
64,58.6,19756.0,-64.9,-97.9,0.0,0.0,358.0,8.0,468.4,468.4,468.4
65,56.0,20035.0,-64.6,-97.9,0.0,0.0,5.0,10.0,475.2,475.2,475.2
66,53.0,20372.0,-64.3,-97.9,0.0,0.0,65.0,11.0,483.5,483.5,483.5
67,51.0,20608.0,-64.0,-97.9,0.0,0.0,95.0,20.0,489.4,489.4,489.4
68,50.0,20730.0,-63.9,-97.9,0.0,0.0,115.0,16.0,492.5,492.5,492.5
69,49.0,20854.0,-63.8,-97.8,0.0,0.0,130.0,15.0,495.7,495.7,495.7
70,48.0,20980.0,-63.6,-97.6,0.0,0.0,110.0,10.0,499.0,499.0,499.0
71,45.0,21375.0,-63.1,-97.1,0.0,0.0,110.0,10.0,509.5,509.5,509.5
72,44.0,21513.0,-62.9,-96.9,0.0,0.0,100.0,10.0,513.2,513.2,513.2
73,43.0,21654.0,-62.8,-96.8,0.0,0.0,90.0,15.0,517.0,517.0,517.0
74,42.7,21697.0,-62.7,-96.7,0.0,0.0,94.0,16.0,518.1,518.2,518.1
75,41.0,21950.0,-60.7,-95.4,0.0,0.0,115.0,24.0,529.1,529.1,529.1
76,40.0,22104.0,-59.5,-94.6,0.0,0.0,125.0,22.0,535.8,535.8,535.8
77,37.7,22473.0,-56.7,-92.7,0.0,0.0,125.0,14.0,552.2,552.2,552.2
78,37.0,22592.0,-56.4,-92.5,0.0,0.0,125.0,12.0,556.1,556.1,556.1
79,36.0,22767.0,-55.8,-92.1,0.0,0.0,95.0,14.0,561.8,561.8,561.8
80,34.0,23131.0,-54.8,-91.3,0.0,0.0,120.0,20.0,573.9,573.9,573.9
81,33.0,23321.0,-54.2,-90.9,0.0,0.0,110.0,16.0,580.3,580.4,580.3
82,32.0,23517.0,-53.6,-90.5,0.0,0.0,120.0,12.0,587.0,587.0,587.0
83,31.5,23617.0,-53.3,-90.3,0.0,0.0,110.0,13.0,590.5,590.5,590.5
84,31.0,23720.0,-53.5,-90.5,0.0,0.0,100.0,14.0,592.6,592.6,592.6
85,30.0,23930.0,-53.9,-90.9,0.0,0.0,115.0,7.0,597.1,597.1,597.1
86,28.0,24374.0,-53.8,-90.8,0.0,0.0,110.0,10.0,609.4,609.4,609.4
87,27.0,24608.0,-53.7,-90.7,0.0,0.0,145.0,18.0,615.9,616.0,615.9
88,25.0,25104.0,-53.5,-90.5,0.0,0.0,185.0,10.0,630.1,630.1,630.1
89,23.0,25640.0,-53.4,-90.4,0.0,0.0,210.0,10.0,645.7,645.8,645.7
90,20.0,26540.0,-53.1,-90.1,0.0,0.01,330.0,5.0,672.9,673.0,672.9
91,19.4,26736.0,-53.7,-90.7,0.0,0.01,360.0,6.0,676.9,677.0,676.9
92,19.0,20.0,7.0,,,,,,,,
