,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
0,1006.0,35.0,28.8,16.8,48.0,12.1,335.0,9.0,301.4,337.4,303.6
1,1002.0,70.0,26.6,14.6,48.0,10.53,338.0,12.0,299.6,330.7,301.5
2,1000.0,87.0,26.4,14.4,48.0,10.41,340.0,13.0,299.6,330.3,301.4
3,962.0,427.0,23.2,14.2,57.0,10.69,337.0,11.0,299.6,331.2,301.6
4,952.0,518.0,24.0,6.0,31.0,6.19,336.0,10.0,301.4,320.1,302.5
5,945.0,583.0,23.6,5.9,32.0,6.2,335.0,10.0,301.6,320.4,302.8
6,925.0,769.0,22.6,5.6,33.0,6.2,0.0,6.0,302.4,321.3,303.5
7,850.0,1497.0,17.0,5.0,45.0,6.47,140.0,8.0,303.9,323.7,305.1
8,793.0,2083.0,12.6,3.3,53.0,6.17,210.0,10.0,305.3,324.3,306.4
9,781.0,2211.0,11.6,3.0,55.0,6.1,225.0,11.0,305.6,324.4,306.7
10,769.0,2342.0,10.6,2.6,58.0,6.04,216.0,10.0,305.9,324.5,307.0
11,768.0,2353.0,10.6,1.2,52.0,5.48,215.0,10.0,306.0,323.0,307.0
12,764.0,2396.0,10.8,-4.2,35.0,3.68,223.0,10.0,306.6,318.4,307.3
13,758.0,2461.0,10.4,-5.4,32.0,3.38,235.0,11.0,306.9,317.7,307.5
14,746.0,2593.0,9.5,-8.0,28.0,2.83,220.0,14.0,307.3,316.5,307.9
15,700.0,3119.0,6.0,-18.0,16.0,1.33,230.0,14.0,309.1,313.6,309.4
16,669.0,3485.0,3.4,-21.1,15.0,1.07,235.0,10.0,310.2,313.9,310.4
17,642.0,3818.0,1.0,-23.9,14.0,0.87,210.0,13.0,311.2,314.2,311.3
18,633.0,3933.0,0.2,-24.8,13.0,0.81,210.0,13.0,311.5,314.4,311.7
19,540.0,5182.0,-9.3,-25.3,26.0,0.91,210.0,10.0,314.6,317.9,314.8
20,535.0,5253.0,-9.9,-25.4,27.0,0.92,210.0,10.0,314.7,317.9,314.9
21,509.0,5634.0,-13.4,-25.6,35.0,0.94,195.0,10.0,315.0,318.3,315.1
22,500.0,5770.0,-14.7,-25.7,39.0,0.95,210.0,11.0,315.1,318.4,315.2
23,491.0,5906.0,-15.9,-26.9,38.0,0.86,225.0,10.0,315.2,318.2,315.3
24,465.0,6313.0,-19.7,-30.7,37.0,0.64,230.0,12.0,315.5,317.8,315.6
25,450.0,6559.0,-21.9,-32.9,36.0,0.54,218.0,10.0,315.6,317.6,315.7
26,447.0,6608.0,-21.1,-44.1,11.0,0.17,215.0,10.0,317.2,317.9,317.3
27,431.0,6875.0,-23.2,-48.1,8.0,0.11,240.0,11.0,317.9,318.4,317.9
28,407.0,7295.0,-26.5,-54.5,5.0,0.06,244.0,6.0,318.9,319.1,318.9
