,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
0,1013.0,35.0,26.8,16.8,54.0,12.02,280.0,8.0,298.9,334.1,301.0
1,1012.0,44.0,24.2,15.2,57.0,10.84,282.0,8.0,296.3,327.9,298.3
2,1000.0,146.0,23.2,16.2,65.0,11.71,305.0,13.0,296.4,330.4,298.4
3,981.0,312.0,21.6,15.9,70.0,11.73,320.0,17.0,296.4,330.5,298.5
4,948.0,608.0,18.8,15.4,81.0,11.77,305.0,10.0,296.5,330.6,298.6
5,925.0,820.0,16.8,15.1,90.0,11.8,290.0,6.0,296.5,330.8,298.6
6,912.0,941.0,15.8,14.7,93.0,11.66,343.0,1.0,296.7,330.6,298.7
7,908.0,978.0,15.6,14.3,92.0,11.42,0.0,0.0,296.8,330.0,298.9
8,855.0,1488.0,12.8,9.0,78.0,8.49,319.0,4.0,299.0,324.2,300.6
9,851.0,1527.0,13.0,7.0,67.0,7.44,316.0,4.0,299.6,321.9,301.0
10,850.0,1537.0,13.0,7.0,67.0,7.44,315.0,4.0,299.8,322.0,301.1
11,836.0,1677.0,15.0,-20.0,7.0,0.94,319.0,6.0,303.3,306.5,303.4
12,806.0,1985.0,13.2,-1.8,35.0,4.18,329.0,10.0,304.6,317.6,305.3
13,802.0,2026.0,12.9,-1.9,36.0,4.15,330.0,11.0,304.7,317.7,305.5
14,770.0,2365.0,10.9,-3.2,37.0,3.94,300.0,10.0,306.1,318.5,306.8
15,727.0,2844.0,8.0,-5.0,39.0,3.64,285.0,9.0,308.0,319.6,308.6
16,700.0,3155.0,6.0,-8.0,36.0,3.0,275.0,9.0,309.1,318.8,309.7
17,692.0,3249.0,5.5,-10.0,32.0,2.59,280.0,10.0,309.6,318.1,310.1
18,669.0,3524.0,4.2,-16.0,21.0,1.65,245.0,15.0,311.1,316.6,311.4
19,660.0,3634.0,3.6,-18.4,18.0,1.37,247.0,15.0,311.6,316.3,311.9
20,596.0,4448.0,-1.8,-21.8,20.0,1.13,265.0,16.0,314.5,318.5,314.8
21,568.0,4831.0,-4.4,-23.4,21.0,1.02,240.0,15.0,315.9,319.5,316.1
22,567.0,4845.0,-4.5,-23.5,21.0,1.02,241.0,15.0,315.9,319.5,316.1
23,549.0,5095.0,-6.4,-25.1,21.0,0.91,255.0,12.0,316.6,319.9,316.8
24,540.0,5224.0,-7.4,-26.0,21.0,0.86,240.0,14.0,316.9,320.0,317.1
25,521.0,5501.0,-9.5,-27.8,21.0,0.75,265.0,12.0,317.7,320.4,317.8
26,500.0,5820.0,-11.9,-29.9,21.0,0.64,255.0,19.0,318.5,320.8,318.6
27,499.0,5835.0,-12.0,-29.9,21.0,0.64,250.0,20.0,318.5,320.8,318.6
28,426.0,7021.0,-22.3,-33.3,36.0,0.54,268.0,28.0,320.1,322.1,320.2
29,420.0,7125.0,-23.2,-34.6,34.0,0.49,270.0,29.0,320.3,322.1,320.4
30,411.0,7283.0,-24.5,-36.5,32.0,0.41,268.0,30.0,320.6,322.1,320.6
31,400.0,7480.0,-25.7,-44.7,15.0,0.18,265.0,32.0,321.5,322.2,321.5
32,379.0,7870.0,-28.7,-48.7,13.0,0.12,262.0,34.0,322.5,323.0,322.6
33,324.0,8971.0,-38.2,-46.3,42.0,0.18,255.0,39.0,324.3,325.0,324.3
34,319.0,9081.0,-39.1,-46.1,47.0,0.19,256.0,39.0,324.4,325.2,324.4
35,314.0,9189.0,-39.7,-54.7,19.0,0.07,257.0,39.0,325.0,325.3,325.1
36,309.0,9299.0,-40.7,-58.7,13.0,0.05,258.0,38.0,325.1,325.3,325.1
37,300.0,9500.0,-42.5,-58.5,16.0,0.05,260.0,38.0,325.4,325.6,325.4
38,283.0,9889.0,-45.7,-58.9,21.0,0.05,260.0,32.0,326.2,326.4,326.2
39,282.0,9913.0,-45.9,-58.9,22.0,0.05,260.0,32.0,326.3,326.5,326.3
40,250.0,10700.0,-52.1,-63.1,25.0,0.03,260.0,41.0,328.5,328.6,328.5
41,240.0,10965.0,-54.1,-63.1,32.0,0.03,260.0,43.0,329.3,329.5,329.3
42,224.0,11408.0,-56.5,-67.5,24.0,0.02,260.0,47.0,332.2,332.3,332.2
43,207.0,11911.0,-57.7,-71.7,15.0,0.01,260.0,52.0,337.9,337.9,337.9
44,200.0,12130.0,-55.9,-77.9,5.0,0.0,260.0,53.0,344.1,344.1,344.1
45,181.0,12765.0,-54.1,-81.1,2.0,0.0,260.0,61.0,357.0,357.0,357.0
46,171.0,13124.0,-55.8,-82.5,2.0,0.0,260.0,65.0,360.0,360.0,360.0
47,150.0,13950.0,-59.7,-85.7,2.0,0.0,270.0,51.0,367.0,367.0,367.0
48,116.0,15542.0,-65.1,-87.2,3.0,0.0,265.0,47.0,385.0,385.0,385.0
49,115.0,15596.0,-65.3,-87.3,3.0,0.0,260.0,48.0,385.6,385.6,385.6
50,100.0,16450.0,-65.3,-89.3,2.0,0.0,270.0,52.0,401.3,401.3,401.3
51,95.0,16765.0,-62.6,-89.5,2.0,0.0,250.0,51.0,412.6,412.6,412.6
52,94.9,16771.0,-62.5,-89.5,2.0,0.0,250.0,51.0,412.8,412.8,412.8
53,82.5,17624.0,-68.3,-90.3,3.0,0.0,259.0,45.0,417.9,417.9,417.9
54,81.0,17734.0,-68.4,-90.4,3.0,0.0,260.0,44.0,419.8,419.8,419.8
55,80.2,17793.0,-68.5,-90.5,3.0,0.0,264.0,43.0,420.8,420.8,420.8
56,75.0,18196.0,-68.3,-91.3,2.0,0.0,290.0,38.0,429.4,429.4,429.4
57,70.0,18610.0,-68.1,-92.1,2.0,0.0,275.0,29.0,438.4,438.4,438.4
58,68.0,18784.0,-68.0,-92.5,2.0,0.0,265.0,32.0,442.1,442.2,442.1
59,65.0,19055.0,-67.9,-93.2,2.0,0.0,290.0,20.0,448.1,448.1,448.1
60,63.0,19242.0,-67.8,-93.7,1.0,0.0,275.0,16.0,452.3,452.3,452.3
61,62.0,19338.0,-67.8,-94.0,1.0,0.0,260.0,18.0,454.5,454.5,454.5
62,59.1,19626.0,-67.7,-94.7,1.0,0.0,289.0,24.0,461.0,461.0,461.0
63,58.0,19740.0,-67.3,-94.5,1.0,0.0,300.0,27.0,464.4,464.4,464.4
64,56.0,19953.0,-66.5,-94.1,1.0,0.0,320.0,23.0,470.9,470.9,470.9
65,55.0,20062.0,-66.1,-93.9,1.0,0.0,315.0,17.0,474.3,474.3,474.3
66,53.0,20287.0,-65.2,-93.5,1.0,0.0,275.0,16.0,481.3,481.3,481.3
67,52.0,20402.0,-64.8,-93.3,1.0,0.0,285.0,12.0,484.9,484.9,484.9
68,50.0,20640.0,-63.9,-92.9,1.0,0.0,220.0,6.0,492.5,492.5,492.5
69,48.0,20893.0,-63.4,-92.7,1.0,0.0,255.0,10.0,499.4,499.4,499.4
70,46.0,21156.0,-62.9,-92.5,1.0,0.0,300.0,19.0,506.8,506.8,506.8
71,44.0,21432.0,-62.4,-92.3,1.0,0.0,330.0,14.0,514.5,514.6,514.5
72,42.0,21720.0,-61.8,-92.1,1.0,0.0,325.0,1.0,522.8,522.8,522.8
73,39.0,22178.0,-60.9,-91.7,1.0,0.0,335.0,10.0,536.3,536.3,536.3
74,37.0,22504.0,-60.3,-91.5,1.0,0.0,225.0,10.0,546.0,546.0,546.0
75,36.0,22674.0,-60.0,-91.3,1.0,0.0,215.0,13.0,551.2,551.2,551.2
76,33.0,23213.0,-58.9,-90.9,1.0,0.0,275.0,20.0,567.8,567.8,567.8
77,31.0,23605.0,-58.9,-90.9,1.0,0.0,260.0,18.0,578.0,578.1,578.0
78,30.0,23810.0,-58.9,-90.9,1.0,0.0,275.0,17.0,583.5,583.5,583.5
79,28.3,24175.0,-59.7,-91.7,1.0,0.0,275.0,17.0,591.1,591.1,591.1
80,28.0,24242.0,-59.4,-91.5,1.0,0.0,275.0,17.0,593.8,593.8,593.8
81,27.0,24472.0,-58.3,-90.6,1.0,0.0,305.0,19.0,603.0,603.1,603.1
82,26.0,24710.0,-57.1,-89.7,1.0,0.0,280.0,18.0,612.8,612.9,612.8
83,25.0,24958.0,-56.0,-88.8,1.0,0.01,290.0,21.0,623.1,623.2,623.1
84,24.3,25138.0,-55.1,-88.1,1.0,0.01,289.0,22.0,630.7,630.8,630.7
85,22.2,25712.0,-56.9,-89.9,1.0,0.01,285.0,27.0,641.8,641.9,641.8
86,22.0,285.0,27.0,,,,,,,,
