,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
0,1011.0,35.0,30.0,14.0,38.0,10.03,280.0,8.0,302.2,332.2,304.0
1,1009.0,52.0,27.4,11.4,37.0,8.45,283.0,9.0,299.8,325.0,301.3
2,1005.0,87.0,27.1,11.9,39.0,8.8,290.0,10.0,299.8,325.9,301.4
3,1000.0,130.0,26.6,12.6,42.0,9.24,285.0,9.0,299.8,327.2,301.4
4,925.0,811.0,20.6,11.6,56.0,9.35,185.0,8.0,300.4,328.2,302.1
5,910.0,951.0,19.4,11.3,59.0,9.3,185.0,10.0,300.6,328.2,302.2
6,878.0,1257.0,16.8,10.5,66.0,9.17,160.0,15.0,301.0,328.3,302.6
7,864.0,1395.0,15.7,10.2,70.0,9.11,165.0,21.0,301.1,328.3,302.8
8,856.0,1474.0,15.0,10.0,72.0,9.08,156.0,20.0,301.2,328.4,302.9
9,850.0,1534.0,14.8,8.8,67.0,8.43,150.0,19.0,301.6,326.9,303.2
10,829.0,1745.0,13.0,8.3,73.0,8.35,165.0,17.0,301.9,327.0,303.4
11,817.0,1868.0,12.0,8.0,77.0,8.3,164.0,17.0,302.1,327.0,303.6
12,800.0,2044.0,11.4,5.4,67.0,7.08,162.0,16.0,303.3,324.8,304.6
13,784.0,2213.0,11.6,1.6,50.0,5.51,160.0,15.0,305.2,322.3,306.3
14,781.0,2245.0,11.4,1.4,50.0,5.44,160.0,15.0,305.3,322.2,306.3
15,759.0,2484.0,9.6,-0.4,50.0,4.92,189.0,12.0,305.9,321.3,306.8
16,758.0,2495.0,9.5,-0.4,50.0,4.91,190.0,12.0,305.9,321.2,306.8
17,746.0,2626.0,8.2,-1.0,52.0,4.81,185.0,13.0,305.9,320.9,306.8
18,707.0,3066.0,3.8,-2.7,63.0,4.46,220.0,11.0,305.8,319.8,306.6
19,700.0,3148.0,3.0,-3.0,65.0,4.4,220.0,11.0,305.8,319.6,306.6
20,685.0,3322.0,1.4,-4.2,66.0,4.12,200.0,8.0,305.9,318.8,306.6
21,666.0,3548.0,-0.7,-5.7,69.0,3.77,215.0,9.0,306.0,317.9,306.7
22,660.0,3621.0,-0.5,-13.5,37.0,2.05,219.0,10.0,307.0,313.8,307.4
23,659.0,3633.0,-0.5,-13.7,36.0,2.03,220.0,10.0,307.1,313.8,307.5
24,643.0,3829.0,-1.3,-16.4,31.0,1.66,205.0,16.0,308.4,314.0,308.8
25,629.0,4004.0,-1.9,-18.9,26.0,1.37,214.0,16.0,309.7,314.3,309.9
26,598.0,4404.0,-2.8,-15.5,37.0,1.93,235.0,16.0,313.2,319.7,313.6
27,587.0,4551.0,-3.1,-14.2,42.0,2.18,230.0,18.0,314.5,321.8,314.9
28,586.0,4565.0,-3.1,-14.1,42.0,2.2,231.0,18.0,314.6,322.0,315.0
29,569.0,4797.0,-5.1,-13.1,53.0,2.46,240.0,18.0,314.9,323.1,315.4
30,549.0,5077.0,-6.7,-19.7,35.0,1.47,251.0,17.0,316.2,321.3,316.5
31,529.0,5365.0,-8.9,-16.9,52.0,1.93,262.0,16.0,317.0,323.6,317.4
32,516.0,5557.0,-9.7,-19.9,43.0,1.54,270.0,16.0,318.3,323.6,318.6
