,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
0,1015.0,35.0,17.2,6.2,48.0,5.89,300.0,7.0,289.1,306.1,290.1
1,1011.0,67.0,15.4,5.4,51.0,5.59,309.0,8.0,287.6,303.7,288.6
2,1006.0,107.0,15.1,5.1,51.0,5.51,320.0,10.0,287.8,303.6,288.7
3,1000.0,155.0,14.8,4.8,51.0,5.42,320.0,11.0,287.9,303.6,288.9
4,925.0,806.0,8.4,3.8,73.0,5.46,10.0,5.0,287.9,303.6,288.8
5,893.0,1096.0,5.6,3.1,84.0,5.38,81.0,5.0,287.9,303.4,288.9
6,850.0,1498.0,3.4,-5.6,52.0,2.98,180.0,5.0,289.7,298.6,290.2
7,832.0,1671.0,2.0,-8.0,48.0,2.53,175.0,4.0,290.0,297.6,290.4
8,821.0,1778.0,1.6,-16.4,25.0,1.3,172.0,3.0,290.7,294.8,290.9
9,813.0,1857.0,3.0,-31.0,6.0,0.36,170.0,3.0,293.0,294.2,293.0
10,794.0,2047.0,2.2,-32.2,6.0,0.33,165.0,2.0,294.1,295.2,294.1
11,712.0,2921.0,-1.7,-37.7,4.0,0.21,243.0,7.0,299.1,299.9,299.1
12,700.0,3056.0,-2.7,-31.7,9.0,0.39,255.0,8.0,299.5,300.8,299.5
13,696.0,3100.0,-3.1,-32.0,9.0,0.38,265.0,10.0,299.6,300.9,299.6
14,546.0,4970.0,-18.1,-45.1,7.0,0.13,285.0,19.0,303.2,303.7,303.2
15,545.0,4983.0,-18.2,-45.0,8.0,0.13,285.0,19.0,303.2,303.7,303.2
16,529.0,5203.0,-20.3,-42.9,11.0,0.16,270.0,20.0,303.4,304.0,303.4
17,500.0,5620.0,-24.1,-39.1,24.0,0.26,270.0,24.0,303.6,304.5,303.6
18,481.0,5900.0,-26.6,-40.9,25.0,0.22,270.0,23.0,303.9,304.7,303.9
19,473.0,6021.0,-27.7,-41.7,25.0,0.21,270.0,25.0,304.0,304.8,304.0
20,467.0,6113.0,-26.9,-65.9,1.0,0.01,271.0,27.0,306.1,306.1,306.1
21,463.0,6175.0,-26.5,-50.5,9.0,0.08,271.0,28.0,307.4,307.7,307.4
22,444.0,6475.0,-29.1,-42.1,27.0,0.21,272.0,34.0,307.8,308.6,307.8
23,403.0,7158.0,-35.1,-50.1,20.0,0.1,275.0,47.0,308.6,309.0,308.6
24,400.0,7210.0,-34.9,-58.9,7.0,0.03,275.0,48.0,309.6,309.7,309.6
25,396.0,7280.0,-34.5,-69.5,2.0,0.01,275.0,49.0,311.0,311.0,311.0
26,380.0,7568.0,-35.3,-70.3,2.0,0.01,274.0,51.0,313.6,313.6,313.6
27,325.0,8637.0,-43.7,-69.7,4.0,0.01,271.0,59.0,316.3,316.4,316.3
28,316.0,8825.0,-44.9,-56.9,25.0,0.06,271.0,60.0,317.2,317.4,317.2
29,300.0,9170.0,-47.1,-64.1,13.0,0.02,270.0,63.0,318.9,319.0,318.9
30,291.0,9371.0,-48.7,-63.7,16.0,0.03,270.0,68.0,319.4,319.5,319.4
31,286.0,9485.0,-48.9,-74.9,3.0,0.01,270.0,70.0,320.7,320.7,320.7
32,250.0,10360.0,-53.7,-71.7,9.0,0.01,270.0,91.0,326.1,326.1,326.1
33,241.0,10594.0,-54.7,-73.7,8.0,0.01,270.0,93.0,328.0,328.1,328.0
34,211.0,11434.0,-58.8,-80.6,4.0,0.0,270.0,101.0,334.3,334.3,334.3
35,209.0,11494.0,-59.1,-81.1,4.0,0.0,270.0,100.0,334.8,334.8,334.8
36,200.0,11770.0,-57.5,-79.5,4.0,0.0,265.0,96.0,341.6,341.6,341.6
37,196.0,11898.0,-57.5,-80.5,4.0,0.0,265.0,96.0,343.5,343.5,343.5
38,150.0,13580.0,-59.7,-86.7,2.0,0.0,260.0,97.0,367.0,367.0,367.0
39,120.0,14964.0,-61.2,-88.2,2.0,0.0,255.0,88.0,388.4,388.4,388.4
40,119.0,15016.0,-61.3,-88.3,2.0,0.0,255.0,88.0,389.2,389.2,389.2
41,104.0,15841.0,-65.1,-89.1,2.0,0.0,259.0,96.0,397.2,397.2,397.2
42,100.0,16080.0,-63.3,-89.3,2.0,0.0,260.0,98.0,405.2,405.2,405.2
43,93.6,16485.0,-66.7,-88.7,3.0,0.0,263.0,95.0,406.2,406.2,406.2
44,81.0,17363.0,-66.5,-89.5,3.0,0.0,270.0,90.0,423.7,423.8,423.7
45,76.0,17750.0,-66.4,-89.8,2.0,0.0,270.0,62.0,431.7,431.7,431.7
46,70.0,18250.0,-66.3,-90.3,2.0,0.0,265.0,70.0,442.2,442.2,442.2
47,65.0,18701.0,-66.0,-90.2,2.0,0.0,260.0,71.0,452.4,452.4,452.4
48,61.0,19087.0,-65.7,-90.2,2.0,0.0,255.0,54.0,461.2,461.2,461.2
49,56.0,19608.0,-65.4,-90.1,2.0,0.0,245.0,68.0,473.5,473.5,473.5
50,53.0,19943.0,-65.1,-90.1,2.0,0.0,260.0,55.0,481.5,481.5,481.5
