,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
0,1025.0,35.0,14.2,3.2,48.0,4.72,340.0,6.0,285.3,298.9,286.1
1,1023.0,51.0,13.8,3.0,48.0,4.66,340.0,5.0,285.0,298.4,285.9
2,1017.0,99.0,12.4,2.4,50.0,4.49,340.0,6.0,284.2,297.0,284.9
3,1000.0,237.0,11.2,2.2,54.0,4.51,340.0,8.0,284.4,297.2,285.1
4,968.0,505.0,8.4,1.6,62.0,4.46,345.0,11.0,284.2,297.0,285.0
5,935.0,790.0,5.5,1.0,73.0,4.42,300.0,10.0,284.1,296.7,284.8
6,925.0,879.0,4.6,0.8,76.0,4.4,305.0,8.0,284.0,296.6,284.8
7,912.0,994.0,3.4,0.7,82.0,4.43,323.0,9.0,283.9,296.6,284.7
8,903.0,1075.0,2.7,-1.2,75.0,3.9,335.0,10.0,284.0,295.3,284.7
9,888.0,1210.0,1.6,-4.4,64.0,3.12,335.0,11.0,284.2,293.3,284.8
10,865.0,1422.0,-0.5,-0.5,100.0,4.28,335.0,11.0,284.2,296.4,284.9
11,863.0,1440.0,-0.7,-1.6,94.0,3.96,335.0,12.0,284.2,295.6,284.9
12,861.0,1459.0,-0.5,-2.2,88.0,3.8,335.0,12.0,284.6,295.5,285.2
13,860.0,1468.0,0.2,-16.8,27.0,1.2,335.0,12.0,285.4,289.1,285.6
14,858.0,1487.0,1.0,-34.0,5.0,0.25,335.0,12.0,286.4,287.3,286.5
15,857.0,1496.0,1.2,-32.8,6.0,0.28,335.0,12.0,286.7,287.7,286.8
16,850.0,1562.0,0.4,-30.6,8.0,0.35,335.0,12.0,286.6,287.7,286.6
17,848.0,1581.0,0.3,-30.6,8.0,0.36,335.0,12.0,286.7,287.9,286.7
18,832.0,1732.0,-0.3,-30.4,8.0,0.37,0.0,14.0,287.6,288.8,287.7
19,787.0,2173.0,-2.0,-29.8,10.0,0.41,10.0,20.0,290.3,291.7,290.4
20,720.0,2879.0,-4.9,-28.9,13.0,0.49,350.0,20.0,294.7,296.4,294.8
21,719.0,2890.0,-4.9,-28.9,13.0,0.49,351.0,20.0,294.8,296.4,294.9
22,702.0,3078.0,-6.2,-30.1,13.0,0.45,0.0,22.0,295.4,296.9,295.5
23,700.0,3100.0,-6.3,-30.3,13.0,0.44,0.0,22.0,295.5,297.0,295.6
24,618.0,4061.0,-12.7,-29.7,23.0,0.53,351.0,31.0,298.8,300.7,298.9
25,584.0,4489.0,-15.9,-35.9,16.0,0.31,348.0,34.0,300.0,301.1,300.0
26,578.0,4567.0,-15.1,-52.1,3.0,0.05,347.0,35.0,301.8,302.0,301.8
27,563.0,4765.0,-15.6,-53.7,2.0,0.05,345.0,37.0,303.5,303.7,303.6
28,552.0,4913.0,-15.9,-54.9,2.0,0.04,346.0,37.0,304.9,305.0,304.9
29,500.0,5650.0,-21.1,-50.1,6.0,0.08,350.0,34.0,307.2,307.6,307.3
30,470.0,6099.0,-24.6,-54.0,5.0,0.05,350.0,33.0,308.4,308.6,308.4
31,418.0,6949.0,-31.3,-61.3,4.0,0.02,335.0,45.0,310.3,310.4,310.3
32,400.0,7260.0,-33.3,-64.3,3.0,0.02,330.0,50.0,311.6,311.7,311.6
33,366.0,7876.0,-37.5,-67.7,3.0,0.01,320.0,56.0,314.0,314.1,314.0
34,360.0,7990.0,-38.3,-68.3,3.0,0.01,319.0,62.0,314.5,314.5,314.5
35,353.0,8125.0,-37.9,-68.9,2.0,0.01,317.0,68.0,316.8,316.8,316.8
36,343.0,8321.0,-38.8,-68.5,3.0,0.01,315.0,78.0,318.2,318.2,318.2
37,316.0,8879.0,-41.3,-67.2,4.0,0.01,305.0,83.0,322.2,322.3,322.2
38,310.0,9010.0,-41.9,-66.9,5.0,0.02,305.0,84.0,323.1,323.2,323.2
39,300.0,9230.0,-43.9,-67.9,5.0,0.01,305.0,86.0,323.4,323.4,323.4
40,285.0,9571.0,-46.7,-67.7,7.0,0.01,307.0,87.0,324.1,324.2,324.1
41,259.0,10199.0,-50.1,-68.4,10.0,0.01,310.0,90.0,328.1,328.2,328.1
42,256.0,10276.0,-50.5,-68.5,10.0,0.01,310.0,92.0,328.6,328.7,328.6
43,250.0,10430.0,-49.9,-67.9,10.0,0.02,305.0,97.0,331.8,331.8,331.8
44,245.0,10563.0,-49.5,-69.5,8.0,0.01,304.0,100.0,334.3,334.3,334.3
45,223.0,11178.0,-50.3,-74.5,4.0,0.01,300.0,113.0,342.1,342.1,342.1
46,200.0,11890.0,-51.3,-80.3,2.0,0.0,300.0,118.0,351.4,351.4,351.4
47,195.0,12054.0,-51.3,-80.7,2.0,0.0,295.0,123.0,353.9,353.9,353.9
48,157.0,13456.0,-51.7,-83.7,1.0,0.0,299.0,91.0,375.9,375.9,375.9
49,151.0,13707.0,-53.1,-84.2,1.0,0.0,300.0,85.0,377.7,377.7,377.7
50,150.0,13750.0,-53.3,-84.3,1.0,0.0,295.0,86.0,378.0,378.1,378.0
51,136.0,14372.0,-58.2,-86.0,2.0,0.0,295.0,97.0,380.0,380.0,380.0
52,129.0,14707.0,-60.9,-86.9,2.0,0.0,290.0,91.0,381.0,381.0,381.0
53,117.0,15307.0,-63.5,-88.0,2.0,0.0,280.0,80.0,387.0,387.0,387.0
54,100.0,16270.0,-67.7,-89.7,3.0,0.0,305.0,59.0,396.7,396.7,396.7
55,86.5,17135.0,-71.7,-90.7,4.0,0.0,285.0,46.0,405.4,405.4,405.4
56,84.0,17307.0,-72.0,-90.7,5.0,0.0,280.0,47.0,408.2,408.2,408.2
57,78.9,17676.0,-72.7,-90.7,5.0,0.0,290.0,43.0,414.1,414.1,414.1
58,75.8,17912.0,-71.5,-91.5,4.0,0.0,297.0,41.0,421.4,421.4,421.4
59,73.7,18080.0,-66.7,-91.7,2.0,0.0,302.0,39.0,434.9,434.9,434.9
60,70.0,18390.0,-68.9,-89.9,3.0,0.0,310.0,36.0,436.6,436.7,436.6
61,66.0,18739.0,-70.4,-90.2,4.0,0.0,290.0,32.0,440.9,440.9,440.9
62,65.0,18829.0,-70.8,-90.2,4.0,0.0,275.0,34.0,441.9,442.0,441.9
63,63.6,18958.0,-71.3,-90.3,5.0,0.0,270.0,40.0,443.5,443.5,443.5
64,63.0,19015.0,-71.0,-90.3,4.0,0.0,270.0,45.0,445.3,445.3,445.3
65,60.0,19308.0,-69.7,-90.3,4.0,0.0,290.0,43.0,454.6,454.6,454.6
66,56.0,19721.0,-67.7,-90.4,3.0,0.0,275.0,49.0,468.1,468.1,468.1
67,54.0,19939.0,-66.7,-90.4,2.0,0.0,295.0,38.0,475.4,475.4,475.4
68,51.0,20281.0,-65.1,-90.5,2.0,0.0,285.0,33.0,487.0,487.0,487.0
69,50.0,20400.0,-64.5,-90.5,2.0,0.0,285.0,29.0,491.1,491.1,491.1
70,47.0,20780.0,-63.3,-90.2,2.0,0.0,295.0,27.0,502.6,502.6,502.6
71,44.0,21186.0,-62.1,-90.0,1.0,0.0,325.0,14.0,515.2,515.2,515.2
72,43.5,21256.0,-61.9,-89.9,1.0,0.0,310.0,12.0,517.4,517.4,517.4
73,43.0,21328.0,-62.0,-89.9,1.0,0.0,295.0,10.0,518.7,518.8,518.7
74,41.0,21621.0,-62.6,-89.9,1.0,0.0,285.0,20.0,524.4,524.5,524.4
75,39.0,21929.0,-63.2,-89.9,2.0,0.0,255.0,17.0,530.5,530.5,530.5
76,37.0,22253.0,-63.8,-89.9,2.0,0.0,285.0,22.0,536.9,536.9,536.9
77,36.8,22286.0,-63.9,-89.9,2.0,0.0,289.0,21.0,537.6,537.6,537.6
78,35.4,22528.0,-56.5,-89.5,1.0,0.0,317.0,17.0,562.8,562.8,562.8
79,35.0,22601.0,-55.8,-88.8,1.0,0.0,325.0,16.0,566.5,566.5,566.5
80,34.4,22711.0,-54.7,-87.7,1.0,0.01,328.0,12.0,572.1,572.2,572.1
81,34.0,22785.0,-55.0,-87.7,1.0,0.01,330.0,10.0,573.3,573.4,573.3
82,32.0,23170.0,-56.4,-87.8,1.0,0.01,205.0,10.0,579.5,579.6,579.5
83,31.0,23372.0,-57.1,-87.8,1.0,0.01,245.0,10.0,582.8,582.9,582.8
84,30.0,23580.0,-57.9,-87.9,1.0,0.01,260.0,4.0,586.2,586.3,586.2
85,29.0,23794.0,-57.7,-87.9,1.0,0.01,275.0,5.0,592.6,592.6,592.6
86,27.0,24246.0,-57.2,-87.9,1.0,0.01,250.0,24.0,606.2,606.2,606.2
87,26.0,24485.0,-56.9,-87.9,1.0,0.01,280.0,26.0,613.5,613.6,613.5
88,25.0,24737.0,-55.2,-87.0,1.0,0.01,265.0,33.0,625.4,625.5,625.4
89,24.0,25000.0,-53.4,-86.0,1.0,0.01,275.0,23.0,638.0,638.1,638.0
90,23.0,25273.0,-51.5,-85.0,1.0,0.01,255.0,16.0,651.3,651.5,651.3
91,22.5,25415.0,-50.5,-84.5,1.0,0.01,260.0,13.0,658.3,658.5,658.3
92,22.0,25561.0,-50.8,-84.7,1.0,0.01,265.0,9.0,661.5,661.7,661.5
93,21.0,25863.0,-51.5,-85.0,1.0,0.01,260.0,11.0,668.2,668.4,668.2
94,20.0,26180.0,-52.3,-85.3,1.0,0.01,230.0,8.0,675.3,675.5,675.3
95,17.0,27235.0,-50.6,-83.6,1.0,0.02,265.0,5.0,712.8,713.0,712.8
96,16.8,27312.0,-50.5,-83.5,1.0,0.02,715.6,715.9,715.6,,
