,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
0,1019.0,35.0,18.8,10.8,60.0,8.04,315.0,9.0,290.4,313.4,291.8
1,1012.0,94.0,16.8,9.8,63.0,7.57,320.0,10.0,289.0,310.5,290.3
2,1000.0,195.0,15.8,9.8,68.0,7.66,330.0,12.0,288.9,310.8,290.3
3,989.0,289.0,15.1,9.5,69.0,7.58,345.0,11.0,289.2,310.8,290.5
4,972.0,436.0,14.0,9.0,72.0,7.46,317.0,5.0,289.5,310.8,290.8
5,965.0,497.0,14.5,5.2,54.0,5.79,305.0,2.0,290.6,307.4,291.6
6,951.0,621.0,15.6,-2.4,29.0,3.39,253.0,3.0,292.9,303.1,293.5
7,925.0,855.0,13.8,-2.2,33.0,3.53,155.0,4.0,293.4,304.1,294.0
8,888.0,1195.0,11.0,-4.0,35.0,3.21,135.0,10.0,294.0,303.7,294.5
9,850.0,1559.0,8.0,-6.0,36.0,2.89,130.0,9.0,294.5,303.4,295.0
10,767.0,2394.0,-0.1,-10.1,47.0,2.32,122.0,10.0,294.6,301.8,295.0
11,763.0,2436.0,-0.3,-11.3,43.0,2.12,122.0,10.0,294.8,301.4,295.1
12,761.0,2457.0,0.4,-22.6,16.0,0.82,122.0,10.0,295.8,298.5,295.9
13,752.0,2552.0,1.2,-29.8,8.0,0.43,121.0,10.0,297.6,299.1,297.7
14,742.0,2659.0,0.4,-30.6,8.0,0.41,120.0,10.0,297.9,299.3,298.0
15,723.0,2865.0,-1.2,-32.2,7.0,0.36,125.0,11.0,298.4,299.7,298.5
16,700.0,3123.0,-3.1,-34.1,7.0,0.31,175.0,12.0,299.0,300.1,299.1
17,698.0,3146.0,-3.2,-35.2,6.0,0.28,175.0,13.0,299.2,300.2,299.2
18,694.0,3191.0,-3.3,-37.3,5.0,0.22,175.0,13.0,299.5,300.4,299.6
19,680.0,3353.0,-2.3,-44.3,2.0,0.11,173.0,13.0,302.4,302.8,302.4
20,650.0,3707.0,-4.5,-45.3,2.0,0.1,170.0,12.0,303.8,304.2,303.8
21,611.0,4194.0,-7.6,-46.7,3.0,0.09,200.0,13.0,305.7,306.0,305.7
22,610.0,4207.0,-7.7,-46.7,3.0,0.09,200.0,13.0,305.7,306.1,305.7
23,554.0,4940.0,-13.4,-52.4,2.0,0.05,220.0,16.0,307.5,307.7,307.5
24,527.0,5320.0,-16.4,-55.4,2.0,0.04,255.0,13.0,308.3,308.5,308.4
25,501.0,5705.0,-19.4,-58.4,2.0,0.03,270.0,16.0,309.2,309.3,309.2
26,500.0,5720.0,-19.5,-58.5,2.0,0.03,270.0,17.0,309.2,309.3,309.2
27,498.0,5750.0,-19.7,-58.7,2.0,0.03,269.0,17.0,309.3,309.4,309.3
28,460.0,6323.0,-24.5,-53.5,5.0,0.06,245.0,14.0,310.4,310.6,310.4
29,405.0,7243.0,-32.3,-45.3,26.0,0.17,282.0,19.0,311.8,312.5,311.9
30,402.0,7295.0,-32.1,-54.1,9.0,0.06,284.0,19.0,312.7,313.0,312.8
31,401.0,7312.0,-32.1,-53.1,11.0,0.07,285.0,19.0,313.0,313.2,313.0
