,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
0,1020.0,35.0,12.4,2.4,50.0,4.48,335.0,9.0,283.9,296.7,284.7
1,1000.0,197.0,10.0,1.0,54.0,4.13,320.0,15.0,283.1,295.0,283.9
2,995.0,238.0,9.6,0.9,55.0,4.12,320.0,16.0,283.1,294.9,283.8
3,956.0,566.0,6.2,-0.1,64.0,3.99,335.0,13.0,283.0,294.4,283.6
4,925.0,837.0,3.4,-0.9,73.0,3.89,325.0,17.0,282.8,293.9,283.4
5,910.0,969.0,2.0,-1.3,79.0,3.84,323.0,20.0,282.7,293.6,283.3
6,884.0,1202.0,0.1,-3.0,79.0,3.47,320.0,24.0,283.0,293.0,283.6
7,850.0,1516.0,-2.5,-5.4,80.0,3.02,320.0,23.0,283.5,292.3,284.0
8,834.0,1666.0,-3.7,-5.3,89.0,3.1,325.0,24.0,283.8,292.8,284.3
9,816.0,1838.0,-4.8,-8.2,77.0,2.53,330.0,26.0,284.5,291.9,284.9
10,810.0,1896.0,-5.1,-9.2,73.0,2.36,327.0,27.0,284.7,291.7,285.1
11,807.0,1925.0,-5.1,-11.1,63.0,2.04,325.0,27.0,285.0,291.1,285.3
12,794.0,2053.0,-4.5,-21.5,25.0,0.87,319.0,29.0,286.9,289.7,287.1
13,778.0,2213.0,-4.8,-24.7,19.0,0.67,310.0,31.0,288.3,290.4,288.4
14,735.0,2659.0,-5.7,-33.7,9.0,0.3,318.0,35.0,292.0,293.1,292.1
15,700.0,3039.0,-7.9,-41.9,5.0,0.14,325.0,39.0,293.7,294.2,293.7
16,692.0,3127.0,-8.6,-42.6,5.0,0.13,325.0,41.0,293.9,294.4,294.0
17,652.0,3583.0,-11.9,-46.0,4.0,0.1,320.0,45.0,295.1,295.5,295.2
18,617.0,4006.0,-15.1,-49.1,4.0,0.07,321.0,44.0,296.2,296.5,296.2
19,547.0,4908.0,-19.1,-57.1,2.0,0.03,324.0,42.0,301.8,302.0,301.9
20,529.0,5155.0,-21.0,-53.8,4.0,0.05,325.0,42.0,302.5,302.7,302.5
21,514.0,5367.0,-22.6,-50.9,6.0,0.07,315.0,38.0,303.1,303.3,303.1
22,500.0,5570.0,-24.1,-48.1,9.0,0.1,310.0,39.0,303.6,304.0,303.6
23,476.0,5926.0,-27.1,-51.1,8.0,0.07,304.0,42.0,304.2,304.5,304.2
24,429.0,6666.0,-31.0,-61.1,4.0,0.02,290.0,48.0,308.3,308.4,308.3
25,415.0,6902.0,-32.3,-64.3,3.0,0.02,288.0,51.0,309.6,309.7,309.7
26,400.0,7160.0,-34.5,-64.5,3.0,0.02,285.0,54.0,310.1,310.1,310.1
27,312.0,8844.0,-46.9,-70.0,5.0,0.01,275.0,66.0,315.5,315.6,315.5
28,306.0,8976.0,-47.9,-70.5,6.0,0.01,280.0,55.0,315.9,316.0,315.9
29,300.0,9110.0,-48.9,-70.9,6.0,0.01,280.0,59.0,316.3,316.4,316.3
30,291.0,9309.0,-50.7,-71.7,7.0,0.01,279.0,61.0,316.5,316.6,316.5
31,260.0,10038.0,-54.1,-77.1,4.0,0.0,276.0,66.0,321.9,321.9,321.9
32,251.0,10264.0,-54.7,-74.7,7.0,0.01,275.0,68.0,324.2,324.3,324.2
33,250.0,10290.0,-54.7,-73.7,8.0,0.01,275.0,68.0,324.6,324.6,324.6
34,246.0,10393.0,-53.9,-68.9,14.0,0.01,276.0,70.0,327.3,327.4,327.3
35,230.0,10830.0,-49.3,-78.6,2.0,0.0,280.0,77.0,340.7,340.7,340.7
36,226.0,10944.0,-48.1,-81.1,1.0,0.0,279.0,77.0,344.2,344.2,344.2
37,207.0,11523.0,-47.3,-81.3,1.0,0.0,276.0,78.0,354.2,354.2,354.2
38,200.0,11750.0,-48.5,-81.5,1.0,0.0,275.0,78.0,355.8,355.8,355.8
39,193.0,11983.0,-49.0,-81.9,1.0,0.0,280.0,76.0,358.6,358.7,358.6
40,151.0,13587.0,-52.4,-84.4,1.0,0.0,275.0,80.0,378.9,378.9,378.9
41,150.0,13630.0,-52.5,-84.5,1.0,0.0,275.0,79.0,379.4,379.4,379.4
42,132.0,14451.0,-55.1,-86.1,1.0,0.0,388.9,388.9,388.9,,
