,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
0,1012.0,35.0,24.4,-2.6,17.0,3.13,115.0,9.0,296.5,306.2,297.1
1,1000.0,133.0,22.6,-4.4,16.0,2.77,125.0,9.0,295.8,304.3,296.2
2,954.0,537.0,18.5,-4.9,20.0,2.8,140.0,10.0,295.6,304.2,296.1
3,925.0,801.0,15.8,-5.2,23.0,2.82,140.0,10.0,295.5,304.1,296.0
4,907.0,967.0,14.3,-6.0,24.0,2.7,140.0,14.0,295.6,303.9,296.1
5,899.0,1041.0,13.6,-6.4,24.0,2.65,147.0,15.0,295.6,303.8,296.1
6,892.0,1107.0,14.0,-9.0,19.0,2.18,152.0,15.0,296.7,303.5,297.1
7,883.0,1192.0,13.4,-9.6,19.0,2.11,160.0,16.0,297.0,303.6,297.4
8,850.0,1511.0,11.4,-11.6,19.0,1.86,145.0,14.0,298.1,304.0,298.4
9,835.0,1658.0,10.4,-12.2,19.0,1.8,135.0,13.0,298.5,304.3,298.8
10,790.0,2116.0,7.2,-14.3,20.0,1.61,140.0,18.0,299.9,305.1,300.1
11,783.0,2189.0,6.7,-14.6,20.0,1.59,145.0,19.0,300.1,305.2,300.4
12,774.0,2285.0,6.0,-15.0,21.0,1.55,159.0,16.0,300.4,305.4,300.6
13,763.0,2402.0,6.4,-14.6,21.0,1.62,177.0,13.0,302.0,307.3,302.3
14,755.0,2488.0,5.8,-15.5,20.0,1.53,190.0,10.0,302.3,307.3,302.5
15,714.0,2941.0,2.5,-20.0,17.0,1.1,175.0,10.0,303.6,307.2,303.8
16,700.0,3102.0,1.4,-21.6,16.0,0.98,130.0,5.0,304.0,307.3,304.2
17,683.0,3299.0,-0.3,-18.3,24.0,1.33,161.0,4.0,304.2,308.7,304.5
18,665.0,3506.0,-1.9,-20.5,23.0,1.13,195.0,3.0,304.8,308.7,305.1
19,565.0,4769.0,-11.3,-33.9,14.0,0.39,185.0,12.0,308.3,309.7,308.3
20,511.0,5547.0,-17.1,-42.1,9.0,0.19,208.0,27.0,310.2,310.9,310.2
21,507.0,5606.0,-17.7,-42.0,10.0,0.19,210.0,28.0,310.2,310.9,310.2
22,500.0,5710.0,-18.7,-41.7,11.0,0.2,215.0,27.0,310.2,310.9,310.2
