,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
0,1018.0,35.0,21.6,8.6,43.0,6.93,295.0,5.0,293.2,313.5,294.5
1,1014.0,67.0,19.6,7.6,46.0,6.5,297.0,5.0,291.6,310.4,292.7
2,1000.0,181.0,18.4,7.4,49.0,6.5,305.0,5.0,291.6,310.4,292.7
3,991.0,258.0,17.8,6.8,49.0,6.29,326.0,6.0,291.7,310.0,292.8
4,982.0,336.0,17.2,6.2,48.0,6.09,346.0,6.0,291.9,309.6,292.9
5,979.0,363.0,18.2,-10.8,13.0,1.72,353.0,6.0,293.1,298.5,293.4
6,978.0,371.0,18.8,-9.2,14.0,1.96,356.0,6.0,293.8,299.9,294.2
7,926.0,837.0,15.7,-7.4,20.0,2.37,120.0,10.0,295.2,302.6,295.6
8,925.0,846.0,15.6,-7.4,20.0,2.38,120.0,10.0,295.2,302.6,295.7
9,903.0,1048.0,13.7,-8.7,20.0,2.2,135.0,14.0,295.4,302.2,295.8
10,860.0,1456.0,9.9,-11.4,21.0,1.87,140.0,12.0,295.5,301.4,295.9
11,850.0,1554.0,9.0,-12.0,21.0,1.8,135.0,12.0,295.6,301.2,295.9
12,828.0,1767.0,7.1,-12.5,23.0,1.78,135.0,10.0,295.8,301.4,296.1
13,735.0,2733.0,-1.7,-14.7,36.0,1.67,11.0,1.0,296.4,301.7,296.7
14,732.0,2765.0,-0.3,-29.3,9.0,0.47,7.0,1.0,298.3,299.9,298.4
15,727.0,2820.0,-0.1,-32.3,7.0,0.35,0.0,0.0,299.1,300.3,299.2
16,715.0,2953.0,0.4,-39.6,3.0,0.17,340.0,4.0,301.1,301.7,301.1
17,705.0,3066.0,0.0,-38.0,4.0,0.21,323.0,7.0,301.8,302.6,301.9
18,700.0,3123.0,-0.1,-29.1,9.0,0.5,315.0,8.0,302.3,304.1,302.4
19,627.0,3996.0,-5.7,-24.7,21.0,0.83,303.0,11.0,305.6,308.5,305.8
20,612.0,4181.0,-7.0,-26.4,20.0,0.73,300.0,12.0,306.2,308.7,306.3
21,532.0,5255.0,-14.7,-35.9,15.0,0.34,305.0,13.0,309.5,310.8,309.6
22,522.0,5400.0,-15.7,-37.2,14.0,0.3,290.0,15.0,309.9,311.1,310.0
23,500.0,5730.0,-18.1,-40.1,13.0,0.23,290.0,16.0,310.9,311.8,310.9
24,498.0,5760.0,-18.2,-41.0,12.0,0.21,290.0,16.0,311.1,311.9,311.2
25,490.0,5880.0,-18.7,-44.7,8.0,0.15,297.0,18.0,312.0,312.5,312.0
26,482.0,6000.0,-19.8,-45.2,8.0,0.14,305.0,20.0,312.1,312.7,312.1
27,419.0,7014.0,-28.9,-49.5,12.0,0.1,285.0,24.0,313.2,313.6,313.2
28,400.0,7350.0,-31.9,-50.9,13.0,0.09,285.0,24.0,313.4,313.8,313.5
29,388.0,7564.0,-33.9,-52.2,14.0,0.08,285.0,24.0,313.6,313.9,313.6
30,383.0,7656.0,-34.7,-52.7,14.0,0.08,290.0,24.0,313.7,314.0,313.7
31,364.0,8008.0,-36.7,-56.0,12.0,0.05,310.0,23.0,315.6,315.9,315.7
32,340.0,8481.0,-39.3,-60.3,9.0,0.03,310.0,25.0,318.3,318.4,318.3
33,300.0,9330.0,-44.7,-69.7,4.0,0.01,310.0,29.0,322.2,322.3,322.2
34,276.0,9880.0,-48.1,-71.1,5.0,0.01,305.0,31.0,325.1,325.1,325.1
35,250.0,10520.0,-53.7,-71.7,9.0,0.01,300.0,34.0,326.1,326.1,326.1
36,221.0,11303.0,-59.7,-69.7,26.0,0.01,295.0,38.0,328.6,328.6,328.6
37,216.0,11446.0,-59.3,-71.8,18.0,0.01,290.0,38.0,331.3,331.3,331.3
38,200.0,11930.0,-58.1,-79.1,5.0,0.0,285.0,59.0,340.6,340.6,340.6
39,188.0,12320.0,-57.5,-81.7,3.0,0.0,295.0,72.0,347.7,347.7,347.7
40,175.0,12773.0,-56.7,-84.7,2.0,0.0,295.0,74.0,356.1,356.2,356.1
41,172.0,12881.0,-57.1,-84.9,2.0,0.0,295.0,74.0,357.2,357.2,357.2
42,150.0,13740.0,-60.5,-86.5,2.0,0.0,295.0,75.0,365.6,365.7,365.6
43,148.0,13823.0,-60.9,-86.6,2.0,0.0,290.0,75.0,366.5,366.5,366.5
