,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
0,1011.0,35.0,20.8,0.8,26.0,4.03,50.0,5.0,293.0,305.1,293.8
1,1009.0,51.0,20.5,0.7,27.0,4.0,0.0,1.0,292.9,304.9,293.6
2,1000.0,126.0,19.2,0.2,28.0,3.9,20.0,3.0,292.4,304.0,293.0
3,925.0,788.0,12.8,-0.2,41.0,4.09,90.0,7.0,292.4,304.6,293.1
4,850.0,1489.0,6.0,-1.0,61.0,4.2,140.0,5.0,292.4,304.9,293.2
5,796.0,2022.0,0.8,-2.2,80.0,4.11,159.0,7.0,292.4,304.6,293.1
6,770.0,2289.0,-0.3,-7.3,59.0,2.88,168.0,9.0,294.0,302.8,294.5
7,758.0,2414.0,-1.3,-7.3,64.0,2.93,173.0,9.0,294.2,303.2,294.8
8,749.0,2509.0,-1.7,-11.7,46.0,2.09,176.0,10.0,294.8,301.4,295.2
9,747.0,2531.0,-1.7,-13.7,39.0,1.79,177.0,10.0,295.0,300.7,295.4
10,745.0,2552.0,-1.5,-22.5,18.0,0.85,178.0,10.0,295.5,298.3,295.6
11,739.0,2616.0,-1.8,-23.7,17.0,0.77,180.0,10.0,295.8,298.4,295.9
12,738.0,2627.0,-1.9,-23.9,17.0,0.76,181.0,10.0,295.9,298.4,296.0
13,712.0,2912.0,-2.0,-29.5,10.0,0.47,220.0,12.0,298.8,300.4,298.8
14,700.0,3047.0,-2.1,-32.1,8.0,0.37,250.0,14.0,300.1,301.4,300.2
15,673.0,3358.0,-3.1,-37.6,5.0,0.22,245.0,19.0,302.4,303.2,302.4
16,664.0,3465.0,-3.5,-39.5,4.0,0.19,264.0,20.0,303.1,303.8,303.1
17,661.0,3500.0,-3.3,-41.3,3.0,0.16,270.0,20.0,303.7,304.3,303.8
18,640.0,3751.0,-5.3,-39.8,5.0,0.19,265.0,21.0,304.3,305.0,304.3
19,609.0,4136.0,-8.3,-37.4,8.0,0.25,275.0,17.0,305.1,306.1,305.2
20,600.0,4251.0,-9.2,-36.7,9.0,0.28,260.0,16.0,305.4,306.4,305.4
21,580.0,4514.0,-11.3,-35.1,12.0,0.33,260.0,11.0,305.9,307.2,306.0
22,565.0,4718.0,-12.9,-33.9,15.0,0.39,265.0,16.0,306.4,307.8,306.4
23,539.0,5075.0,-14.4,-39.3,10.0,0.24,275.0,24.0,308.7,309.6,308.7
24,525.0,5274.0,-15.3,-42.3,8.0,0.18,272.0,24.0,310.0,310.6,310.0
25,500.0,5640.0,-18.7,-35.7,21.0,0.37,265.0,25.0,310.2,311.5,310.2
26,450.0,6416.0,-26.1,-40.1,26.0,0.26,262.0,34.0,310.4,311.3,310.4
27,420.0,6913.0,-29.9,-39.9,37.0,0.28,261.0,39.0,311.7,312.7,311.7
28,406.0,7154.0,-31.2,-49.4,15.0,0.1,260.0,42.0,313.0,313.4,313.0
29,403.0,7207.0,-31.5,-51.5,12.0,0.08,258.0,42.0,313.3,313.6,313.3
30,400.0,7260.0,-32.1,-51.1,13.0,0.09,255.0,42.0,313.2,313.5,313.2
31,348.0,8214.0,-41.1,-55.2,20.0,0.06,245.0,42.0,313.8,314.0,313.8
32,328.0,8619.0,-44.9,-56.9,25.0,0.05,252.0,45.0,313.9,314.1,313.9
33,318.0,8825.0,-45.9,-64.0,11.0,0.02,255.0,47.0,315.2,315.3,315.2
34,307.0,9058.0,-47.1,-72.1,4.0,0.01,255.0,57.0,316.8,316.8,316.8
35,304.0,9123.0,-47.5,-71.5,5.0,0.01,255.0,60.0,317.1,317.1,317.1
36,300.0,9210.0,-47.5,-72.5,4.0,0.01,255.0,64.0,318.3,318.3,318.3
37,258.0,10204.0,-50.9,-73.9,5.0,0.01,255.0,84.0,327.3,327.3,327.3
38,250.0,10410.0,-50.3,-72.3,6.0,0.01,255.0,97.0,331.1,331.2,331.2
39,233.0,10867.0,-52.1,-70.5,9.0,0.01,260.0,110.0,335.2,335.2,335.2
40,231.0,10923.0,-52.3,-70.3,10.0,0.01,260.0,109.0,335.7,335.7,335.7
41,216.0,11359.0,-50.0,-77.7,2.0,0.0,260.0,99.0,345.7,345.7,345.7
42,214.0,11419.0,-49.7,-78.7,2.0,0.0,259.0,101.0,347.1,347.1,347.1
43,200.0,11860.0,-50.9,-80.9,2.0,0.0,255.0,115.0,352.0,352.0,352.0
44,195.0,12023.0,-51.2,-81.5,2.0,0.0,255.0,119.0,354.0,354.0,354.0
45,163.0,13181.0,-53.7,-85.7,1.0,0.0,255.0,109.0,368.5,368.5,368.5
46,150.0,13710.0,-56.9,-86.9,1.0,0.0,255.0,105.0,371.8,371.9,371.8
47,116.0,15303.0,-63.2,-89.2,2.0,0.0,255.0,94.0,388.6,388.6,388.6
48,105.0,15920.0,-65.6,-90.0,2.0,0.0,255.0,69.0,395.2,395.2,395.2
49,102.0,16100.0,-66.3,-90.3,2.0,0.0,250.0,76.0,397.1,397.1,397.1
50,100.0,16220.0,-65.9,-90.9,2.0,0.0,250.0,81.0,400.1,400.1,400.1
51,91.0,16788.0,-66.6,-90.8,2.0,0.0,270.0,65.0,409.7,409.7,409.7
52,84.0,17271.0,-67.2,-90.7,2.0,0.0,250.0,58.0,418.0,418.0,418.0
53,78.0,17718.0,-67.7,-90.6,3.0,0.0,270.0,46.0,425.8,425.8,425.8
54,70.0,18370.0,-68.5,-90.5,3.0,0.0,255.0,34.0,437.5,437.5,437.5
55,67.0,18633.0,-69.1,-91.1,3.0,0.0,245.0,42.0,441.7,441.7,441.7
56,66.0,18723.0,-69.3,-91.3,3.0,0.0,250.0,45.0,443.2,443.2,443.2
57,64.0,18910.0,-67.2,-91.3,2.0,0.0,260.0,50.0,451.8,451.8,451.8
58,61.0,19201.0,-63.9,-91.3,1.0,0.0,275.0,40.0,465.4,465.4,465.4
59,60.5,19251.0,-63.3,-91.3,1.0,0.0,275.0,38.0,467.7,467.7,467.7
60,58.0,19510.0,-63.8,-91.2,1.0,0.0,275.0,28.0,472.3,472.3,472.3
61,56.0,19725.0,-64.2,-91.2,1.0,0.0,260.0,29.0,476.1,476.1,476.1
