,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
0,1021.0,35.0,19.2,-6.8,17.0,2.26,110.0,9.0,290.6,297.5,291.0
1,1001.0,198.0,17.1,-7.9,17.0,2.11,135.0,13.0,290.2,296.6,290.5
2,1000.0,206.0,17.0,-8.0,17.0,2.1,135.0,13.0,290.1,296.6,290.5
3,976.0,410.0,14.9,-8.9,19.0,2.01,110.0,12.0,290.0,296.2,290.4
4,948.0,655.0,12.3,-9.9,20.0,1.91,115.0,14.0,289.9,295.8,290.2
5,925.0,861.0,10.2,-10.8,22.0,1.82,125.0,10.0,289.7,295.4,290.1
6,915.0,951.0,9.4,-10.6,23.0,1.87,123.0,9.0,289.8,295.6,290.1
7,850.0,1555.0,4.0,-14.0,26.0,1.53,110.0,4.0,290.3,295.1,290.6
8,835.0,1699.0,2.6,-13.4,30.0,1.64,119.0,6.0,290.3,295.4,290.6
9,814.0,1905.0,1.6,-18.4,21.0,1.11,133.0,10.0,291.4,294.9,291.6
10,795.0,2095.0,2.1,-25.4,11.0,0.61,145.0,13.0,293.9,296.0,294.1
11,786.0,2187.0,2.4,-28.8,8.0,0.46,135.0,10.0,295.2,296.7,295.2
12,779.0,2259.0,2.6,-31.4,6.0,0.36,152.0,9.0,296.1,297.4,296.2
13,738.0,2692.0,0.1,-37.4,4.0,0.21,255.0,1.0,298.1,298.8,298.1
14,700.0,3115.0,-2.3,-43.3,3.0,0.12,245.0,3.0,299.9,300.4,299.9
15,618.0,4087.0,-8.7,-39.7,6.0,0.2,265.0,10.0,303.4,304.1,303.4
16,581.0,4569.0,-11.9,-37.9,10.0,0.25,278.0,10.0,305.1,306.0,305.1
17,576.0,4634.0,-12.4,-38.5,9.0,0.24,280.0,10.0,305.2,306.1,305.3
18,533.0,5219.0,-17.1,-43.6,8.0,0.15,265.0,13.0,306.5,307.1,306.6
19,515.0,5477.0,-19.1,-45.9,7.0,0.12,280.0,12.0,307.1,307.5,307.1
20,501.0,5685.0,-20.8,-47.8,7.0,0.1,265.0,13.0,307.5,307.9,307.5
21,500.0,5700.0,-20.9,-47.9,7.0,0.1,265.0,13.0,307.5,307.9,307.5
22,473.0,6106.0,-24.3,-45.3,13.0,0.14,275.0,14.0,308.2,308.8,308.2
23,459.0,6320.0,-26.0,-46.7,13.0,0.13,280.0,14.0,308.7,309.2,308.7
24,432.0,6752.0,-29.5,-49.4,13.0,0.1,250.0,17.0,309.7,310.1,309.7
